map,team,width,height,core_x,core_y,actual_symmetry,visible_tiles,visible_ore,visible_walls,legal_spawn_tiles,generic_symmetry_candidates,generic_enemy_core_candidates,pool_candidates_dimensions,pool_candidates_dimensions_core,pool_candidates_full_observation
atoll,1,18,18,2,14,rotate_180,82,2,4,12,rotate_180;mirror_x;mirror_y,2:2;14:2;14:14,1,1,1
atoll,2,18,18,14,2,rotate_180,82,2,4,12,rotate_180;mirror_x;mirror_y,2:2;2:14;14:14,1,1,1
aurora,1,26,26,3,22,rotate_180,91,2,0,12,rotate_180;mirror_x;mirror_y,3:2;21:2;21:22,1,1,1
aurora,2,26,26,21,2,rotate_180,91,2,0,12,rotate_180;mirror_x;mirror_y,3:2;3:22;21:22,1,1,1
crossfire,1,16,16,2,11,rotate_180,91,4,12,12,rotate_180,12:3,1,1,1
crossfire,2,16,16,12,3,rotate_180,91,4,12,12,rotate_180,2:11,1,1,1
duel,1,12,12,1,8,rotate_180,73,4,2,12,rotate_180,9:2,1,1,1
duel,2,12,12,9,2,rotate_180,73,4,2,12,rotate_180,1:8,1,1,1
fjord,1,20,20,2,15,rotate_180,91,3,3,12,rotate_180;mirror_x;mirror_y,2:3;16:3;16:15,1,1,1
fjord,2,20,20,16,3,rotate_180,91,3,3,12,rotate_180;mirror_x;mirror_y,2:3;2:15;16:15,1,1,1
hive,1,25,25,2,20,rotate_180,91,1,4,12,rotate_180;mirror_x;mirror_y,2:3;21:3;21:20,1,1,1
hive,2,25,25,21,3,rotate_180,91,1,4,12,rotate_180;mirror_x;mirror_y,2:3;2:20;21:20,1,1,1
longship,1,28,20,2,8,mirror_x,108,2,5,12,rotate_180;mirror_x,24:8;24:10,1,1,1
longship,2,28,20,24,8,mirror_x,108,2,5,12,rotate_180;mirror_x,2:8;2:10,1,1,1
pinch,1,14,18,2,2,mirror_y,82,3,8,12,rotate_180;mirror_y,2:14;10:14,1,1,1
pinch,2,14,18,2,14,mirror_y,82,3,8,12,rotate_180;mirror_y,2:2;10:2,1,1,1
quarry,1,24,24,2,2,rotate_180,82,4,0,12,rotate_180;mirror_x;mirror_y,2:20;20:2;20:20,3,1,1
quarry,2,24,24,20,20,rotate_180,82,4,0,12,rotate_180;mirror_x;mirror_y,2:2;2:20;20:2,3,1,1
runestone,1,24,24,2,11,rotate_180;mirror_x,108,2,0,12,rotate_180;mirror_x,20:11,3,1,1
runestone,2,24,24,20,11,rotate_180;mirror_x,108,2,0,12,rotate_180;mirror_x,2:11,3,1,1
skerry,1,22,22,2,17,rotate_180,91,3,7,12,rotate_180;mirror_x;mirror_y,2:3;18:3;18:17,1,1,1
skerry,2,22,22,18,3,rotate_180,91,3,7,12,rotate_180;mirror_x;mirror_y,2:3;2:17;18:17,1,1,1
sprint,1,10,10,1,1,rotate_180,65,4,0,12,rotate_180,7:7,1,1,1
sprint,2,10,10,7,7,rotate_180,65,4,0,12,rotate_180,1:1,1,1,1
strait,1,20,26,2,2,mirror_y,82,2,0,12,rotate_180;mirror_x;mirror_y,2:22;16:2;16:22,1,1,1
strait,2,20,26,2,22,mirror_y,82,2,0,12,rotate_180;mirror_x;mirror_y,2:2;16:2;16:22,1,1,1
twins,1,21,21,2,2,mirror_y,82,3,0,12,rotate_180;mirror_x;mirror_y,2:17;17:2;17:17,1,1,1
twins,2,21,21,2,17,mirror_y,82,3,0,12,rotate_180;mirror_x;mirror_y,2:2;17:2;17:17,1,1,1
vault,1,24,24,2,19,rotate_180,91,2,0,12,rotate_180;mirror_x;mirror_y,2:3;20:3;20:19,3,1,1
vault,2,24,24,20,3,rotate_180,91,2,0,12,rotate_180;mirror_x;mirror_y,2:3;2:19;20:19,3,1,1
