map,width,height,ore_x,ore_y,line_length,initially_visible
atoll,18,18,1,17,2,True
atoll,18,18,5,16,2,True
atoll,18,18,8,9,9,False
aurora,26,26,1,25,3,True
aurora,26,26,7,24,3,True
aurora,26,26,5,16,6,False
aurora,26,26,12,25,9,False
aurora,26,26,1,10,13,False
aurora,26,26,13,16,14,False
aurora,26,26,4,9,17,False
crossfire,16,16,1,14,2,True
crossfire,16,16,5,13,2,True
duel,12,12,1,11,1,True
duel,12,12,4,10,2,True
fjord,20,20,2,18,1,True
fjord,20,20,1,18,2,True
fjord,20,20,5,17,2,True
fjord,20,20,15,17,12,False
fjord,20,20,8,8,13,False
fjord,20,20,9,9,15,False
hive,25,25,1,17,3,True
hive,25,25,5,13,8,False
hive,25,25,9,17,8,False
hive,25,25,13,21,9,False
longship,28,20,1,5,3,True
longship,28,20,1,12,3,True
longship,28,20,9,10,6,False
longship,28,20,10,9,6,False
longship,28,20,6,1,9,False
longship,28,20,12,10,9,False
longship,28,20,13,9,9,False
longship,28,20,6,18,11,False
pinch,14,18,6,1,3,True
pinch,14,18,6,6,5,True
pinch,14,18,7,6,6,True
pinch,14,18,11,2,7,False
pinch,14,18,12,7,12,False
quarry,24,24,6,6,5,True
quarry,24,24,6,7,6,True
quarry,24,24,7,6,6,True
quarry,24,24,7,7,7,True
quarry,24,24,5,16,14,False
quarry,24,24,5,17,15,False
quarry,24,24,6,16,15,False
quarry,24,24,11,11,15,False
runestone,24,24,1,7,4,True
runestone,24,24,1,16,4,True
runestone,24,24,9,9,7,False
runestone,24,24,9,14,7,False
runestone,24,24,5,2,10,False
runestone,24,24,5,21,10,False
runestone,24,24,10,6,11,False
runestone,24,24,10,17,11,False
skerry,22,22,3,20,1,True
skerry,22,22,1,20,2,True
skerry,22,22,4,14,3,True
skerry,22,22,8,12,9,False
skerry,22,22,13,16,11,False
sprint,10,10,1,6,3,True
sprint,10,10,4,4,3,True
sprint,10,10,6,1,3,True
strait,20,26,1,6,3,True
strait,20,26,6,1,3,True
strait,20,26,4,9,6,False
strait,20,26,9,10,12,False
strait,20,26,17,4,14,False
strait,20,26,15,9,17,False
twins,21,21,1,6,3,True
twins,21,21,6,1,3,True
twins,21,21,3,8,4,True
twins,21,21,10,8,11,False
twins,21,21,19,4,16,False
twins,21,21,17,8,18,False
vault,24,24,1,22,2,True
vault,24,24,4,22,2,True
vault,24,24,10,10,15,False
vault,24,24,11,13,15,False
