rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,odin@5a92113,odin,5a92113,4956,4508,0,448,0.9096,2.753661,478.4,2.753661,0.273671,1.119813,0.0,-0.09309,2,-1
2,odin@93e46da,odin,93e46da,4951,4491,0,460,0.9071,2.724583,473.3,2.724583,0.35587,1.248728,0.0,-0.09309,2,0
3,odin@38e1456,odin,38e1456,4956,4496,0,460,0.9072,2.72218,472.9,2.72218,0.286275,1.127212,1.0,0.0,1,2
4,odin@45aa24a,odin,45aa24a,4956,4411,0,545,0.89,2.628256,456.6,2.628256,0.379361,1.037341,0.0,-0.376478,4,0
5,heimdall@4c0d92e,heimdall,4c0d92e,4956,4425,0,531,0.8929,2.616192,454.5,2.616192,0.346515,1.077026,0.0,-0.376478,4,1
6,heimdall@38e1456,heimdall,38e1456,4956,4424,0,532,0.8927,2.596987,451.1,2.596987,0.359824,1.197923,0.0,-0.473784,6,0
7,heimdall@840a180,heimdall,840a180,4956,4386,0,570,0.885,2.589101,449.8,2.589101,0.29268,0.972752,0.0,-0.473784,6,1
8,maporacle@38e1456,maporacle,38e1456,4956,4380,0,576,0.8838,2.573167,447.0,2.573167,-0.095499,1.069506,0.0,-0.891998,10,-2
9,bastion@840a180,bastion,840a180,4956,4143,1,812,0.8361,2.382137,413.8,2.382137,-0.842736,0.704072,0.0,-1.400893,17,-8
10,steward@e55aab5,steward,e55aab5,4956,4105,0,851,0.8283,2.311742,401.6,2.311742,-0.863352,0.690252,0.0,-1.260254,14,-4
11,warden_walk@e55aab5,warden_walk,e55aab5,4956,4040,1,915,0.8153,2.180321,378.8,2.180321,-0.647004,0.629428,0.0,-1.400893,17,-6
12,vigil@e22eda8,vigil,e22eda8,4956,3995,0,961,0.8061,2.155122,374.4,2.155122,-0.92886,0.755111,0.0,-3.320228,76,-64
13,vigil@e267eeb,vigil,e267eeb,4956,3992,0,964,0.8055,2.143556,372.4,2.143556,-0.883965,0.727751,0.0,-2.785011,62,-49
14,vigil@18b749d,vigil,18b749d,4956,3938,0,1018,0.7946,2.135529,371.0,2.135529,-1.1444,0.42404,0.0,-2.785011,62,-48
15,ragnarok@79582fc,ragnarok,79582fc,4956,4008,0,948,0.8087,2.121679,368.6,2.121679,-0.990154,0.738829,0.0,-2.423538,53,-38
16,warden_walk@3318ffd,warden_walk,3318ffd,4956,3986,1,969,0.8044,2.111944,366.9,2.111944,-0.711477,0.578643,0.0,-1.919593,28,-12
17,warden@3318ffd,warden,3318ffd,4956,4009,1,946,0.809,2.109647,366.5,2.109647,-0.985658,0.798753,0.0,-2.423538,53,-36
18,valkyrie@d181312,valkyrie,d181312,4956,3995,1,960,0.8062,2.09442,363.8,2.09442,-1.04275,0.770121,0.0,-2.785011,62,-44
19,aegis@e55aab5,aegis,e55aab5,4956,3976,1,979,0.8024,2.077314,360.9,2.077314,-0.64137,0.64137,0.0,-2.423538,53,-34
20,heimdall@daf0de0,heimdall,daf0de0,4956,3993,5,958,0.8062,2.006026,348.5,2.006026,0.021246,0.556348,0.0,-1.129865,12,8
21,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4956,3869,0,1087,0.7807,1.976655,343.4,1.976655,-0.975737,0.417556,0.0,-2.423538,53,-32
22,valkyrie@30d0491,valkyrie,30d0491,4956,3906,0,1050,0.7881,1.965508,341.4,1.965508,-0.896591,0.605444,0.0,-1.919593,28,-6
23,vigil@1b5f3d1,vigil,1b5f3d1,4956,3841,0,1115,0.775,1.951093,338.9,1.951093,-0.90067,0.425203,0.0,-2.146581,43,-20
24,vigil@bf9b3e3,vigil,bf9b3e3,4956,3820,0,1136,0.7708,1.873377,325.4,1.873377,-0.936,0.528313,0.0,-2.146581,43,-19
25,vigil@60d5afa,vigil,60d5afa,4956,3754,0,1202,0.7575,1.756936,305.2,1.756936,-0.874755,0.472551,0.0,-2.423538,53,-28
26,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,4956,3660,2,1294,0.7387,1.688527,293.3,1.688527,-0.582215,0.06997,0.0,-0.573346,8,18
27,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,4956,3617,1,1338,0.7299,1.683301,292.4,1.683301,-0.298618,0.034507,0.0,-1.260254,14,13
28,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4956,3632,0,1324,0.7328,1.68313,292.4,1.68313,-0.221821,0.068203,0.0,-1.55463,20,8
29,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,4956,3622,0,1334,0.7308,1.575568,273.7,1.575568,-0.612267,0.244526,0.0,-0.675755,9,20
30,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4956,3689,0,1267,0.7444,1.526461,265.2,1.526461,-0.81709,0.766446,0.0,-2.146581,43,-13
31,prospect@bf9b3e3,prospect,bf9b3e3,4956,3482,0,1474,0.7026,1.506069,261.6,1.506069,-0.301624,-0.110602,0.0,-1.400893,17,14
32,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4956,3373,0,1583,0.6806,1.443252,250.7,1.443252,-0.460087,-0.364435,0.0,-1.72551,22,10
33,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4956,3405,0,1551,0.687,1.433774,249.1,1.433774,-0.438196,-0.15908,0.0,-1.129865,12,21
34,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4956,3369,0,1587,0.6798,1.431185,248.6,1.431185,-0.598777,-0.194302,0.0,-1.919593,28,6
35,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4956,3593,0,1363,0.725,1.393091,242.0,1.393091,-0.811537,0.649147,0.0,-2.423538,53,-18
36,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4956,3361,5,1590,0.6787,1.340763,232.9,1.340763,-1.062507,-0.24187,0.0,-2.785011,62,-26
37,janus@8a1e7a1,janus,8a1e7a1,4956,3268,0,1688,0.6594,1.326622,230.5,1.326622,-0.355554,-0.51374,0.0,-1.72551,22,15
38,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,4951,3536,0,1415,0.7142,1.101027,191.3,1.101027,-0.3628,1.250607,0.0,-1.260254,14,24
39,vanguard_oracle@902be71,vanguard_oracle,902be71,4956,2973,0,1983,0.5999,0.972892,169.0,0.972892,-0.528939,-0.812487,0.0,-1.919593,28,11
40,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4956,2997,0,1959,0.6047,0.897259,155.9,0.897259,-0.291755,-0.282252,0.0,-2.785011,62,-22
41,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,4956,2995,0,1961,0.6043,0.891184,154.8,0.891184,-0.293064,-0.271961,0.0,-2.785011,62,-21
42,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,4956,2998,0,1958,0.6049,0.861352,149.6,0.861352,-0.252517,-0.175626,0.0,-2.423538,53,-11
43,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,4956,2998,0,1958,0.6049,0.835729,145.2,0.835729,-0.463449,-0.313559,0.0,-2.423538,53,-10
44,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,4956,2869,0,2087,0.5789,0.827435,143.7,0.827435,-0.497348,-0.89908,0.0,-1.919593,28,16
45,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,4956,3034,0,1922,0.6122,0.775311,134.7,0.775311,-0.228799,0.063574,0.0,-0.891998,10,35
46,vanguard@9932bec,vanguard,9932bec,4956,2716,0,2240,0.548,0.766103,133.1,0.766103,-0.244665,-1.286785,0.0,-1.919593,28,18
47,vanguard_oracle@75591b7,vanguard_oracle,75591b7,4956,2812,0,2144,0.5674,0.763711,132.7,0.763711,-0.53174,-0.940447,0.0,-2.785011,62,-15
48,gobbleglitch@a79dd98,gobbleglitch,a79dd98,4956,3015,4,1937,0.6088,0.760395,132.1,0.760395,-0.666043,-0.182124,0.0,-2.423538,53,-5
49,gobbleglitch@e808e1d,gobbleglitch,e808e1d,4956,3054,6,1896,0.6168,0.758457,131.8,0.758457,-0.77087,-0.042441,0.0,-2.785011,62,-13
50,vanguard@c407e79,vanguard,c407e79,4956,2645,0,2311,0.5337,0.718347,124.8,0.718347,-0.088444,-1.285216,0.0,-1.919593,28,22
51,vanguard@818f3b4,vanguard,818f3b4,4956,2704,0,2252,0.5456,0.691808,120.2,0.691808,-0.30601,-1.256843,0.0,-1.919593,28,23
52,undertow@fdc1e1f,undertow,fdc1e1f,4956,2630,0,2326,0.5307,0.637505,110.7,0.637505,-0.027922,-1.006142,0.0,-2.146581,43,9
53,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,4956,2671,0,2285,0.5389,0.621097,107.9,0.621097,-0.182512,-1.084184,0.0,-1.55463,20,33
54,v233_i@902be71,v233_i,902be71,4956,2570,0,2386,0.5186,0.619633,107.6,0.619633,-0.078852,-1.370755,0.0,-1.919593,28,26
55,undertow@da3fd8a,undertow,da3fd8a,4956,2619,0,2337,0.5285,0.607958,105.6,0.607958,-0.05696,-0.985198,0.0,-2.146581,43,12
56,undertow_oracle@75591b7,undertow_oracle,75591b7,4956,2672,0,2284,0.5391,0.597689,103.8,0.597689,-0.238733,-1.057057,0.0,-1.72551,22,34
57,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,4956,2830,2,2124,0.5712,0.56723,98.5,0.56723,-0.2305,-0.099786,0.0,-1.919593,28,29
58,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,4956,2560,0,2396,0.5165,0.547796,95.2,0.547796,-0.023829,-1.058603,0.0,-2.146581,43,15
59,autistimusprime@ecd4d24,autistimusprime,ecd4d24,4956,2978,6,1972,0.6015,0.541703,94.1,0.541703,-0.810165,0.316134,0.0,-2.785011,62,-3
60,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,4956,2722,1,2233,0.5493,0.460843,80.1,0.460843,-0.249045,-0.127043,0.0,-1.919593,28,32
61,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,4956,2727,1,2228,0.5503,0.454904,79.0,0.454904,-0.26568,-0.102071,0.0,-1.919593,28,33
62,v233_g@9713344,v233_g,9713344,4956,2422,0,2534,0.4887,0.449266,78.0,0.449266,0.075605,-1.513547,0.0,-2.146581,43,19
63,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,4956,2737,3,2216,0.5526,0.439077,76.3,0.439077,-0.368633,-0.15071,0.0,-2.146581,43,20
64,tempest@da3fd8a,tempest,da3fd8a,4956,2707,1,2248,0.5463,0.43627,75.8,0.43627,-0.242457,-0.116662,0.0,-1.919593,28,36
65,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,4956,2711,1,2244,0.5471,0.429016,74.5,0.429016,-0.248621,-0.157588,0.0,-1.72551,22,43
66,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,4956,2734,3,2219,0.552,0.418757,72.7,0.418757,-0.311681,-0.072849,0.0,-2.146581,43,23
67,vanguard@da3fd8a,vanguard,da3fd8a,4956,2438,0,2518,0.4919,0.396916,69.0,0.396916,-0.183044,-1.374335,0.0,-3.320228,76,-9
68,pantheon_puppet@5a92113,pantheon_puppet,5a92113,4956,2693,0,2263,0.5434,0.369391,64.2,0.369391,-0.332884,0.109271,0.0,-1.919593,28,40
69,mistral@ba943b9,mistral,ba943b9,4956,2570,2,2384,0.5188,0.282424,49.1,0.282424,-0.255366,-0.505871,0.0,-1.72551,22,47
70,mistral_fast@26b5aa1,mistral_fast,26b5aa1,4956,2575,2,2379,0.5198,0.274819,47.7,0.274819,-0.265526,-0.469688,0.0,-1.72551,22,48
71,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,4956,2472,1,2483,0.4989,0.196724,34.2,0.196724,-0.14981,-0.397927,0.0,-1.919593,28,43
72,v233_f@9713344,v233_f,9713344,4956,2257,0,2699,0.4554,0.163161,28.3,0.163161,0.055121,-1.732852,0.0,-2.785011,62,10
73,undertow@9713344,undertow,9713344,4956,2322,1,2633,0.4686,0.122304,21.2,0.122304,-0.068108,-1.31599,0.0,-2.146581,43,30
74,e_final@9e77076,e_final,9e77076,4956,2334,0,2622,0.4709,-0.040944,-7.1,-0.040944,-0.261631,-0.423666,0.0,-2.785011,62,12
75,v233_e@9713344,v233_e,9713344,4956,2137,0,2819,0.4312,-0.194838,-33.8,-0.194838,0.083103,-0.894847,0.0,-2.785011,62,13
76,uw_v2@9713344,uw_v2,9713344,4956,2199,0,2757,0.4437,-0.226987,-39.4,-0.226987,-0.168489,-0.559824,0.0,-2.785011,62,14
77,casemate_oracle@902be71,casemate_oracle,902be71,4956,2266,0,2690,0.4572,-0.266542,-46.3,-0.266542,-0.374663,0.456549,0.0,-4.442651,86,-9
78,jonbot@da3fd8a,jonbot,da3fd8a,4956,2189,0,2767,0.4417,-0.325159,-56.5,-0.325159,-0.204536,0.188684,0.0,-3.320228,76,2
79,v233_c@9713344,v233_c,9713344,4956,1924,1,3031,0.3883,-0.777843,-135.1,-0.777843,-0.362506,-0.57585,0.0,-2.785011,62,17
80,v233_b@9713344,v233_b,9713344,4956,1883,1,3072,0.38,-0.787607,-136.8,-0.787607,-0.283624,-0.521386,0.0,-3.320228,76,4
81,v233_d@9713344,v233_d,9713344,4956,1841,0,3115,0.3715,-0.898512,-156.1,-0.898512,-0.216557,-0.699601,0.0,-3.320228,76,5
82,e_t4l7@9e77076,e_t4l7,9e77076,4956,1655,0,3301,0.3339,-1.02726,-178.5,-1.02726,1.56006,-0.920159,0.0,-3.320228,76,6
83,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,4956,1643,0,3313,0.3315,-1.072215,-186.3,-1.072215,0.060703,0.149612,0.0,-4.442651,86,-3
84,strategist@2a19238,strategist,2a19238,4956,1393,15,3548,0.2826,-1.681088,-292.0,-1.681088,0.66251,0.111613,0.0,-4.442651,86,-2
85,e_condc@6db8844,e_condc,6db8844,4956,1359,0,3597,0.2742,-1.710542,-297.2,-1.710542,1.070954,-0.055218,0.0,-4.442651,86,-1
86,e_harc@6db8844,e_harc,6db8844,4956,1328,1,3627,0.2681,-1.740015,-302.3,-1.740015,0.986421,0.093763,0.0,-4.442651,86,0
87,e_post2@4a95297,e_post2,4a95297,4956,1229,0,3727,0.248,-1.787794,-310.6,-1.787794,0.931371,0.306155,0.0,-4.442651,86,1
88,e9cand@9e77076,e9cand,9e77076,4956,1217,0,3739,0.2456,-1.800487,-312.8,-1.800487,0.960603,0.313422,0.0,-4.442651,86,2
89,tempest_sentinel@fdc1e1f,tempest_sentinel,fdc1e1f,4956,1221,4,3731,0.2468,-1.860119,-323.1,-1.860119,0.490537,-0.442374,0.0,-4.442651,86,3
90,v233_a@9713344,v233_a,9713344,4956,1289,2,3665,0.2603,-1.904645,-330.9,-1.904645,0.39712,-0.418682,0.0,-4.442651,86,4
91,pantheon_clone@daf0de0,pantheon_clone,daf0de0,4956,1136,0,3820,0.2292,-1.933237,-335.8,-1.933237,-0.232699,0.267436,0.0,-4.442651,86,5
92,uw_v1@9713344,uw_v1,9713344,4956,1209,0,3747,0.2439,-2.016582,-350.3,-2.016582,0.26438,-0.266611,0.0,-4.442651,86,6
93,hardshell@2a19238,hardshell,2a19238,4956,842,15,4099,0.1714,-2.298764,-399.3,-2.298764,0.774512,0.622142,0.0,-3.320228,76,17
94,nemesis@9713344,nemesis,9713344,4956,794,0,4162,0.1602,-2.44489,-424.7,-2.44489,0.906206,0.311586,0.0,-3.320228,76,18
