rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,3150,2702,0,448,0.8578,2.438036,423.5,2.438036,0.710838,-0.215461,1.0,0.0,1,0
2,vanguard_oracle@902be71,vanguard_oracle,902be71,3150,2523,0,627,0.801,2.199673,382.1,2.199673,0.448285,0.439342,0.0,-0.891998,17,-15
3,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3150,2452,0,698,0.7784,2.075709,360.6,2.075709,0.486309,0.599484,0.0,-1.129865,20,-17
4,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3150,2401,0,749,0.7622,1.992394,346.1,1.992394,0.477179,0.754459,0.0,-1.55463,26,-22
5,vanguard@9932bec,vanguard,9932bec,3150,2320,0,830,0.7365,1.961888,340.8,1.961888,0.260992,1.080233,0.0,-2.423538,42,-37
6,vanguard@818f3b4,vanguard,818f3b4,3150,2327,0,823,0.7387,1.927252,334.8,1.927252,0.303247,0.931463,0.0,-2.423538,43,-37
7,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3150,2449,0,701,0.7775,1.922717,334.0,1.922717,0.242177,0.03182,0.0,-0.573346,12,-5
8,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3150,2448,0,702,0.7771,1.917961,333.2,1.917961,0.245027,0.027559,0.0,-0.573346,13,-5
9,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3150,2492,0,658,0.7911,1.910309,331.9,1.910309,0.503599,-0.110216,0.0,-0.675755,15,-6
10,gobbleglitch@a606ba3,gobbleglitch,a606ba3,3150,2569,3,578,0.816,1.871409,325.1,1.871409,0.894397,-0.681698,0.0,-1.007641,18,-8
11,vanguard@c407e79,vanguard,c407e79,3150,2246,0,904,0.713,1.86178,323.4,1.86178,0.275676,1.249433,0.0,-2.146581,40,-29
12,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3150,2447,0,703,0.7768,1.844839,320.5,1.844839,0.278744,-0.132199,0.0,-0.573346,14,-2
13,v233_i@902be71,v233_i,902be71,3150,2207,0,943,0.7006,1.81859,315.9,1.81859,0.067025,1.250498,0.0,-1.919593,33,-20
14,undertow_oracle@75591b7,undertow_oracle,75591b7,3150,2286,0,864,0.7257,1.754163,304.7,1.754163,0.317122,0.762895,0.0,-1.55463,27,-13
15,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,3150,2276,0,874,0.7225,1.750917,304.2,1.750917,0.252956,0.746216,0.0,-1.55463,28,-13
16,undertow@fdc1e1f,undertow,fdc1e1f,3150,2236,0,914,0.7098,1.747475,303.6,1.747475,0.006227,0.810671,0.0,-1.55463,29,-13
17,undertow@da3fd8a,undertow,da3fd8a,3150,2230,0,920,0.7079,1.716944,298.3,1.716944,0.023827,0.828911,0.0,-1.55463,30,-13
18,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,3150,2477,0,673,0.7863,1.661334,288.6,1.661334,0.899466,-0.692455,0.0,-0.376478,6,12
19,v233_g@9713344,v233_g,9713344,3150,2093,0,1057,0.6644,1.660607,288.5,1.660607,-0.240088,1.272498,0.0,-1.260254,22,-3
20,vanguard@da3fd8a,vanguard,da3fd8a,3150,2118,0,1032,0.6724,1.654748,287.5,1.654748,-0.066069,1.268742,0.0,-1.129865,21,-1
21,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,3150,2183,0,967,0.693,1.644371,285.7,1.644371,0.010996,0.895465,0.0,-1.400893,24,-3
22,autistimusprime@ecd4d24,autistimusprime,ecd4d24,3150,2500,3,647,0.7941,1.5561,270.3,1.5561,0.983656,-1.06327,0.0,-1.007641,19,3
23,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,3150,2371,2,777,0.753,1.514933,263.2,1.514933,0.753352,-0.4386,0.0,-0.280902,4,19
24,v233_f@9713344,v233_f,9713344,3150,1996,0,1154,0.6337,1.460877,253.8,1.460877,-0.30602,1.345862,0.0,-1.919593,34,-10
25,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,3150,2318,3,829,0.7363,1.434909,249.3,1.434909,0.843166,-0.374914,0.0,-0.376478,7,18
26,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,3150,2294,1,855,0.7284,1.412008,245.3,1.412008,0.794336,-0.339549,0.0,-0.376478,8,18
27,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,3150,2289,1,860,0.7268,1.405739,244.2,1.405739,0.780229,-0.332596,0.0,-0.376478,9,18
28,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,3150,2288,1,861,0.7265,1.400041,243.2,1.400041,0.695158,-0.378104,0.0,-0.376478,10,18
29,tempest@da3fd8a,tempest,da3fd8a,3150,2279,1,870,0.7237,1.392891,242.0,1.392891,0.749161,-0.322314,0.0,-0.376478,11,18
30,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,3150,2309,3,838,0.7335,1.391657,241.8,1.391657,0.832025,-0.434584,0.0,-0.280902,5,25
31,mistral_fast@26b5aa1,mistral_fast,26b5aa1,3150,2202,2,946,0.6994,1.315521,228.5,1.315521,0.801741,0.065107,0.0,-0.186586,2,29
32,undertow@9713344,undertow,9713344,3150,2024,1,1125,0.6427,1.310125,227.6,1.310125,-0.010414,0.869134,0.0,-1.919593,35,-3
33,mistral@ba943b9,mistral,ba943b9,3150,2197,2,951,0.6978,1.309168,227.4,1.309168,0.780481,0.068734,0.0,-0.186586,3,30
34,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,3150,2083,1,1066,0.6614,1.144575,198.8,1.144575,0.570646,-0.046144,0.0,-0.781701,16,18
35,e_final@9e77076,e_final,9e77076,3150,2034,0,1116,0.6457,1.021597,177.5,1.021597,0.384194,-0.001882,0.0,-1.919593,36,-1
36,v233_e@9713344,v233_e,9713344,3150,1849,0,1301,0.587,0.841113,146.1,0.841113,-0.084584,0.69073,0.0,-1.72551,31,5
37,uw_v2@9713344,uw_v2,9713344,3150,1910,0,1240,0.6063,0.802968,139.5,0.802968,0.312527,0.069095,0.0,-1.919593,37,0
38,jonbot@da3fd8a,jonbot,da3fd8a,3150,1898,0,1252,0.6025,0.63032,109.5,0.63032,0.460199,-0.438746,0.0,-1.400893,25,13
39,casemate_oracle@902be71,casemate_oracle,902be71,3150,1894,0,1256,0.6013,0.548357,95.3,0.548357,0.875471,-0.556984,0.0,-1.260254,23,16
40,v233_c@9713344,v233_c,9713344,3150,1704,1,1445,0.5411,0.302238,52.5,0.302238,0.545161,-0.003732,0.0,-2.423538,44,-4
41,v233_b@9713344,v233_b,9713344,3150,1660,1,1489,0.5271,0.231306,40.2,0.231306,0.510078,0.033674,0.0,-2.423538,45,-4
42,v233_d@9713344,v233_d,9713344,3150,1643,0,1507,0.5216,0.195468,34.0,0.195468,0.321454,0.163195,0.0,-2.785011,48,-6
43,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,3150,1426,0,1724,0.4527,-0.215232,-37.4,-0.215232,0.123826,-0.508712,0.0,-2.146581,41,2
44,e_t4l7@9e77076,e_t4l7,9e77076,3150,1412,0,1738,0.4483,-0.306098,-53.2,-0.306098,-1.918936,1.102682,0.0,-1.919593,38,6
45,v233_a@9713344,v233_a,9713344,3150,1154,2,1994,0.3667,-0.949352,-164.9,-0.949352,-0.563231,-0.122826,0.0,-3.320228,49,-4
46,e_condc@6db8844,e_condc,6db8844,3150,1173,0,1977,0.3724,-1.024226,-177.9,-1.024226,-1.182447,0.003794,0.0,-1.72551,32,14
47,tempest_sentinel@fdc1e1f,tempest_sentinel,fdc1e1f,3150,1084,4,2062,0.3448,-1.025476,-178.1,-1.025476,-0.14719,0.257052,0.0,-4.442651,51,-4
48,uw_v1@9713344,uw_v1,9713344,3150,1085,0,2065,0.3444,-1.076135,-186.9,-1.076135,-0.245405,-0.332617,0.0,-4.442651,52,-4
49,e_harc@6db8844,e_harc,6db8844,3150,1138,1,2011,0.3614,-1.142751,-198.5,-1.142751,-0.988063,-0.162886,0.0,-1.919593,39,10
50,e_post2@4a95297,e_post2,4a95297,3150,1054,0,2096,0.3346,-1.184879,-205.8,-1.184879,-0.907885,-0.487858,0.0,-2.423538,46,4
51,e9cand@9e77076,e9cand,9e77076,3150,1044,0,2106,0.3314,-1.201898,-208.8,-1.201898,-0.928095,-0.521214,0.0,-2.423538,47,4
52,turtle@9713344,turtle,9713344,3150,801,17,2332,0.257,-1.757759,-305.4,-1.757759,-0.866014,-0.51822,0.0,-4.442651,53,-1
53,vg_v7@9713344,vg_v7,9713344,3150,754,16,2380,0.2419,-1.819408,-316.1,-1.819408,-0.538193,-0.389941,0.0,-4.442651,54,-1
54,vg_v5@9713344,vg_v5,9713344,3150,787,16,2347,0.2524,-1.826324,-317.3,-1.826324,-0.698539,-0.211469,0.0,-4.442651,55,-1
55,vg_v4@9713344,vg_v4,9713344,3150,758,16,2376,0.2432,-1.827644,-317.5,-1.827644,-0.612097,-0.343753,0.0,-4.442651,56,-1
56,nemesis@9713344,nemesis,9713344,3150,696,0,2454,0.221,-1.855553,-322.3,-1.855553,-0.622754,-0.882298,0.0,-4.442651,57,-1
57,vg_v2@9713344,vg_v2,9713344,3150,764,16,2370,0.2451,-1.887111,-327.8,-1.887111,-0.705734,-0.145593,0.0,-3.320228,50,7
58,casemate@902be71,casemate,902be71,3150,725,0,2425,0.2302,-1.891611,-328.6,-1.891611,-0.319831,-0.213923,0.0,-4.442651,58,0
59,riptide@9713344,riptide,9713344,3150,746,0,2404,0.2368,-1.897644,-329.7,-1.897644,-0.678676,-0.333599,0.0,-4.442651,59,0
60,vg_v6@9713344,vg_v6,9713344,3150,741,16,2393,0.2378,-1.914679,-332.6,-1.914679,-0.684753,-0.241517,0.0,-4.442651,60,0
61,baiter@9713344,baiter,9713344,3150,728,16,2406,0.2337,-1.93352,-335.9,-1.93352,-0.696206,-0.282696,0.0,-4.442651,61,0
62,vg_v3@9713344,vg_v3,9713344,3150,733,16,2401,0.2352,-1.947639,-338.3,-1.947639,-0.663238,-0.195576,0.0,-4.442651,62,0
63,reaver@9713344,reaver,9713344,3150,666,18,2466,0.2143,-1.960065,-340.5,-1.960065,-0.391368,-0.446975,0.0,-4.442651,63,0
64,vg_v1@9713344,vg_v1,9713344,3150,617,1,2532,0.196,-2.152862,-374.0,-2.152862,-0.511398,-0.317302,0.0,-4.442651,64,0
65,jonbot@9713344,jonbot,9713344,3150,654,1,2495,0.2078,-2.177274,-378.2,-2.177274,-0.130326,-0.209435,0.0,-4.442651,65,0
66,siege_v2@9713344,siege_v2,9713344,3150,572,19,2559,0.1846,-2.199174,-382.0,-2.199174,-0.432574,-0.752853,0.0,-4.442651,66,0
67,titanium_v1@9713344,titanium_v1,9713344,3150,589,0,2561,0.187,-2.287142,-397.3,-2.287142,-0.689154,-0.627985,0.0,-4.442651,67,0
68,attack_wave_v1@9713344,attack_wave_v1,9713344,3150,532,27,2591,0.1732,-2.320764,-403.2,-2.320764,-0.495453,-0.778096,0.0,-4.442651,68,0
69,frontier_v2@9713344,frontier_v2,9713344,3150,517,4,2629,0.1648,-2.347295,-407.8,-2.347295,-0.393172,-0.798353,0.0,-4.442651,69,0
70,siege_v1@9713344,siege_v1,9713344,3150,491,26,2633,0.16,-2.371595,-412.0,-2.371595,-0.383161,-0.857507,0.0,-4.442651,70,0
71,frontier_v1@9713344,frontier_v1,9713344,3150,480,4,2666,0.153,-2.433311,-422.7,-2.433311,-0.034477,-0.57881,0.0,-4.442651,71,0
72,opponent_luc@e83a42c,opponent_luc,e83a42c,3150,518,53,2579,0.1729,-2.528231,-439.2,-2.528231,-0.033612,0.210823,0.0,-4.442651,72,0
73,claude_challenger_3@fdc1e1f,claude_challenger_3,fdc1e1f,3150,450,55,2645,0.1516,-2.579118,-448.0,-2.579118,-0.164182,-0.003252,0.0,-4.442651,73,0
74,claude_challenger_2@fdc1e1f,claude_challenger_2,fdc1e1f,3150,446,56,2648,0.1505,-2.59908,-451.5,-2.59908,-0.16313,0.01916,0.0,-4.442651,74,0
75,claude_challenger_1@fdc1e1f,claude_challenger_1,fdc1e1f,3150,456,56,2638,0.1537,-2.610971,-453.6,-2.610971,-0.174764,0.084857,0.0,-4.442651,75,0
76,lockin@9713344,lockin,9713344,3150,420,48,2682,0.141,-2.703204,-469.6,-2.703204,-0.149714,-0.104877,0.0,-4.442651,76,0
