match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
001472a947b9cb9e,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,pinch,official,1,0,rating,a,a,1.0,core_destroyed,26,,35,10,9,7,35,0,12,3,ok,,3.78,n-62-21-56,29013044,2026-08-03T10:49:46+0200
001a3f775b1850bb,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,claude_challenger_2@fdc1e1f,claude_challenger_2,fdc1e1f,string,official,1,0,rating,a,a,1.0,core_destroyed,26,,1,0,10,7,560,0,0,0,ok,,2.433,n-62-28-35,29013044,2026-08-03T10:49:32+0200
003dc96cc24bf8f8,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,e_harc@6db8844,e_harc,6db8844,longship,official,1,0,rating,a,a,1.0,core_destroyed,55,,60,160,10,12,40,0,9,13,ok,,3.525,n-62-29-17,29013044,2026-08-03T10:50:33+0200
007b41d27dfddd55,auto-2c7b1d1140a5,siege_v1@9713344,siege_v1,9713344,gobbleglitch@a79dd98,gobbleglitch,a79dd98,fjord,official,1,0,rating,b,b,0.0,core_destroyed,66,,319,0,6,2,66,90,8,20,ok,,2.829,n-62-13-7,29013044,2026-08-03T10:49:54+0200
007e38789c746ea1,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,v233_c@9713344,v233_c,9713344,bridge,official,1,0,rating,b,b,0.0,titanium_collected,1000,,4915,2470,8,14,6815,4910,15,13,ok,,14.02,n-62-31-23,29013044,2026-08-03T10:51:19+0200
00c51ba49fac8015,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,frontier_v2@9713344,frontier_v2,9713344,skerry,official,1,0,rating,a,a,1.0,core_destroyed,27,,53,40,12,4,163,0,7,2,ok,,3.241,n-62-29-8,29013044,2026-08-03T10:49:59+0200
00c857be60ddfd00,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,claude_challenger_1@fdc1e1f,claude_challenger_1,fdc1e1f,string,official,1,0,rating,a,a,1.0,core_destroyed,26,,1,0,10,7,560,0,0,0,ok,,2.243,n-62-28-29,29013044,2026-08-03T10:49:22+0200
00c88ac810c0b294,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,string,official,1,0,rating,a,a,1.0,core_destroyed,50,,69,0,5,4,60,110,14,6,ok,,4.936,n-62-11-60,29013044,2026-08-03T10:50:54+0200
00d74d06043858cb,auto-2c7b1d1140a5,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,gobbleglitch@a79dd98,gobbleglitch,a79dd98,aurora,official,1,0,rating,b,b,0.0,core_destroyed,41,,224,0,6,3,52,70,11,11,ok,,3.458,n-62-21-57,29013044,2026-08-03T10:50:20+0200
011f8f28d3309671,auto-2c7b1d1140a5,vg_v3@9713344,vg_v3,9713344,gobbleglitch@a79dd98,gobbleglitch,a79dd98,skerry,official,1,0,rating,b,b,0.0,core_destroyed,95,,78,0,7,2,62,320,15,29,ok,,5.805,n-62-31-5,29013044,2026-08-03T10:50:55+0200
012214a897071a21,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,e_final@9e77076,e_final,9e77076,fjord,official,1,0,rating,b,b,0.0,core_destroyed,38,,70,60,10,4,31,0,11,4,ok,,3.684,n-62-29-13,29013044,2026-08-03T10:49:47+0200
0130a9a49495ca66,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,v233_i@902be71,v233_i,902be71,sweden,official,1,0,rating,a,a,1.0,core_destroyed,35,,50,50,8,10,54,80,6,22,ok,,2.947,n-62-31-20,29013044,2026-08-03T10:51:20+0200
0131cf6de4f01b52,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,vg_v5@9713344,vg_v5,9713344,duel,official,1,0,rating,a,a,1.0,core_destroyed,33,,54,10,9,8,110,0,10,3,ok,,3.239,n-62-11-62,29013044,2026-08-03T10:51:21+0200
01373a2d1857bb49,auto-2c7b1d1140a5,reaver@9713344,reaver,9713344,gobbleglitch@a79dd98,gobbleglitch,a79dd98,fjord,official,1,0,rating,b,b,0.0,core_destroyed,48,,115,130,10,6,50,0,8,14,ok,,4.527,n-62-21-4,29013044,2026-08-03T10:50:16+0200
014780079ded0488,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,vanguard@9932bec,vanguard,9932bec,runestone,official,1,0,rating,b,b,0.0,core_destroyed,42,,37,0,11,5,70,150,10,11,ok,,4.196,n-62-11-56,29013044,2026-08-03T10:50:44+0200
015c77dad92731f4,auto-2c7b1d1140a5,gobbleglitch@a79dd98,gobbleglitch,a79dd98,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,skerry,official,1,0,rating,a,a,1.0,core_destroyed,88,,245,190,10,4,162,510,12,25,ok,,4.682,n-62-29-17,29013044,2026-08-03T10:51:43+0200
