rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,odin@5a92113,odin,5a92113,4914,4488,0,426,0.9133,2.777786,482.6,2.777786,-0.763266,0.860539,0.0,-0.09309,2,-1
2,odin@38e1456,odin,38e1456,4914,4474,0,440,0.9105,2.74446,476.8,2.74446,-0.765796,0.87062,1.0,0.0,1,1
3,odin@45aa24a,odin,45aa24a,4914,4393,0,521,0.894,2.65291,460.9,2.65291,-0.629675,0.905407,0.0,-0.376478,3,0
4,heimdall@4c0d92e,heimdall,4c0d92e,4914,4407,0,507,0.8968,2.640743,458.7,2.640743,-0.682391,0.899884,0.0,-0.376478,3,1
5,heimdall@38e1456,heimdall,38e1456,4914,4405,0,509,0.8964,2.620576,455.2,2.620576,-0.774973,0.973695,0.0,-0.473784,5,0
6,heimdall@840a180,heimdall,840a180,4914,4371,0,543,0.8895,2.615901,454.4,2.615901,-0.621045,0.799573,0.0,-0.473784,5,1
7,maporacle@38e1456,maporacle,38e1456,4914,4367,0,547,0.8887,2.601598,451.9,2.601598,-0.930397,0.539999,0.0,-0.891998,9,-2
8,bastion@840a180,bastion,840a180,4914,4133,1,780,0.8412,2.4119,419.0,2.4119,-1.075462,-0.283103,0.0,-1.400893,16,-8
9,steward@e55aab5,steward,e55aab5,4914,4097,0,817,0.8337,2.343205,407.1,2.343205,-1.069529,-0.305393,0.0,-1.260254,13,-4
10,warden_walk@e55aab5,warden_walk,e55aab5,4914,4035,1,878,0.8212,2.215066,384.8,2.215066,-0.882714,-0.14681,0.0,-1.400893,16,-6
11,vigil@e22eda8,vigil,e22eda8,4914,3994,0,920,0.8128,2.201524,382.4,2.201524,-1.121426,-0.285803,0.0,-3.320228,75,-64
12,vigil@e267eeb,vigil,e267eeb,4914,3990,0,924,0.812,2.185324,379.6,2.185324,-1.083227,-0.273946,0.0,-2.785011,61,-49
13,vigil@18b749d,vigil,18b749d,4914,3936,0,978,0.801,2.177228,378.2,2.177228,-0.97989,-0.67177,0.0,-2.785011,61,-48
14,ragnarok@79582fc,ragnarok,79582fc,4914,4006,0,908,0.8152,2.163262,375.8,2.163262,-1.159065,-0.356726,0.0,-2.423538,52,-38
15,warden_walk@3318ffd,warden_walk,3318ffd,4914,3984,1,929,0.8108,2.153444,374.1,2.153444,-0.859107,-0.215758,0.0,-1.919593,27,-12
16,warden@3318ffd,warden,3318ffd,4914,4007,1,906,0.8155,2.151127,373.7,2.151127,-1.206533,-0.319164,0.0,-2.423538,52,-36
17,valkyrie@d181312,valkyrie,d181312,4914,3994,1,919,0.8129,2.140307,371.8,2.140307,-1.204638,-0.374009,0.0,-2.785011,61,-44
18,aegis@e55aab5,aegis,e55aab5,4914,3974,1,939,0.8088,2.11852,368.0,2.11852,-0.871497,-0.11887,0.0,-2.423538,52,-34
19,heimdall@daf0de0,heimdall,daf0de0,4914,3980,5,929,0.8104,2.029651,352.6,2.029651,-0.445714,0.333514,0.0,-1.129865,11,8
20,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4914,3867,0,1047,0.7869,2.017008,350.4,2.017008,-0.882184,-0.534956,0.0,-2.423538,52,-32
21,valkyrie@30d0491,valkyrie,30d0491,4914,3902,0,1012,0.7941,2.000357,347.5,2.000357,-1.009892,-0.374369,0.0,-1.919593,27,-6
22,vigil@1b5f3d1,vigil,1b5f3d1,4914,3838,0,1076,0.781,1.988166,345.4,1.988166,-0.856687,-0.471024,0.0,-2.146581,42,-20
23,vigil@bf9b3e3,vigil,bf9b3e3,4914,3816,0,1098,0.7766,1.907444,331.4,1.907444,-0.969798,-0.448231,0.0,-2.146581,42,-19
24,vigil@60d5afa,vigil,60d5afa,4914,3750,0,1164,0.7631,1.790017,311.0,1.790017,-0.883795,-0.437594,0.0,-2.423538,52,-28
25,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,4914,3649,2,1263,0.7428,1.711376,297.3,1.711376,-0.414447,-0.442376,0.0,-0.573346,7,18
26,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,4914,3609,1,1304,0.7345,1.709438,297.0,1.709438,-0.208473,-0.216108,0.0,-1.260254,13,13
27,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4914,3623,0,1291,0.7373,1.708074,296.7,1.708074,-0.180938,-0.140228,0.0,-1.55463,19,8
28,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,4914,3612,0,1302,0.735,1.598496,277.7,1.598496,-0.578798,-0.365582,0.0,-0.675755,8,20
29,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4914,3686,0,1228,0.7501,1.559936,271.0,1.559936,-1.102928,-0.218099,0.0,-2.146581,42,-13
30,prospect@bf9b3e3,prospect,bf9b3e3,4914,3476,0,1438,0.7074,1.533455,266.4,1.533455,-0.074614,-0.305603,0.0,-1.400893,16,14
