rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vigil@18b749d,vigil,18b749d,3612,3291,0,321,0.9111,2.909331,505.4,2.909331,1.172125,0.443115,0.0,-0.222914,4,-3
2,vigil@e22eda8,vigil,e22eda8,3612,3310,0,302,0.9164,2.869586,498.5,2.869586,1.262496,-0.096883,0.501655,0.0,1,1
3,ragnarok@34f775b,ragnarok,34f775b,3612,3309,0,303,0.9161,2.847587,494.7,2.847587,1.353467,0.034851,0.374302,-0.0,3,0
4,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,3612,3251,0,361,0.9001,2.739568,475.9,2.739568,1.095133,0.251622,0.0,-0.418654,5,-1
5,vigil@1b5f3d1,vigil,1b5f3d1,3612,3223,0,389,0.8923,2.695635,468.3,2.695635,1.088049,0.132664,0.0,-0.44661,6,-1
6,vigil@bf9b3e3,vigil,bf9b3e3,3612,3206,0,406,0.8876,2.601082,451.9,2.601082,1.19486,0.149969,0.0,-0.44661,7,-1
7,ragnarok_fair@34f775b,ragnarok_fair,34f775b,3612,2972,0,640,0.8228,2.230954,387.6,2.230954,0.352252,0.23342,0.124043,-0.0,2,5
8,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,3612,2875,0,737,0.796,2.110988,366.7,2.110988,0.441483,0.497834,0.0,-1.060833,10,-2
9,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,3612,2872,0,740,0.7951,2.103846,365.5,2.103846,0.102737,0.613692,0.0,-1.038518,9,0
10,prospect@bf9b3e3,prospect,bf9b3e3,3612,2913,0,699,0.8065,2.090037,363.1,2.090037,0.31996,0.349701,0.0,-0.709392,8,2
11,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,3612,2858,0,754,0.7913,2.040366,354.4,2.040366,0.504992,0.418217,0.0,-1.092381,11,0
12,janus@8a1e7a1,janus,8a1e7a1,3612,2798,0,814,0.7746,1.989957,345.7,1.989957,-0.075165,0.58188,0.0,-1.260813,12,0
13,vanguard_oracle@902be71,vanguard_oracle,902be71,3612,2606,0,1006,0.7215,1.722051,299.2,1.722051,-0.161437,0.724689,0.0,-2.12413,27,-14
14,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3612,2515,0,1097,0.6963,1.57149,273.0,1.57149,-0.28981,0.870888,0.0,-2.159401,30,-16
15,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3612,2571,0,1041,0.7118,1.541083,267.7,1.541083,0.029167,0.219033,0.0,-1.510476,14,1
16,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3612,2570,0,1042,0.7115,1.536928,267.0,1.536928,0.035586,0.217894,0.0,-1.510476,15,1
17,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3612,2476,0,1136,0.6855,1.520308,264.1,1.520308,-0.373594,0.879949,0.0,-2.478021,38,-21
18,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3612,2591,0,1021,0.7173,1.491515,259.1,1.491515,0.229359,0.395778,0.0,-2.062839,24,-6
19,vanguard@9932bec,vanguard,9932bec,3612,2386,0,1226,0.6606,1.476789,256.5,1.476789,-0.753009,0.919268,0.0,-2.414541,35,-16
20,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3612,2566,0,1046,0.7104,1.471629,255.6,1.471629,0.150173,0.137153,0.0,-1.498878,13,7
