rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vigil@18b749d,vigil,18b749d,3654,3308,0,346,0.9053,2.871992,498.9,2.871992,-1.165717,-0.429468,0.0,-0.212544,5,-4
2,vigil@e22eda8,vigil,e22eda8,3654,3330,0,324,0.9113,2.835919,492.6,2.835919,-1.275012,0.104689,0.0,-5e-06,4,-2
3,ragnarok@34f775b,ragnarok,34f775b,3654,3332,0,322,0.9119,2.817348,489.4,2.817348,-1.335572,-0.013354,0.248898,0.0,1,2
4,vigil@2956db3,vigil,2956db3,3654,3331,0,323,0.9116,2.81453,488.9,2.81453,-1.237389,0.104467,0.502205,-0.0,3,1
5,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,3654,3267,0,387,0.8941,2.703053,469.6,2.703053,-1.083945,-0.243916,0.0,-0.35969,8,-3
6,vigil@1b5f3d1,vigil,1b5f3d1,3654,3240,0,414,0.8867,2.660724,462.2,2.660724,-1.071615,-0.127037,0.0,-0.313716,6,0
7,vigil@bf9b3e3,vigil,bf9b3e3,3654,3223,0,431,0.882,2.567246,446.0,2.567246,-1.192704,-0.13825,0.0,-0.313716,7,0
8,ragnarok_fair@34f775b,ragnarok_fair,34f775b,3654,2991,0,663,0.8186,2.203482,382.8,2.203482,-0.341942,-0.202654,0.248898,0.0,2,6
9,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,3654,2886,0,768,0.7898,2.075549,360.6,2.075549,-0.433661,-0.486049,0.0,-0.929967,12,-3
10,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,3654,2882,0,772,0.7887,2.067099,359.1,2.067099,-0.103556,-0.601123,0.0,-0.881098,10,0
11,prospect@bf9b3e3,prospect,bf9b3e3,3654,2928,0,726,0.8013,2.059772,357.8,2.059772,-0.309708,-0.322181,0.0,-0.601611,9,2
12,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,3654,2867,0,787,0.7846,2.002859,347.9,2.002859,-0.492097,-0.415263,0.0,-0.92341,11,1
13,janus@8a1e7a1,janus,8a1e7a1,3654,2807,0,847,0.7682,1.953023,339.3,1.953023,0.074462,-0.573743,0.0,-1.113553,13,0
14,vanguard_oracle@902be71,vanguard_oracle,902be71,3654,2610,0,1044,0.7143,1.678089,291.5,1.678089,0.158242,-0.741005,0.0,-1.962457,28,-14
15,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3654,2518,0,1136,0.6891,1.526091,265.1,1.526091,0.285803,-0.888865,0.0,-2.032612,31,-16
16,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3654,2576,0,1078,0.705,1.501757,260.9,1.501757,-0.016602,-0.235262,0.0,-1.359148,15,1
17,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3654,2575,0,1079,0.7047,1.49765,260.2,1.49765,-0.022844,-0.233731,0.0,-1.359148,16,1
18,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3654,2478,0,1176,0.6782,1.471384,255.6,1.471384,0.368292,-0.908046,0.0,-2.350538,39,-21
19,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3654,2593,0,1061,0.7096,1.442918,250.7,1.442918,-0.215677,-0.437562,0.0,-1.953784,27,-8
20,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3654,2571,0,1083,0.7036,1.433092,249.0,1.433092,-0.134649,-0.153505,0.0,-1.335878,14,6
21,vanguard@9932bec,vanguard,9932bec,3654,2389,0,1265,0.6538,1.432467,248.8,1.432467,0.742592,-0.934382,0.0,-2.223969,33,-12
22,vanguard@818f3b4,vanguard,818f3b4,3654,2399,0,1255,0.6565,1.39914,243.1,1.39914,0.641179,-0.914727,0.0,-2.392188,42,-20
23,gobbleglitch@e808e1d,gobbleglitch,e808e1d,3654,2669,3,982,0.7308,1.387688,241.1,1.387688,-0.772633,-0.490837,0.0,-2.588657,46,-23
24,vanguard@c407e79,vanguard,c407e79,3654,2316,0,1338,0.6338,1.359179,236.1,1.359179,0.848193,-0.873868,0.0,-1.908421,25,-1
25,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,3654,2612,0,1042,0.7148,1.285198,223.3,1.285198,-0.809016,-0.20963,0.0,-1.494543,17,8
26,undertow@fdc1e1f,undertow,fdc1e1f,3654,2311,0,1343,0.6325,1.268228,220.3,1.268228,0.665906,-0.533965,0.0,-2.00219,30,-4
27,v233_i@902be71,v233_i,902be71,3654,2258,0,1396,0.618,1.25717,218.4,1.25717,0.994847,-0.953544,0.0,-2.10007,32,-5
28,undertow@da3fd8a,undertow,da3fd8a,3654,2307,0,1347,0.6314,1.246489,216.5,1.246489,0.662086,-0.532444,0.0,-1.932035,26,2
29,undertow_oracle@75591b7,undertow_oracle,75591b7,3654,2355,0,1299,0.6445,1.246176,216.5,1.246176,0.445977,-0.802742,0.0,-2.478772,44,-15
30,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,3654,2345,0,1309,0.6418,1.241012,215.6,1.241012,0.474193,-0.761317,0.0,-2.350538,40,-10
31,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,3654,2253,0,1401,0.6166,1.168108,202.9,1.168108,0.733103,-0.573368,0.0,-1.962457,29,2
32,v233_g@9713344,v233_g,9713344,3654,2148,0,1506,0.5878,1.144722,198.9,1.144722,1.215076,-0.673425,0.0,-2.333895,38,-6
33,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,3654,2482,2,1170,0.6795,1.128338,196.0,1.128338,-0.538773,-0.226869,0.0,-1.610005,18,15
34,autistimusprime@ecd4d24,autistimusprime,ecd4d24,3654,2600,3,1051,0.712,1.115376,193.8,1.115376,-1.187127,-0.321654,0.0,-2.588657,47,-13
35,vanguard@da3fd8a,vanguard,da3fd8a,3654,2168,0,1486,0.5933,1.092312,189.8,1.092312,1.084187,-0.930105,0.0,-2.521304,45,-10
36,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,3654,2426,3,1225,0.6643,1.049445,182.3,1.049445,-0.549718,-0.319783,0.0,-1.755006,21,15
37,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,3654,2403,1,1250,0.6578,1.035737,179.9,1.035737,-0.503951,-0.267834,0.0,-1.666501,19,18
38,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,3654,2398,1,1255,0.6564,1.030323,179.0,1.030323,-0.491667,-0.261199,0.0,-1.666501,20,18
39,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,3654,2397,1,1256,0.6561,1.022344,177.6,1.022344,-0.47595,-0.211288,0.0,-1.761805,23,16
40,tempest@da3fd8a,tempest,da3fd8a,3654,2386,1,1267,0.6531,1.014068,176.2,1.014068,-0.470086,-0.260697,0.0,-1.780496,24,16
41,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,3654,2417,3,1234,0.6619,1.012091,175.8,1.012091,-0.588747,-0.271557,0.0,-1.755006,22,19
42,v233_f@9713344,v233_f,9713344,3654,2027,0,1627,0.5547,0.897843,156.0,0.897843,1.34893,-0.748703,0.0,-2.702825,51,-9
43,mistral_fast@26b5aa1,mistral_fast,26b5aa1,3654,2282,2,1370,0.6248,0.891131,154.8,0.891131,-0.248135,-0.569374,0.0,-2.283079,35,8
44,mistral@ba943b9,mistral,ba943b9,3654,2276,2,1376,0.6232,0.88433,153.6,0.88433,-0.232058,-0.558125,0.0,-2.283079,36,8
45,undertow@9713344,undertow,9713344,3654,2062,1,1591,0.5644,0.78455,136.3,0.78455,0.784039,-0.659789,0.0,-2.96383,53,-8
46,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,3654,2178,1,1475,0.5962,0.765691,133.0,0.765691,-0.16315,-0.302055,0.0,-2.32473,37,9
47,e_final@9e77076,e_final,9e77076,3654,2073,0,1581,0.5673,0.540307,93.9,0.540307,-0.045638,-0.410463,0.0,-2.748429,52,-5
48,v233_e@9713344,v233_e,9713344,3654,1897,0,1757,0.5192,0.392137,68.1,0.392137,0.617147,-0.406377,0.0,-2.626107,49,-1
49,uw_v2@9713344,uw_v2,9713344,3654,1951,0,1703,0.5339,0.346786,60.2,0.346786,0.099495,-0.372782,0.0,-2.626107,50,-1
50,jonbot@da3fd8a,jonbot,da3fd8a,3654,1957,0,1697,0.5356,0.261158,45.4,0.261158,-0.454449,0.093819,0.0,-2.35421,41,9
51,casemate_oracle@902be71,casemate_oracle,902be71,3654,1986,0,1668,0.5435,0.245656,42.7,0.245656,-0.926873,-0.124329,0.0,-2.239614,34,17
52,v233_c@9713344,v233_c,9713344,3654,1730,1,1923,0.4736,-0.178423,-31.0,-0.178423,-0.183624,-0.5962,0.0,-3.466382,58,-6
53,v233_b@9713344,v233_b,9713344,3654,1688,1,1965,0.4621,-0.229492,-39.9,-0.229492,-0.147178,-0.563486,0.0,-3.376413,57,-4
54,v233_d@9713344,v233_d,9713344,3654,1660,0,1994,0.4543,-0.305129,-53.0,-0.305129,0.064608,-0.55812,0.0,-4.163283,66,-12
55,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,3654,1463,0,2191,0.4004,-0.527668,-91.7,-0.527668,-0.23191,0.350001,0.0,-2.605071,48,7
56,e_t4l7@9e77076,e_t4l7,9e77076,3654,1439,0,2215,0.3938,-0.661856,-115.0,-0.661856,2.042893,0.922542,0.0,-2.438699,43,13
57,tempest_sentinel@fdc1e1f,tempest_sentinel,fdc1e1f,3654,1098,4,2552,0.301,-1.346251,-233.9,-1.346251,0.473741,0.224407,0.0,-3.330808,56,1
58,e_condc@6db8844,e_condc,6db8844,3654,1188,0,2466,0.3251,-1.349711,-234.5,-1.349711,0.798134,1.019521,0.0,-3.107624,54,4
59,v233_a@9713344,v233_a,9713344,3654,1154,2,2498,0.3161,-1.425711,-247.7,-1.425711,0.433223,0.281931,0.0,-4.442651,70,-11
60,e_harc@6db8844,e_harc,6db8844,3654,1153,1,2500,0.3157,-1.436753,-249.6,-1.436753,0.499674,0.97275,0.0,-3.320228,55,5
61,uw_v1@9713344,uw_v1,9713344,3654,1087,0,2567,0.2975,-1.509696,-262.3,-1.509696,0.123239,0.259799,0.0,-4.442651,71,-10
62,e_post2@4a95297,e_post2,4a95297,3654,1066,0,2588,0.2917,-1.511401,-262.6,-1.511401,0.249397,0.984586,0.0,-3.66073,63,-1
63,e9cand@9e77076,e9cand,9e77076,3654,1056,0,2598,0.289,-1.5261,-265.1,-1.5261,0.256625,1.018539,0.0,-3.66073,64,-1
64,turtle@9713344,turtle,9713344,3654,803,17,2834,0.2221,-2.098371,-364.5,-2.098371,0.23533,0.924692,0.0,-4.442651,72,-8
65,casemate@902be71,casemate,902be71,3654,736,0,2918,0.2014,-2.145137,-372.6,-2.145137,0.142151,0.579677,0.0,-4.442651,73,-8
66,vg_v4@9713344,vg_v4,9713344,3654,760,16,2878,0.2102,-2.158726,-375.0,-2.158726,0.166852,0.668191,0.0,-4.442651,74,-8
67,vg_v7@9713344,vg_v7,9713344,3654,755,16,2883,0.2088,-2.164368,-376.0,-2.164368,0.115193,0.646029,0.0,-4.442651,75,-8
68,vg_v5@9713344,vg_v5,9713344,3654,787,16,2851,0.2176,-2.183096,-379.2,-2.183096,0.334342,0.647351,0.0,-4.442651,76,-8
69,nemesis@9713344,nemesis,9713344,3654,696,0,2958,0.1905,-2.20834,-383.6,-2.20834,-0.132308,0.890905,0.0,-4.442651,77,-8
70,vg_v2@9713344,vg_v2,9713344,3654,765,16,2873,0.2115,-2.222839,-386.1,-2.222839,0.38082,0.656538,0.0,-4.442651,78,-8
71,riptide@9713344,riptide,9713344,3654,747,0,2907,0.2044,-2.231936,-387.7,-2.231936,0.26075,0.726011,0.0,-4.442651,79,-8
72,vg_v6@9713344,vg_v6,9713344,3654,741,16,2897,0.205,-2.259403,-392.5,-2.259403,0.30965,0.677582,0.0,-4.442651,80,-8
73,baiter@9713344,baiter,9713344,3654,729,16,2909,0.2017,-2.262919,-393.1,-2.262919,0.294702,0.718738,0.0,-4.163283,67,6
74,vg_v3@9713344,vg_v3,9713344,3654,734,16,2904,0.2031,-2.275113,-395.2,-2.275113,0.327946,0.666929,0.0,-4.163283,68,6
75,reaver@9713344,reaver,9713344,3654,666,18,2970,0.1847,-2.2986,-399.3,-2.2986,0.013783,0.59798,0.0,-4.442651,81,-6
76,vg_v1@9713344,vg_v1,9713344,3654,618,1,3035,0.1693,-2.452351,-426.0,-2.452351,0.128067,0.683978,0.0,-4.442651,82,-6
77,jonbot@9713344,jonbot,9713344,3654,655,1,2998,0.1794,-2.473434,-429.7,-2.473434,0.088508,0.471914,0.0,-4.163283,69,8
78,siege_v2@9713344,siege_v2,9713344,3654,572,19,3063,0.1591,-2.505103,-435.2,-2.505103,-0.129287,0.855085,0.0,-4.442651,83,-5
79,titanium_v1@9713344,titanium_v1,9713344,3654,589,0,3065,0.1612,-2.581075,-448.4,-2.581075,0.096545,0.966484,0.0,-4.442651,84,-5
80,attack_wave_v1@9713344,attack_wave_v1,9713344,3654,532,27,3095,0.1493,-2.610113,-453.4,-2.610113,-0.11131,0.940099,0.0,-4.442651,85,-5
81,frontier_v2@9713344,frontier_v2,9713344,3654,518,4,3132,0.1423,-2.62027,-455.2,-2.62027,-0.213416,0.907571,0.0,-4.442651,86,-5
82,siege_v1@9713344,siege_v1,9713344,3654,491,26,3137,0.1379,-2.654012,-461.0,-2.654012,-0.258109,0.926083,0.0,-4.442651,87,-5
83,frontier_v1@9713344,frontier_v1,9713344,3654,484,4,3166,0.133,-2.656293,-461.4,-2.656293,-0.284778,0.770027,0.0,-3.878965,65,18
84,opponent_luc@e83a42c,opponent_luc,e83a42c,3654,524,53,3077,0.1507,-2.732778,-474.7,-2.732778,0.215613,0.519476,0.0,-3.610176,61,23
85,claude_challenger_3@fdc1e1f,claude_challenger_3,fdc1e1f,3654,454,55,3145,0.1318,-2.782217,-483.3,-2.782217,0.066835,0.665363,0.0,-3.599597,59,26
86,claude_challenger_2@fdc1e1f,claude_challenger_2,fdc1e1f,3654,450,56,3148,0.1308,-2.799457,-486.3,-2.799457,0.082714,0.662107,0.0,-3.599597,60,26
87,claude_challenger_1@fdc1e1f,claude_challenger_1,fdc1e1f,3654,456,56,3142,0.1325,-2.860745,-497.0,-2.860745,0.146104,0.478759,0.0,-4.442651,88,-1
88,lockin@9713344,lockin,9713344,3654,426,48,3180,0.1232,-2.883891,-501.0,-2.883891,-0.008605,0.761427,0.0,-3.610176,62,26
