match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000cb6781ea14e98,auto-756c8d8b3cd3,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,steward@e55aab5,steward,e55aab5,atoll,official,1,0,rating,b,b,0.0,core_destroyed,29,,140,0,8,2,10,80,9,7,ok,,3.271,n-62-11-64,29022199,2026-08-03T21:03:52+0200
000e2840fd8738c6,auto-756c8d8b3cd3,warden_walk@e55aab5,warden_walk,e55aab5,mistral@ba943b9,mistral,ba943b9,duel,official,1,0,rating,b,b,0.0,core_destroyed,29,,3,60,9,6,60,0,6,1,ok,,3.561,n-62-11-64,29022199,2026-08-03T21:06:28+0200
0014fe1916ae53b2,auto-756c8d8b3cd3,reaver@9713344,reaver,9713344,aegis@e55aab5,aegis,e55aab5,longship,official,1,0,rating,b,b,0.0,core_destroyed,46,,85,90,6,8,10,90,11,17,ok,,3.69,n-62-31-19,29022199,2026-08-03T20:59:04+0200
0015e8bbceb1b22b,auto-756c8d8b3cd3,undertow@9713344,undertow,9713344,aegis@e55aab5,aegis,e55aab5,showdown,official,1,0,rating,b,b,0.0,core_destroyed,21,,34,0,5,9,31,0,11,1,ok,,3.48,n-62-31-10,29022199,2026-08-03T21:01:29+0200
001ba2d8e50dab76,auto-756c8d8b3cd3,aegis@e55aab5,aegis,e55aab5,opponent_luc@e83a42c,opponent_luc,e83a42c,sweden,official,1,0,rating,a,a,1.0,core_destroyed,27,,16,0,11,13,560,0,0,0,ok,,2.372,n-62-30-23,29022199,2026-08-03T20:59:33+0200
001c3af4f1ebe71e,auto-756c8d8b3cd3,steward@e55aab5,steward,e55aab5,gobbleglitch@e808e1d,gobbleglitch,e808e1d,strait,official,1,0,rating,a,a,1.0,core_destroyed,64,,30,260,13,25,66,0,10,0,ok,,4.527,n-62-31-24,29022199,2026-08-03T21:02:26+0200
001d2fa24a711a58,auto-756c8d8b3cd3,warden_walk@e55aab5,warden_walk,e55aab5,riptide@9713344,riptide,9713344,showdown,official,1,0,rating,a,a,1.0,core_destroyed,31,,60,0,10,1,77,0,7,1,ok,,4.056,n-62-29-27,29022199,2026-08-03T21:06:20+0200
001e3cdb20828766,auto-756c8d8b3cd3,aegis@e55aab5,aegis,e55aab5,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,atoll,official,1,0,rating,a,a,1.0,core_destroyed,29,,10,90,8,7,122,60,10,5,ok,,4.335,n-62-11-51,29022199,2026-08-03T21:00:40+0200
0020ddf490c8853c,auto-756c8d8b3cd3,frontier_v1@9713344,frontier_v1,9713344,steward@e55aab5,steward,e55aab5,twins,official,1,0,rating,b,b,0.0,core_destroyed,28,,14,0,10,2,20,40,11,12,ok,,3.635,n-62-29-18,29022199,2026-08-03T21:02:18+0200
0024d0de4a08854f,auto-756c8d8b3cd3,steward@e55aab5,steward,e55aab5,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,atoll,official,1,0,rating,a,a,1.0,core_destroyed,38,,10,140,11,11,34,140,10,13,ok,,4.46,n-62-28-28,29022199,2026-08-03T21:05:21+0200
00261c0ae8d692d6,auto-756c8d8b3cd3,vg_v3@9713344,vg_v3,9713344,steward@e55aab5,steward,e55aab5,runestone,official,1,0,rating,b,b,0.0,core_destroyed,29,,68,40,6,9,3,40,11,14,ok,,3.914,n-62-28-35,29022199,2026-08-03T21:04:55+0200
002884fa04a96f8a,auto-756c8d8b3cd3,aegis@e55aab5,aegis,e55aab5,e_condc@6db8844,e_condc,6db8844,bridge,official,1,0,rating,a,a,1.0,core_destroyed,61,,10,0,12,6,21,0,5,18,ok,,3.866,n-62-21-98,29022199,2026-08-03T20:59:09+0200
