rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward@e55aab5,steward,e55aab5,4200,3699,0,501,0.8807,2.629587,456.8,2.629587,0.771047,-0.834439,0.0,-0.186586,8,-7
2,vigil@18b749d,vigil,18b749d,4200,3608,0,592,0.859,2.541479,441.5,2.541479,0.87907,-0.533667,0.0,-0.474911,14,-12
3,vigil@e22eda8,vigil,e22eda8,4200,3652,0,548,0.8695,2.538433,441.0,2.538433,0.609354,-0.910422,0.0,-0.376478,10,-7
4,warden@3318ffd,warden,3318ffd,4200,3661,0,539,0.8717,2.514505,436.8,2.514505,0.665128,-0.917567,0.0,-0.280902,9,-5
5,vigil@e267eeb,vigil,e267eeb,4200,3646,0,554,0.8681,2.513159,436.6,2.513159,0.594086,-0.87679,0.0,-0.473784,13,-8
6,ragnarok@79582fc,ragnarok,79582fc,4200,3654,0,546,0.87,2.51019,436.1,2.51019,0.696497,-0.883332,0.0,-0.377344,11,-5
7,valkyrie@d181312,valkyrie,d181312,4200,3651,0,549,0.8693,2.503389,434.9,2.503389,0.700364,-0.901522,0.0,-0.425131,12,-5
8,warden_walk@e55aab5,warden_walk,e55aab5,4200,3639,0,561,0.8664,2.47941,430.7,2.47941,0.503729,-0.770897,0.500002,0.0,1,7
9,warden_walk@3318ffd,warden_walk,3318ffd,4200,3607,0,593,0.8588,2.431055,422.3,2.431055,0.4852,-0.688149,0.0,-0.046545,4,5
10,aegis@e55aab5,aegis,e55aab5,4200,3605,0,595,0.8583,2.403846,417.6,2.403846,0.343102,-0.737783,0.499998,0.0,1,9
11,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4200,3545,0,655,0.844,2.370261,411.8,2.370261,0.736077,-0.544178,0.0,-0.62455,17,-6
12,vigil@1b5f3d1,vigil,1b5f3d1,4200,3509,0,691,0.8355,2.325114,403.9,2.325114,0.67954,-0.57665,0.0,-0.523565,15,-3
13,valkyrie@30d0491,valkyrie,30d0491,4200,3552,0,648,0.8457,2.314098,402.0,2.314098,0.73933,-0.734617,0.0,-0.046545,4,9
14,vigil@bf9b3e3,vigil,bf9b3e3,4200,3486,0,714,0.83,2.234992,388.3,2.234992,0.753365,-0.684981,0.0,-0.62455,17,-3
15,vigil@60d5afa,vigil,60d5afa,4200,3435,0,765,0.8179,2.087228,362.6,2.087228,0.741885,-0.62849,0.0,-0.0,1,14
16,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4200,3279,0,921,0.7807,1.936294,336.4,1.936294,0.172459,-0.151418,0.0,-0.093907,7,9
17,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4200,3372,0,828,0.8029,1.863826,323.8,1.863826,0.671689,-0.932576,0.0,-1.260254,28,-11
18,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4200,3306,0,894,0.7871,1.755376,304.9,1.755376,0.607945,-0.787092,0.0,-0.627742,19,-1
19,prospect@bf9b3e3,prospect,bf9b3e3,4200,3140,0,1060,0.7476,1.735699,301.5,1.735699,0.30115,0.028109,0.0,-0.573346,16,3
20,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4200,3075,0,1125,0.7321,1.725223,299.7,1.725223,0.536934,0.049868,0.0,-1.068752,23,-3
21,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4200,3062,0,1138,0.729,1.70998,297.1,1.70998,0.403907,0.348217,0.0,-0.675755,20,1
22,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4200,3078,5,1117,0.7335,1.676244,291.2,1.676244,0.947766,0.051282,0.0,-1.72551,33,-11
23,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4200,3049,0,1151,0.726,1.653036,287.2,1.653036,0.520825,-0.005081,0.0,-0.891998,21,2
24,janus@8a1e7a1,janus,8a1e7a1,4200,2966,0,1234,0.7062,1.586192,275.5,1.586192,0.314894,0.480192,0.0,-0.955783,22,2
