rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,odin@5a92113,odin,5a92113,4788,4414,0,374,0.9219,2.840675,493.5,2.840675,-0.991131,0.546985,1.0,0.0,1,0
2,odin@45aa24a,odin,45aa24a,4788,4327,0,461,0.9037,2.719647,472.5,2.719647,-0.869046,0.654247,0.0,-0.675755,4,-2
3,heimdall@4c0d92e,heimdall,4c0d92e,4788,4341,0,447,0.9066,2.707164,470.3,2.707164,-0.918949,0.628427,0.0,-0.675755,4,-1
4,heimdall@840a180,heimdall,840a180,4788,4311,0,477,0.9004,2.686629,466.7,2.686629,-0.823345,0.562577,0.0,-0.573346,2,2
5,bastion@840a180,bastion,840a180,4788,4102,1,685,0.8568,2.503519,434.9,2.503519,-0.973882,-0.590555,0.0,-1.260254,11,-6
6,steward@e55aab5,steward,e55aab5,4788,4069,0,719,0.8498,2.436234,423.2,2.436234,-0.954317,-0.604291,0.0,-1.400893,13,-7
7,vigil@e22eda8,vigil,e22eda8,4788,3983,0,805,0.8319,2.322419,403.4,2.322419,-0.956452,-0.519231,0.0,-2.423538,45,-38
8,warden_walk@e55aab5,warden_walk,e55aab5,4788,4008,1,779,0.8372,2.306833,400.7,2.306833,-0.814466,-0.376499,0.0,-1.400893,13,-5
9,vigil@e267eeb,vigil,e267eeb,4788,3978,0,810,0.8308,2.301143,399.7,2.301143,-0.927745,-0.508227,0.0,-2.423538,45,-36
10,vigil@18b749d,vigil,18b749d,4788,3925,0,863,0.8198,2.295979,398.9,2.295979,-0.695065,-0.866559,0.0,-2.785011,57,-47
11,ragnarok@79582fc,ragnarok,79582fc,4788,3992,0,796,0.8338,2.274025,395.0,2.274025,-1.002609,-0.627772,0.0,-2.785011,57,-46
12,warden@3318ffd,warden,3318ffd,4788,3996,1,791,0.8347,2.270708,394.5,2.270708,-1.047832,-0.585812,0.0,-2.785011,57,-45
13,valkyrie@d181312,valkyrie,d181312,4788,3984,1,803,0.8322,2.262748,393.1,2.262748,-1.023517,-0.630331,0.0,-2.785011,57,-44
14,warden_walk@3318ffd,warden_walk,3318ffd,4788,3969,1,818,0.8291,2.262712,393.1,2.262712,-0.743241,-0.388204,0.0,-1.919593,22,-8
15,aegis@e55aab5,aegis,e55aab5,4788,3960,1,827,0.8272,2.228116,387.1,2.228116,-0.788466,-0.289872,0.0,-2.423538,45,-30
16,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4788,3854,0,934,0.8049,2.127099,369.5,2.127099,-0.663245,-0.716077,0.0,-2.423538,45,-29
17,valkyrie@30d0491,valkyrie,30d0491,4788,3886,0,902,0.8116,2.101416,365.1,2.101416,-0.863735,-0.631196,0.0,-2.146581,33,-16
18,heimdall@daf0de0,heimdall,daf0de0,4788,3937,5,846,0.8228,2.099817,364.8,2.099817,-0.533486,0.172468,0.0,-0.891998,7,11
19,vigil@1b5f3d1,vigil,1b5f3d1,4788,3823,0,965,0.7985,2.091953,363.4,2.091953,-0.679716,-0.655719,0.0,-2.146581,33,-14
20,vigil@bf9b3e3,vigil,bf9b3e3,4788,3800,0,988,0.7937,2.006717,348.6,2.006717,-0.797569,-0.68585,0.0,-2.146581,33,-13
21,vigil@60d5afa,vigil,60d5afa,4788,3736,0,1052,0.7803,1.889972,328.3,1.889972,-0.694926,-0.654232,0.0,-2.423538,45,-24
22,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4788,3599,0,1189,0.7517,1.789291,310.8,1.789291,-0.123523,-0.165808,0.0,-1.55463,15,7
23,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,4788,3583,1,1204,0.7484,1.788131,310.6,1.788131,-0.166502,-0.251341,0.0,-1.260254,11,12
24,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,4788,3609,2,1177,0.754,1.77556,308.4,1.77556,-0.317736,-0.591839,0.0,-0.573346,2,22
25,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,4788,3578,0,1210,0.7473,1.665721,289.4,1.665721,-0.500738,-0.564366,0.0,-0.675755,4,21
26,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4788,3672,0,1116,0.7669,1.653889,287.3,1.653889,-1.015251,-0.527465,0.0,-2.146581,33,-7
27,prospect@bf9b3e3,prospect,bf9b3e3,4788,3453,0,1335,0.7212,1.61134,279.9,1.61134,0.023078,-0.303838,0.0,-1.55463,15,12
28,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4788,3355,0,1433,0.7007,1.564889,271.8,1.564889,0.260329,-0.491755,0.0,-1.919593,22,6
29,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4788,3352,0,1436,0.7001,1.554089,270.0,1.554089,0.008693,-0.571062,0.0,-1.919593,22,7
30,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4788,3581,0,1207,0.7479,1.527748,265.4,1.527748,-0.874534,-0.533278,0.0,-2.423538,45,-15
31,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4788,3368,0,1420,0.7034,1.526435,265.2,1.526435,-0.024045,-0.482319,0.0,-1.129865,9,22
32,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4788,3350,5,1433,0.7002,1.477819,256.7,1.477819,-0.114455,-1.013891,0.0,-2.785011,57,-25
33,janus@8a1e7a1,janus,8a1e7a1,4788,3248,0,1540,0.6784,1.44054,250.2,1.44054,0.427465,-0.440981,0.0,-1.919593,22,11
34,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,4788,3502,0,1286,0.7314,1.184398,205.8,1.184398,-1.40525,-0.068324,0.0,-1.129865,9,25
35,vanguard_oracle@902be71,vanguard_oracle,902be71,4788,2959,0,1829,0.618,1.086646,188.8,1.086646,0.642176,-0.690316,0.0,-1.919593,22,13
36,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4788,2990,0,1798,0.6245,1.029992,178.9,1.029992,0.208623,-0.238613,0.0,-2.785011,57,-21
37,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,4788,2988,0,1800,0.6241,1.023706,177.8,1.023706,0.196626,-0.237856,0.0,-2.785011,57,-20
38,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,4788,2989,0,1799,0.6243,0.985039,171.1,0.985039,0.101231,-0.19442,0.0,-2.785011,57,-19
39,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,4788,2990,0,1798,0.6245,0.963178,167.3,0.963178,0.165252,-0.441797,0.0,-2.423538,45,-6
40,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,4788,2853,0,1935,0.5959,0.931314,161.8,0.931314,0.730021,-0.7149,0.0,-1.919593,22,18
41,vanguard_oracle@75591b7,vanguard_oracle,75591b7,4788,2802,0,1986,0.5852,0.880859,153.0,0.880859,0.784627,-0.72619,0.0,-2.785011,57,-16
42,gobbleglitch@e808e1d,gobbleglitch,e808e1d,4788,3044,6,1738,0.6364,0.875421,152.1,0.875421,-0.247013,-0.71938,0.0,-2.785011,57,-15
43,gobbleglitch@a79dd98,gobbleglitch,a79dd98,4788,3003,4,1781,0.6276,0.874121,151.9,0.874121,-0.089486,-0.657426,0.0,-2.423538,45,-2
44,vanguard@9932bec,vanguard,9932bec,4788,2694,0,2094,0.5627,0.856631,148.8,0.856631,1.192426,-0.596911,0.0,-1.919593,22,22
45,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,4788,2995,0,1793,0.6255,0.843,146.4,0.843,-0.244324,-0.290103,0.0,-0.891998,7,38
46,vanguard@c407e79,vanguard,c407e79,4788,2617,0,2171,0.5466,0.79817,138.7,0.79817,1.232928,-0.470582,0.0,-1.919593,22,24
47,vanguard@818f3b4,vanguard,818f3b4,4788,2681,0,2107,0.5599,0.777778,135.1,0.777778,1.11928,-0.665306,0.0,-1.919593,22,25
48,undertow@fdc1e1f,undertow,fdc1e1f,4788,2607,0,2181,0.5445,0.722712,125.5,0.722712,0.968922,-0.307445,0.0,-2.146581,33,15
49,v233_i@902be71,v233_i,902be71,4788,2547,0,2241,0.532,0.702891,122.1,0.702891,1.326682,-0.465036,0.0,-1.919593,22,27
50,undertow@da3fd8a,undertow,da3fd8a,4788,2602,0,2186,0.5434,0.701794,121.9,0.701794,0.959202,-0.309896,0.0,-2.146581,33,17
51,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,4788,2646,0,2142,0.5526,0.701434,121.9,0.701434,0.992009,-0.508277,0.0,-1.55463,15,36
52,undertow_oracle@75591b7,undertow_oracle,75591b7,4788,2645,0,2143,0.5524,0.674187,117.1,0.674187,0.936661,-0.571244,0.0,-1.72551,18,34
