match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00408b19f8dd1b28,auto-966f41a3330e,v233_e@9713344,v233_e,9713344,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,runestone,official,1,0,rating,b,b,0.0,core_destroyed,152,,100,440,9,12,38,310,15,23,ok,,5.817,n-62-11-66,29003486,2026-08-02T01:21:42+0200
004ce596aa50241f,auto-966f41a3330e,lockin@9713344,lockin,9713344,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,36,,590,0,0,0,29,70,12,7,ok,,2.744,n-62-31-17,29003486,2026-08-02T01:20:16+0200
006f2701e2707a5b,auto-966f41a3330e,turtle@9713344,turtle,9713344,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,duel,official,1,0,rating,b,b,0.0,core_destroyed,100,,53,90,5,3,49,440,14,15,ok,,5.382,n-62-21-55,29003486,2026-08-02T01:20:31+0200
00710d6c87b92f35,auto-966f41a3330e,vanguard@818f3b4,vanguard,818f3b4,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,longship,official,1,0,rating,b,b,0.0,core_destroyed,125,,98,410,11,6,68,580,14,29,ok,,5.972,n-62-21-103,29003486,2026-08-02T01:21:40+0200
0098bb04571d3685,auto-966f41a3330e,vg_v5@9713344,vg_v5,9713344,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,showdown,official,1,0,rating,b,b,0.0,core_destroyed,181,,83,0,5,3,70,680,11,26,ok,,5.077,n-62-31-15,29003486,2026-08-02T01:21:09+0200
00b79dc027350946,auto-966f41a3330e,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,vanguard@da3fd8a,vanguard,da3fd8a,quarry,official,1,0,rating,a,a,1.0,core_destroyed,109,,29,390,15,16,89,340,5,19,ok,,4.931,n-62-29-29,29003486,2026-08-02T01:20:41+0200
00cbc4a0b2932ee9,auto-966f41a3330e,riptide@9713344,riptide,9713344,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,hive,official,1,0,rating,b,b,0.0,core_destroyed,121,,85,270,6,9,70,520,12,26,ok,,5.924,n-62-11-52,29003486,2026-08-02T01:19:27+0200
00d60135f0ce2371,auto-966f41a3330e,e_final@9e77076,e_final,9e77076,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,bridge,official,1,0,rating,b,b,0.0,core_destroyed,184,,92,180,4,1,80,810,21,24,ok,,6.516,n-62-21-99,29003486,2026-08-02T01:19:36+0200
00e55b0cd7302203,auto-966f41a3330e,vanguard_oracle@902be71,vanguard_oracle,902be71,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,duel,official,1,0,rating,a,a,1.0,core_destroyed,29,,58,60,8,4,23,60,10,4,ok,,3.325,n-62-29-25,29003486,2026-08-02T01:21:49+0200
01222fb6524d5b40,auto-966f41a3330e,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,vg_v7@9713344,vg_v7,9713344,string,official,1,0,rating,a,a,1.0,core_destroyed,87,,23,540,19,15,127,0,2,1,ok,,4.449,n-62-11-60,29003486,2026-08-02T01:22:01+0200
