rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,odin@45aa24a,odin,45aa24a,4494,4101,0,393,0.9126,2.756117,478.8,2.756117,0.360937,-1.06114,1.0,0.0,1,0
2,heimdall@840a180,heimdall,840a180,4494,4086,0,408,0.9092,2.721177,472.7,2.721177,0.372383,-0.956742,0.0,-0.09309,2,0
3,bastion@840a180,bastion,840a180,4494,3894,1,599,0.8666,2.564109,445.4,2.564109,1.104975,-0.027267,0.0,-1.007641,8,-5
4,steward@e55aab5,steward,e55aab5,4494,3865,0,629,0.86,2.499602,434.2,2.499602,1.097658,-0.023313,0.0,-1.400893,13,-9
5,vigil@e22eda8,vigil,e22eda8,4494,3788,0,706,0.8429,2.373768,412.4,2.373768,1.079528,-0.135087,0.0,-2.423538,47,-42
6,warden@3318ffd,warden,3318ffd,4494,3808,1,685,0.8475,2.359443,409.9,2.359443,1.114989,-0.118301,0.0,-2.146581,35,-29
7,vigil@18b749d,vigil,18b749d,4494,3738,0,756,0.8318,2.359243,409.8,2.359243,1.01659,0.306479,0.0,-2.785011,63,-56
8,vigil@e267eeb,vigil,e267eeb,4494,3782,0,712,0.8416,2.350131,408.3,2.350131,1.047478,-0.126876,0.0,-2.423538,47,-39
9,ragnarok@79582fc,ragnarok,79582fc,4494,3800,0,694,0.8456,2.349138,408.1,2.349138,1.128323,-0.065398,0.0,-2.423538,47,-38
10,warden_walk@e55aab5,warden_walk,e55aab5,4494,3799,1,694,0.8455,2.339601,406.4,2.339601,0.885384,-0.154264,0.0,-1.400893,13,-3
11,valkyrie@d181312,valkyrie,d181312,4494,3792,1,701,0.8439,2.336728,405.9,2.336728,1.149002,-0.07184,0.0,-2.785011,63,-52
12,warden_walk@3318ffd,warden_walk,3318ffd,4494,3764,1,729,0.8377,2.290811,398.0,2.290811,0.832987,-0.118635,0.0,-1.72551,19,-7
13,aegis@e55aab5,aegis,e55aab5,4494,3757,1,736,0.8361,2.255003,391.7,2.255003,0.79766,-0.235008,0.0,-2.423538,47,-34
14,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4494,3669,0,825,0.8164,2.189599,380.4,2.189599,0.91329,0.210733,0.0,-2.785011,63,-49
15,valkyrie@30d0491,valkyrie,30d0491,4494,3695,0,799,0.8222,2.168304,376.7,2.168304,1.014298,0.040621,0.0,-1.72551,19,-4
16,vigil@1b5f3d1,vigil,1b5f3d1,4494,3634,0,860,0.8086,2.154474,374.3,2.154474,0.887377,0.153265,0.0,-2.423538,47,-31
17,heimdall@daf0de0,heimdall,daf0de0,4494,3724,5,765,0.8292,2.108243,366.2,2.108243,0.381521,-0.471481,0.0,-0.675755,5,12
18,vigil@bf9b3e3,vigil,bf9b3e3,4494,3611,0,883,0.8035,2.066159,358.9,2.066159,1.013871,0.124084,0.0,-2.423538,47,-29
19,vigil@60d5afa,vigil,60d5afa,4494,3549,0,945,0.7897,1.921412,333.8,1.921412,0.954487,0.132735,0.0,-2.146581,35,-16
20,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4494,3408,0,1086,0.7583,1.800137,312.7,1.800137,0.198916,0.028393,0.0,-1.129865,10,10
21,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,4494,3401,1,1092,0.7569,1.781234,309.4,1.781234,0.634747,0.340521,0.0,-0.376478,3,18
22,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4494,3489,0,1005,0.7764,1.70229,295.7,1.70229,1.142008,-0.124244,0.0,-3.320228,71,-49
23,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,4494,3372,0,1122,0.7503,1.672062,290.5,1.672062,0.770075,0.228579,0.0,-0.473784,4,19
24,prospect@bf9b3e3,prospect,bf9b3e3,4494,3258,0,1236,0.725,1.607192,279.2,1.607192,0.165007,0.231713,0.0,-1.260254,11,13
25,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4494,3413,0,1081,0.7595,1.581996,274.8,1.581996,1.01544,-0.063706,0.0,-4.442651,75,-50
26,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4494,3180,0,1314,0.7076,1.581064,274.7,1.581064,0.313603,0.444569,0.0,-1.72551,19,7
27,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4494,3170,0,1324,0.7054,1.5703,272.8,1.5703,0.03568,0.519677,0.0,-1.72551,19,8
28,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4494,3174,0,1320,0.7063,1.536284,266.9,1.536284,0.302116,0.371585,0.0,-0.891998,6,22
29,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4494,3160,5,1329,0.7037,1.507303,261.8,1.507303,0.608176,0.780727,0.0,-2.785011,63,-34
30,janus@8a1e7a1,janus,8a1e7a1,4494,3065,0,1429,0.682,1.439597,250.1,1.439597,-0.126937,0.564115,0.0,-1.72551,19,11
31,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,4494,3312,0,1182,0.737,1.203678,209.1,1.203678,1.288076,-0.665032,0.0,-1.007641,8,23
32,vanguard_oracle@902be71,vanguard_oracle,902be71,4494,2787,0,1707,0.6202,1.088223,189.0,1.088223,-0.170691,0.905385,0.0,-1.919593,30,2
