match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
65d94af7ad9e356f,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,atoll,1,12,pass,ok,,27,208,13,23,31,593,4275,16,0,0,0,9000,10000,n-62-11-64,29006473,2026-08-03T00:20:35+0200
c10bd6837f971a9f,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,aurora,1,12,pass,ok,,27,237,16,25,30,350,4465,8,0,0,0,9000,10000,n-62-11-64,29006473,2026-08-03T00:20:37+0200
5e11c39171cd6eb2,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,bridge,1,12,pass,ok,,27,177,15,24,34,461,2018,22,0,0,0,9000,10000,n-62-11-64,29006473,2026-08-03T00:20:39+0200
a34a464944134f07,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,crossfire,1,12,pass,ok,,22,175,14,20,27,564,3061,9,0,0,0,9000,10000,n-62-11-64,29006473,2026-08-03T00:20:41+0200
859d3b587b55441e,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,duel,1,12,pass,ok,,23,161,16,24,36,508,3444,11,0,0,0,9000,10000,n-62-11-64,29006473,2026-08-03T00:20:43+0200
22c4f2d54c8bbfa6,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,fjord,1,12,pass,ok,,25,216,14,24,29,361,3342,6,0,0,0,9000,10000,n-62-11-64,29006473,2026-08-03T00:20:45+0200
10f18d8b55885149,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,hive,1,12,pass,ok,,27,238,31,42,49,764,5142,8,0,0,0,9000,10000,n-62-31-11,29006473,2026-08-03T00:19:31+0200
40872edd59983aff,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,jackpot,1,12,pass,ok,,27,214,31,41,48,834,2846,13,0,0,0,9000,10000,n-62-31-11,29006473,2026-08-03T00:19:33+0200
771a043bdbefb52d,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,longship,1,12,pass,ok,,27,250,31,42,49,711,5028,17,0,0,0,9000,10000,n-62-31-11,29006473,2026-08-03T00:19:35+0200
e755c95c6786384c,auto-bcd019fec7fc,vigil@60d5afa,vigil,60d5afa,pinch,1,12,pass,ok,,20,150,29,40,52,923,3613,10,0,0,0,9000,10000,n-62-31-11,29006473,2026-08-03T00:19:38+0200
