rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vanguard_oracle@902be71,vanguard_oracle,902be71,3066,2485,0,581,0.8105,2.264775,393.4,2.264775,0.109162,-0.647879,0.0,-0.473784,24,-23
2,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3066,2419,0,647,0.789,2.144556,372.5,2.144556,0.221819,-0.764589,0.0,-0.473784,25,-23
3,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3066,2371,0,695,0.7733,2.06473,358.7,2.06473,0.3595,-0.842862,0.0,-0.675755,29,-26
4,vanguard@9932bec,vanguard,9932bec,3066,2306,0,760,0.7521,2.061279,358.1,2.061279,0.719517,-0.774859,0.0,-0.573346,28,-24
5,vanguard@818f3b4,vanguard,818f3b4,3066,2314,0,752,0.7547,2.027359,352.2,2.027359,0.570907,-0.71989,0.0,-0.891998,33,-28
6,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3066,2411,0,655,0.7864,1.979909,343.9,1.979909,-0.131567,-0.248282,0.0,-0.186586,5,1
7,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3066,2410,0,656,0.786,1.975024,343.1,1.975024,-0.136691,-0.248724,0.0,-0.186586,6,1
8,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3066,2458,0,608,0.8017,1.972329,342.6,1.972329,-0.401421,-0.379711,0.0,-0.186586,7,1
9,vanguard@c407e79,vanguard,c407e79,3066,2233,0,833,0.7283,1.958137,340.2,1.958137,0.862073,-0.888145,0.0,-0.186586,8,1
10,v233_i@902be71,v233_i,902be71,3066,2193,0,873,0.7153,1.910712,331.9,1.910712,0.982795,-0.714638,0.0,-0.376478,19,-9
11,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3066,2409,0,657,0.7857,1.899926,330.1,1.899926,-0.295718,-0.192832,1.0,0.0,1,10
12,undertow_oracle@75591b7,undertow_oracle,75591b7,3066,2266,0,800,0.7391,1.833144,318.4,1.833144,0.440044,-0.681279,0.0,-0.186586,9,3
13,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,3066,2256,0,810,0.7358,1.829811,317.9,1.829811,0.462666,-0.614647,0.0,-0.186586,10,3
14,undertow@fdc1e1f,undertow,fdc1e1f,3066,2218,0,848,0.7234,1.829329,317.8,1.829329,0.650236,-0.427719,0.0,-0.09309,2,12
15,undertow@da3fd8a,undertow,da3fd8a,3066,2212,0,854,0.7215,1.797973,312.3,1.797973,0.656667,-0.458621,0.0,-0.09309,3,12
16,v233_g@9713344,v233_g,9713344,3066,2076,0,990,0.6771,1.741449,302.5,1.741449,1.185214,-0.478515,0.0,-0.675755,30,-14
17,vanguard@da3fd8a,vanguard,da3fd8a,3066,2097,0,969,0.684,1.728356,300.2,1.728356,1.09782,-0.6474,0.0,-0.280902,14,3
18,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,3066,2448,0,618,0.7984,1.723376,299.4,1.723376,-1.120818,-0.376729,0.0,-0.186586,11,7
19,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,3066,2165,0,901,0.7061,1.723013,299.3,1.723013,0.724548,-0.489531,0.0,-0.473784,26,-7
