match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
6b469d7869331870,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,atoll,1,12,pass,ok,,27,167,25,49,67,899,4400,26,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:00+0200
17555f50f0f3632e,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,aurora,1,12,pass,ok,,27,141,34,52,568,1503,4645,2,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:01+0200
376baf1b822a80f6,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,bridge,1,12,pass,ok,,27,143,31,49,433,772,1751,11,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:03+0200
fffd9c554146880a,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,crossfire,1,12,pass,ok,,27,193,22,34,57,842,3035,2,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:05+0200
874d25e551c6ac8c,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,duel,1,12,pass,ok,,23,170,23,33,62,668,2509,2,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:07+0200
321542016bf28a73,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,fjord,1,12,pass,ok,,27,145,38,60,410,1147,5073,26,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:09+0200
fca49d6fffe907a1,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,hive,1,12,pass,ok,,27,141,32,55,652,1478,4507,2,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:10+0200
1994ab3d3e6dbc88,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,jackpot,1,12,pass,ok,,27,147,27,47,395,877,2557,26,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:12+0200
fc897d7ea548757d,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,longship,1,12,pass,ok,,27,143,31,50,491,1260,2882,2,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:14+0200
83782d3286120bc1,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,pinch,1,12,pass,ok,,27,151,26,53,436,967,4400,16,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:16+0200
064c97bb1c38d7d9,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,quarry,1,12,pass,ok,,27,133,32,55,716,1411,4196,2,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:17+0200
85914f54827ea1a2,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,runestone,1,12,pass,ok,,27,145,29,55,609,1322,6007,26,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:19+0200
66e0c4a85ab1132f,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,showdown,1,12,pass,ok,,17,115,26,32,49,2608,3083,7,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:21+0200
16f53d8105cdfac3,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,skerry,1,12,pass,ok,,27,147,31,53,435,1211,5040,26,0,0,0,9000,10000,n-62-29-8,29022556,2026-08-04T02:05:23+0200
e4234e1f6f4fb108,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,sprint,1,12,pass,ok,,18,116,22,30,47,1727,2169,17,0,0,0,9000,10000,n-62-31-9,29022556,2026-08-04T02:04:40+0200
83bb14a5532c3244,auto-d3474c585dde,heimdall@daf0de0,heimdall,daf0de0,strait,1,12,pass,ok,,27,141,30,50,624,1238,2497,2,0,0,0,9000,10000,n-62-31-9,29022556,2026-08-04T02:04:42+0200
