rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward@e55aab5,steward,e55aab5,4284,3756,0,528,0.8768,2.616093,454.5,2.616093,-1.119071,-0.159734,0.0,-0.573346,4,-3
2,vigil@e22eda8,vigil,e22eda8,4284,3709,0,575,0.8658,2.526709,438.9,2.526709,-1.084823,0.01389,0.0,-0.573346,4,-2
3,vigil@18b749d,vigil,18b749d,4284,3663,0,621,0.855,2.517805,437.4,2.517805,-0.936067,-0.431961,0.0,-0.675755,8,-5
4,vigil@e267eeb,vigil,e267eeb,4284,3703,0,581,0.8644,2.501925,434.6,2.501925,-1.047828,0.007364,0.0,-0.573346,4,0
5,warden@3318ffd,warden,3318ffd,4284,3712,1,571,0.8666,2.487547,432.1,2.487547,-1.126613,-0.043723,0.0,-1.067841,34,-29
6,ragnarok@79582fc,ragnarok,79582fc,4284,3709,0,575,0.8658,2.487123,432.1,2.487123,-1.110868,-0.083915,0.0,-0.675755,8,-2
7,valkyrie@d181312,valkyrie,d181312,4284,3702,1,581,0.8643,2.476647,430.2,2.476647,-1.132275,-0.08123,0.0,-1.067841,34,-27
8,warden_walk@e55aab5,warden_walk,e55aab5,4284,3692,1,591,0.8619,2.451235,425.8,2.451235,-0.90795,0.000871,0.0,-0.728239,14,-6
9,warden_walk@3318ffd,warden_walk,3318ffd,4284,3659,1,624,0.8542,2.40277,417.4,2.40277,-0.832734,-0.031196,0.0,-0.836248,23,-14
10,aegis@e55aab5,aegis,e55aab5,4284,3657,1,626,0.8538,2.376089,412.8,2.376089,-0.790006,0.112459,0.0,-0.836248,23,-13
11,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4284,3599,0,685,0.8401,2.344715,407.3,2.344715,-0.856097,-0.312491,0.0,-0.675755,8,3
12,vigil@1b5f3d1,vigil,1b5f3d1,4284,3563,0,721,0.8317,2.304612,400.4,2.304612,-0.850721,-0.241666,0.0,-0.781701,15,-3
13,valkyrie@30d0491,valkyrie,30d0491,4284,3606,0,678,0.8417,2.29381,398.5,2.29381,-1.016987,-0.198008,0.0,-0.781701,15,-2
14,heimdall@daf0de0,heimdall,daf0de0,4284,3620,5,659,0.8456,2.21173,384.2,2.21173,-0.497873,0.375904,1.0,0.0,1,13
15,vigil@bf9b3e3,vigil,bf9b3e3,4284,3539,0,745,0.8261,2.211044,384.1,2.211044,-0.979426,-0.2458,0.0,-0.781701,15,0
16,vigil@60d5afa,vigil,60d5afa,4284,3486,0,798,0.8137,2.063955,358.5,2.063955,-0.933616,-0.266804,0.0,-1.007641,31,-15
17,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4284,3335,0,949,0.7785,1.918571,333.3,1.918571,-0.221181,-0.07103,0.0,-0.376478,2,15
18,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4284,3422,0,862,0.7988,1.847635,321.0,1.847635,-1.14088,-0.0224,0.0,-1.260254,36,-18
19,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4284,3354,0,930,0.7829,1.734729,301.4,1.734729,-0.988961,-0.059371,0.0,-1.400893,39,-20
20,prospect@bf9b3e3,prospect,bf9b3e3,4284,3195,0,1089,0.7458,1.72767,300.1,1.72767,-0.14901,-0.265755,0.0,-0.675755,8,12
21,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4284,3128,0,1156,0.7302,1.715298,298.0,1.715298,-0.264536,-0.472406,0.0,-0.891998,25,-4
22,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4284,3115,0,1169,0.7271,1.700352,295.4,1.700352,0.049928,-0.534171,0.0,-0.891998,25,-3
23,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4284,3127,5,1152,0.7305,1.671735,290.4,1.671735,-0.490342,-0.79792,0.0,-1.55463,52,-29
24,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4284,3103,0,1181,0.7243,1.645584,285.9,1.645584,-0.297139,-0.425478,0.0,-0.781701,15,9
25,janus@8a1e7a1,janus,8a1e7a1,4284,3018,0,1266,0.7045,1.571332,273.0,1.571332,0.214539,-0.543995,0.0,-0.781701,15,10
26,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,4284,3227,0,1057,0.7533,1.281963,222.7,1.281963,-1.483007,0.400301,0.0,-0.473784,3,23
27,vanguard_oracle@902be71,vanguard_oracle,902be71,4284,2752,0,1532,0.6424,1.224158,212.7,1.224158,0.297979,-0.851326,0.0,-1.55463,52,-25
28,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4284,2768,0,1516,0.6461,1.165491,202.5,1.165491,0.132659,-0.233999,0.0,-1.400893,39,-11
29,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,4284,2767,0,1517,0.6459,1.161982,201.9,1.161982,0.126626,-0.231308,0.0,-1.400893,39,-10
30,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,4284,2762,0,1522,0.6447,1.10642,192.2,1.10642,0.027701,-0.157184,0.0,-1.400893,39,-9
31,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,4284,2771,0,1513,0.6468,1.087349,188.9,1.087349,-0.034494,-0.420778,0.0,-2.146581,62,-31
32,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,4284,2653,0,1631,0.6193,1.082706,188.1,1.082706,0.411722,-0.929819,0.0,-1.400893,39,-7
33,gobbleglitch@e808e1d,gobbleglitch,e808e1d,4284,2836,6,1442,0.6627,1.030655,179.0,1.030655,-0.522979,-0.528003,0.0,-1.400893,39,-6
34,vanguard_oracle@75591b7,vanguard_oracle,75591b7,4284,2606,0,1678,0.6083,1.025847,178.2,1.025847,0.483121,-0.950905,0.0,-0.891998,25,9
35,gobbleglitch@a79dd98,gobbleglitch,a79dd98,4284,2794,4,1486,0.6527,1.018616,177.0,1.018616,-0.361435,-0.542916,0.0,-1.400893,39,-4
36,vanguard@9932bec,vanguard,9932bec,4284,2498,0,1786,0.5831,0.966628,167.9,0.966628,0.833267,-0.980926,0.0,-1.400893,39,-3
37,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,4284,2774,0,1510,0.6475,0.958149,166.4,0.958149,-0.489578,-0.21139,0.0,-0.781701,15,22
38,vanguard@818f3b4,vanguard,818f3b4,4284,2496,0,1788,0.5826,0.907706,157.7,0.907706,0.751719,-1.031953,0.0,-1.260254,36,2
39,vanguard@c407e79,vanguard,c407e79,4284,2424,0,1860,0.5658,0.904816,157.2,0.904816,0.917647,-0.881603,0.0,-1.72551,54,-15
40,undertow@fdc1e1f,undertow,fdc1e1f,4284,2429,0,1855,0.567,0.85078,147.8,0.85078,0.750446,-0.589246,0.0,-1.400893,39,1
41,v233_i@902be71,v233_i,902be71,4284,2366,0,1918,0.5523,0.825569,143.4,0.825569,1.039848,-0.893951,0.0,-1.919593,58,-17
42,undertow@da3fd8a,undertow,da3fd8a,4284,2420,0,1864,0.5649,0.818445,142.2,0.818445,0.745887,-0.611868,0.0,-1.400893,39,3
43,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,4284,2455,0,1829,0.5731,0.802714,139.4,0.802714,0.59744,-0.817476,0.0,-1.007641,31,12
44,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,4284,2631,2,1651,0.6144,0.800225,139.0,0.800225,-0.250267,-0.206788,0.0,-0.573346,4,40
45,undertow_oracle@75591b7,undertow_oracle,75591b7,4284,2460,0,1824,0.5742,0.792458,137.7,0.792458,0.572219,-0.883428,0.0,-1.260254,36,9
46,autistimusprime@ecd4d24,autistimusprime,ecd4d24,4284,2761,6,1517,0.6452,0.782959,136.0,0.782959,-0.92303,-0.367386,0.0,-1.400893,39,7
47,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,4284,2362,0,1922,0.5514,0.742992,129.1,0.742992,0.812563,-0.63536,0.0,-1.400893,39,8
48,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,4284,2543,1,1740,0.5937,0.709556,123.3,0.709556,-0.221998,-0.24005,0.0,-0.675755,8,40
49,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,4284,2538,1,1745,0.5926,0.704931,122.5,0.704931,-0.211547,-0.233533,0.0,-0.675755,8,41
50,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,4284,2556,3,1725,0.597,0.690458,119.9,0.690458,-0.263819,-0.338857,0.0,-0.891998,25,25
51,tempest@da3fd8a,tempest,da3fd8a,4284,2525,1,1758,0.5895,0.690014,119.9,0.690014,-0.19331,-0.229587,0.0,-0.781701,15,36
52,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,4284,2523,1,1760,0.5891,0.666937,115.9,0.666937,-0.199267,-0.277956,0.0,-0.891998,25,27
53,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,4284,2550,3,1731,0.5956,0.666176,115.7,0.666176,-0.301083,-0.279721,0.0,-0.781701,15,38
54,vanguard@da3fd8a,vanguard,da3fd8a,4284,2269,0,2015,0.5296,0.663571,115.3,0.663571,1.125159,-0.892545,0.0,-1.919593,58,-4
55,v233_g@9713344,v233_g,9713344,4284,2233,0,2051,0.5212,0.658063,114.3,0.658063,1.267474,-0.842667,0.0,-1.72551,54,1
56,mistral_fast@26b5aa1,mistral_fast,26b5aa1,4284,2388,2,1894,0.5577,0.498925,86.7,0.498925,0.015393,-0.575905,0.0,-0.891998,25,31
57,mistral@ba943b9,mistral,ba943b9,4284,2381,2,1901,0.556,0.491992,85.5,0.491992,0.027597,-0.567208,0.0,-1.007641,31,26
58,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,4284,2285,1,1998,0.5335,0.408591,71.0,0.408591,0.069117,-0.344067,0.0,-1.72551,54,4
59,v233_f@9713344,v233_f,9713344,4284,2093,0,2191,0.4886,0.408418,70.9,0.408418,1.395508,-0.885028,0.0,-1.919593,58,1
60,undertow@9713344,undertow,9713344,4284,2134,1,2149,0.4982,0.28422,49.4,0.28422,0.895775,-0.858604,0.0,-1.919593,58,2
61,e_final@9e77076,e_final,9e77076,4284,2181,0,2103,0.5091,0.191878,33.3,0.191878,0.11022,-0.384846,0.0,-2.423538,63,-2
62,v233_e@9713344,v233_e,9713344,4284,1967,0,2317,0.4592,-0.013409,-2.3,-0.013409,0.709832,-0.483185,0.0,-1.72551,54,8
63,uw_v2@9713344,uw_v2,9713344,4284,2039,0,2245,0.476,-0.018305,-3.2,-0.018305,0.254192,-0.398512,0.0,-2.423538,63,0
64,casemate_oracle@902be71,casemate_oracle,902be71,4284,2103,0,2181,0.4909,-0.029132,-5.1,-0.029132,-0.628626,0.011263,0.0,-1.400893,39,25
