opponent_rank,opponent_id,opponent_name,games,wins,draws,losses,win_rate,series_result
27,nemesis@9713344,nemesis,42,21,0,21,0.5000,tie
28,reaver@9713344,reaver,42,21,0,21,0.5000,tie
30,vg_v1@9713344,vg_v1,42,21,0,21,0.5000,tie
38,lockin@9713344,lockin,42,21,0,21,0.5000,tie
19,turtle@9713344,turtle,42,18,0,24,0.4286,loss
20,vg_v4@9713344,vg_v4,42,16,0,26,0.3810,loss
21,vg_v7@9713344,vg_v7,42,16,0,26,0.3810,loss
22,vg_v2@9713344,vg_v2,42,16,0,26,0.3810,loss
23,vg_v6@9713344,vg_v6,42,16,0,26,0.3810,loss
25,vg_v3@9713344,vg_v3,42,16,0,26,0.3810,loss
26,baiter@9713344,baiter,42,16,0,26,0.3810,loss
35,frontier_v1@9713344,frontier_v1,42,16,0,26,0.3810,loss
18,vg_v5@9713344,vg_v5,42,15,0,27,0.3571,loss
29,siege_v2@9713344,siege_v2,42,15,0,27,0.3571,loss
31,titanium_v1@9713344,titanium_v1,42,15,0,27,0.3571,loss
32,attack_wave_v1@9713344,attack_wave_v1,42,15,0,27,0.3571,loss
34,siege_v1@9713344,siege_v1,42,15,0,27,0.3571,loss
36,frontier_v2@9713344,frontier_v2,42,15,0,27,0.3571,loss
24,riptide@9713344,riptide,42,14,0,28,0.3333,loss
33,jonbot@9713344,jonbot,42,9,0,33,0.2143,loss
16,v233_a@9713344,v233_a,42,6,0,36,0.1429,loss
17,uw_v1@9713344,uw_v1,42,5,0,37,0.1190,loss
15,jonbot_190003d@da3fd8a,jonbot_190003d,42,4,0,38,0.0952,loss
11,jonbot@da3fd8a,jonbot,42,3,0,39,0.0714,loss
12,v233_c@9713344,v233_c,42,3,0,39,0.0714,loss
13,v233_d@9713344,v233_d,42,3,0,39,0.0714,loss
14,v233_b@9713344,v233_b,42,3,0,39,0.0714,loss
9,v233_e@9713344,v233_e,42,2,0,40,0.0476,loss
10,uw_v2@9713344,uw_v2,42,1,0,41,0.0238,loss
1,undertow@da3fd8a,undertow,42,0,0,42,0.0000,loss
2,vanguard@ba943b9,vanguard,42,0,0,42,0.0000,loss
3,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,42,0,0,42,0.0000,loss
4,v233_g@9713344,v233_g,42,0,0,42,0.0000,loss
5,v233_f@9713344,v233_f,42,0,0,42,0.0000,loss
6,undertow@9713344,undertow,42,0,0,42,0.0000,loss
7,tempest@da3fd8a,tempest,42,0,0,42,0.0000,loss
8,mistral@ba943b9,mistral,42,0,0,42,0.0000,loss
