match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000e4715a4b5fbd2,jon-latest-plus-luc-dedup,luc_1@604349b,luc_1,604349b,jonbot@9713344,jonbot,9713344,longship,official,1,0,,a,1.0,titanium_collected,1000,,4884,2480,11,6,2689,0,5,1,ok,,36.626,n-62-21-92,28999261,2026-08-01T16:39:00+0200
001bb459fcbfb9a0,jon-latest-plus-luc-dedup,mistral@ba943b9,mistral,ba943b9,jonbot@da3fd8a,jonbot,da3fd8a,crossfire,official,1,0,,b,0.0,core_destroyed,41,,117,0,6,0,68,140,7,15,ok,,4.772,n-62-21-5,28999261,2026-08-01T16:36:59+0200
001bb6137f38cf9b,jon-latest-plus-luc-dedup,mistral@ba943b9,mistral,ba943b9,v233_b@9713344,v233_b,9713344,quarry,official,1,0,,a,1.0,core_destroyed,60,,122,0,9,1,70,120,3,17,ok,,5.509,n-62-11-52,28999261,2026-08-01T16:36:50+0200
0031b04bf75e8ba8,jon-latest-plus-luc-dedup,vg_v4@9713344,vg_v4,9713344,mistral@ba943b9,mistral,ba943b9,skerry,official,1,0,,b,0.0,core_destroyed,42,,49,60,8,4,60,0,11,1,ok,,6.243,n-62-29-34,28999261,2026-08-01T16:36:16+0200
00364c16ff9f71ec,jon-latest-plus-luc-dedup,luc_1@604349b,luc_1,604349b,attack_wave_v1@9713344,attack_wave_v1,9713344,showdown,official,1,0,,b,0.0,harvesters,1000,,3000,0,0,1,2641,0,6,3,ok,,4.234,n-62-29-15,28999261,2026-08-01T16:46:11+0200
004525f3dfab62f5,jon-latest-plus-luc-dedup,luc_1@604349b,luc_1,604349b,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,aurora,official,1,0,,b,0.0,core_destroyed,97,,34,0,14,2,60,440,17,21,ok,,12.221,n-62-31-11,28999261,2026-08-01T16:40:46+0200
005b8beadc8e365a,jon-latest-plus-luc-dedup,vanguard@ba943b9,vanguard,ba943b9,v233_d@9713344,v233_d,9713344,twins,official,1,0,,a,1.0,core_destroyed,109,,104,740,15,22,60,910,15,32,ok,,7.398,n-62-11-64,28999261,2026-08-01T16:39:13+0200
007b720f57976123,jon-latest-plus-luc-dedup,luc_1@604349b,luc_1,604349b,v233_f@9713344,v233_f,9713344,atoll,official,1,0,,b,0.0,core_destroyed,56,,227,70,7,2,135,350,11,21,ok,,4.592,n-62-11-66,28999261,2026-08-01T16:40:35+0200
008839cbda78f781,jon-latest-plus-luc-dedup,mistral@ba943b9,mistral,ba943b9,undertow@9713344,undertow,9713344,fjord,official,1,0,,a,1.0,core_destroyed,41,,60,0,12,1,115,260,5,7,ok,,6.077,n-62-21-103,28999261,2026-08-01T16:36:33+0200
008c04c9f07a576b,jon-latest-plus-luc-dedup,riptide@9713344,riptide,9713344,mistral@ba943b9,mistral,ba943b9,quarry,official,1,0,,b,0.0,core_destroyed,60,,87,110,3,15,108,0,9,1,ok,,5.875,n-62-29-22,28999261,2026-08-01T16:36:38+0200
