match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000009b4bcdf270a,jon-new,undertow@da3fd8a,undertow,da3fd8a,v233_f@9713344,v233_f,9713344,atoll,official,1,0,b,0.0,core_destroyed,52,,46,220,15,11,78,270,10,21,ok,,5.12,n-62-31-20,28999214,2026-08-01T15:47:16+0200
00044ff1225b010f,jon-new,v233_h@9713344,v233_h,9713344,undertow@da3fd8a,undertow,da3fd8a,strait,official,1,0,b,0.0,core_destroyed,60,,129,360,7,23,72,260,11,23,ok,,4.431,n-62-11-54,28999214,2026-08-01T15:46:23+0200
00064a1b47efae4d,jon-new,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,siege_v1@9713344,siege_v1,9713344,aurora,official,1,0,b,0.0,harvesters,1000,,2660,0,5,7,2561,0,6,5,ok,,4.134,n-62-11-61,28999214,2026-08-01T15:47:32+0200
0008eab1ed0abbf9,jon-new,vg_v1@9713344,vg_v1,9713344,undertow@da3fd8a,undertow,da3fd8a,quarry,official,1,0,b,0.0,core_destroyed,139,,91,300,6,16,651,1140,16,23,ok,,8.251,n-62-21-69,28999214,2026-08-01T15:45:50+0200
00097a0ba1374600,jon-new,nemesis@9713344,nemesis,9713344,tempest@da3fd8a,tempest,da3fd8a,bridge,official,1,0,b,0.0,core_destroyed,189,,787,1160,7,18,374,0,5,8,ok,,5.658,n-62-21-80,28999214,2026-08-01T15:42:59+0200
000a4182c37ae7d3,jon-new,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,sweden,official,1,0,b,0.0,core_destroyed,119,,405,0,4,13,40,390,14,27,ok,,5.202,n-62-11-64,28999214,2026-08-01T15:54:34+0200
0018cc7931b900a3,jon-new,undertow_df5e698@da3fd8a,undertow_df5e698,da3fd8a,v233_h@9713344,v233_h,9713344,twins,official,1,0,b,0.0,core_destroyed,97,,60,690,12,29,116,650,15,20,ok,,6.899,n-62-11-66,28999214,2026-08-01T15:52:27+0200
002860acc37ad171,jon-new,undertow_df5e698@da3fd8a,undertow_df5e698,da3fd8a,vanguard@9713344,vanguard,9713344,strait,official,1,0,a,1.0,core_destroyed,46,,56,180,12,14,59,250,9,17,ok,,4.988,n-62-21-97,28999214,2026-08-01T15:52:16+0200
003a22efa777b3ca,jon-new,frontier_v2@9713344,frontier_v2,9713344,undertow@da3fd8a,undertow,da3fd8a,strait,official,1,0,b,0.0,core_destroyed,38,,142,0,6,3,80,190,10,20,ok,,3.995,n-62-28-26,28999214,2026-08-01T15:45:24+0200
00420dd4120ec907,jon-new,undertow@da3fd8a,undertow,da3fd8a,jonbot@9713344,jonbot,9713344,vault,official,1,0,a,1.0,core_destroyed,45,,39,200,16,7,291,0,5,0,ok,,4.544,n-62-21-50,28999214,2026-08-01T15:45:26+0200
0043189f8549ed21,jon-new,titanium_v1@9713344,titanium_v1,9713344,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,fjord,official,1,0,b,0.0,titanium_collected,1000,,2779,0,4,3,9862,7460,8,8,ok,,22.238,n-62-29-26,28999214,2026-08-01T15:49:15+0200
004d559ce9b6dc6b,jon-new,lockin@9713344,lockin,9713344,undertow_df5e698@da3fd8a,undertow_df5e698,da3fd8a,jackpot,official,1,0,b,0.0,core_destroyed,46,,610,0,0,0,40,180,11,28,ok,,2.812,n-62-31-22,28999214,2026-08-01T15:53:34+0200
004dc3c6ed275b58,jon-new,v233_c@9713344,v233_c,9713344,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,twins,official,1,0,a,1.0,core_destroyed,112,,20,260,9,16,328,340,10,8,ok,,4.347,n-62-29-15,28999214,2026-08-01T15:48:22+0200
00535fda625e4c42,jon-new,undertow@da3fd8a,undertow,da3fd8a,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,bridge,official,1,0,a,1.0,titanium_collected,1000,,7168,4900,10,16,2633,0,5,12,ok,,14.085,n-62-31-9,28999214,2026-08-01T15:55:42+0200
005432b45e14c4bd,jon-new,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,v233_e@9713344,v233_e,9713344,vase,official,1,0,b,0.0,core_destroyed,35,,233,0,5,6,184,0,7,6,ok,,2.469,n-62-29-19,28999214,2026-08-01T15:49:09+0200
0056d002c71ef501,jon-new,tempest@da3fd8a,tempest,da3fd8a,turtle@9713344,turtle,9713344,runestone,official,1,0,a,1.0,core_destroyed,135,,60,310,19,13,89,0,1,3,ok,,9.82,n-62-21-80,28999214,2026-08-01T15:42:02+0200
005d197ebe131029,jon-new,v233_e@9713344,v233_e,9713344,undertow@da3fd8a,undertow,da3fd8a,quarry,official,1,0,b,0.0,core_destroyed,279,,419,1310,15,20,2437,2510,10,23,ok,,12.431,n-62-31-19,28999214,2026-08-01T15:47:26+0200
005d4705e4d376c9,jon-new,undertow_df5e698@da3fd8a,undertow_df5e698,da3fd8a,v233_e@9713344,v233_e,9713344,runestone,official,1,0,b,0.0,core_destroyed,94,,104,360,11,15,200,410,12,19,ok,,6.324,n-62-31-23,28999214,2026-08-01T15:52:17+0200
0061465ca0554f0e,jon-new,vg_v1@9713344,vg_v1,9713344,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,sprint,official,1,0,b,0.0,titanium_collected,1000,,5483,3710,5,9,4291,3720,5,16,ok,,5.793,n-62-11-60,28999214,2026-08-01T15:48:51+0200
00714e8f482e5a32,jon-new,v233_g@9713344,v233_g,9713344,vanguard_1e88ae8@da3fd8a,vanguard_1e88ae8,da3fd8a,duel,official,1,0,b,0.0,core_destroyed,49,,112,240,10,10,134,330,10,21,ok,,3.806,n-62-29-22,28999214,2026-08-01T15:54:10+0200
007394a67b19e71f,jon-new,baiter@9713344,baiter,9713344,tempest@da3fd8a,tempest,da3fd8a,hive,official,1,0,b,0.0,core_destroyed,50,,62,60,6,6,19,60,13,12,ok,,6.925,n-62-21-87,28999214,2026-08-01T15:41:47+0200
007a260bc73d4782,jon-new,tempest@da3fd8a,tempest,da3fd8a,frontier_v2@9713344,frontier_v2,9713344,quarry,official,1,0,a,1.0,core_destroyed,42,,19,0,14,6,149,0,6,3,ok,,4.657,n-62-21-62,28999214,2026-08-01T15:42:46+0200
007c5c1c3ed94550,jon-new,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,v233_c@9713344,v233_c,9713344,fjord,official,1,0,b,0.0,titanium_stored,1000,,10,0,5,4,677,0,12,3,ok,,11.274,n-62-29-11,28999214,2026-08-01T15:49:38+0200
007d1a27835851dc,jon-new,vanguard_1e88ae8@da3fd8a,vanguard_1e88ae8,da3fd8a,lockin@9713344,lockin,9713344,string,official,1,0,a,1.0,core_destroyed,60,,404,460,7,11,650,0,0,0,ok,,2.342,n-62-29-9,28999214,2026-08-01T15:54:32+0200
0087fd338efa5995,jon-new,v233_c@9713344,v233_c,9713344,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,longship,official,1,0,a,1.0,titanium_collected,1000,,6659,4860,7,19,4840,2410,7,13,ok,,7.42,n-62-29-12,28999214,2026-08-01T15:48:24+0200
008e8a7cf5d20b63,jon-new,undertow_df5e698@da3fd8a,undertow_df5e698,da3fd8a,v233_d@9713344,v233_d,9713344,vase,official,1,0,a,1.0,core_destroyed,58,,75,110,11,7,116,0,4,3,ok,,3.177,n-62-29-30,28999214,2026-08-01T15:51:36+0200
009e47778ff8dd6e,jon-new,attack_wave_v1@9713344,attack_wave_v1,9713344,undertow_df5e698@da3fd8a,undertow_df5e698,da3fd8a,aurora,official,1,0,b,0.0,core_destroyed,60,,258,0,6,3,131,340,11,28,ok,,3.941,n-62-29-24,28999214,2026-08-01T15:51:05+0200
00a72df2e3116768,jon-new,v233_c@9713344,v233_c,9713344,vanguard@da3fd8a,vanguard,da3fd8a,crossfire,official,1,0,a,1.0,core_destroyed,47,,104,100,8,9,66,200,11,13,ok,,3.801,n-62-21-104,28999214,2026-08-01T15:47:25+0200
00a7e3f394448032,jon-new,vg_v6@9713344,vg_v6,9713344,vanguard_1e88ae8@da3fd8a,vanguard_1e88ae8,da3fd8a,jackpot,official,1,0,b,0.0,core_destroyed,57,,102,0,4,0,80,250,10,8,ok,,4.441,n-62-29-12,28999214,2026-08-01T15:54:31+0200
00ba00cc53187188,jon-new,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,v233_f@9713344,v233_f,9713344,twins,official,1,0,a,1.0,core_destroyed,79,,124,480,10,32,65,520,13,30,ok,,5.955,n-62-31-24,28999214,2026-08-01T15:51:54+0200
00bbea5e11fa35b9,jon-new,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,v233_b@9713344,v233_b,9713344,vase,official,1,0,b,0.0,core_destroyed,35,,233,0,5,6,104,0,7,6,ok,,2.32,n-62-29-11,28999214,2026-08-01T15:48:17+0200
00c5e11d503154ab,jon-new,vg_v7@9713344,vg_v7,9713344,tempest@da3fd8a,tempest,da3fd8a,runestone,official,1,0,b,0.0,core_destroyed,38,,45,60,8,9,10,0,14,5,ok,,6.277,n-62-21-105,28999214,2026-08-01T15:46:01+0200
00c76ca3e79f325f,jon-new,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,frontier_v2@9713344,frontier_v2,9713344,jackpot,official,1,0,a,1.0,core_destroyed,47,,37,90,8,26,207,0,6,2,ok,,2.514,n-62-11-65,28999214,2026-08-01T15:48:17+0200
00cf6bef99627607,jon-new,vanguard_1e88ae8@da3fd8a,vanguard_1e88ae8,da3fd8a,vg_v2@9713344,vg_v2,9713344,quarry,official,1,0,a,1.0,core_destroyed,55,,70,250,12,26,112,100,9,15,ok,,4.732,n-62-31-24,28999214,2026-08-01T15:53:15+0200
00cfb354e35cbfe1,jon-new,v233_g@9713344,v233_g,9713344,tempest@da3fd8a,tempest,da3fd8a,showdown,official,1,0,b,0.0,core_destroyed,20,,62,0,7,8,33,0,11,7,ok,,3.241,n-62-21-105,28999214,2026-08-01T15:45:18+0200
00de054af9b8d674,jon-new,jonbot@da3fd8a,jonbot,da3fd8a,lockin@9713344,lockin,9713344,atoll,official,1,0,a,1.0,core_destroyed,49,,137,0,6,13,139,0,8,4,ok,,4.357,n-62-21-96,28999214,2026-08-01T15:41:36+0200
00e0ba85fe555ab0,jon-new,jonbot@9713344,jonbot,9713344,jonbot@da3fd8a,jonbot,da3fd8a,showdown,official,1,0,b,0.0,core_destroyed,40,,262,0,4,0,74,50,6,29,ok,,2.145,n-62-21-105,28999214,2026-08-01T15:38:55+0200
00eed90cb657101b,jon-new,jonbot@da3fd8a,jonbot,da3fd8a,titanium_v1@9713344,titanium_v1,9713344,showdown,official,1,0,a,1.0,core_destroyed,31,,44,40,6,26,341,0,4,2,ok,,1.852,n-62-21-84,28999214,2026-08-01T15:39:40+0200
00f75a0a0c0fc500,jon-new,adaptive_v1@9713344,adaptive_v1,9713344,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,jackpot,official,1,0,b,0.0,core_destroyed,48,,179,0,6,4,183,190,9,20,ok,,3.041,n-62-31-11,28999214,2026-08-01T15:50:32+0200
