rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vanguard@9932bec,vanguard,9932bec,1890,1545,0,345,0.8175,2.451192,425.8,2.451192,0.83204,0.329329,0.0,-0.675755,7,-6
2,vanguard@17ad456,vanguard,17ad456,1890,1569,0,321,0.8302,2.441884,424.2,2.441884,0.678691,0.154913,0.0,-0.473784,2,0
3,vanguard@26e6792,vanguard,26e6792,1890,1505,0,385,0.7963,2.362968,410.5,2.362968,1.014084,0.424088,0.0,-1.007641,14,-11
4,vanguard@259c188,vanguard,259c188,1890,1467,0,423,0.7762,2.291775,398.1,2.291775,0.902551,0.660026,0.0,-1.007641,13,-9
5,undertow@da3fd8a,undertow,da3fd8a,1890,1474,0,416,0.7799,2.193642,381.1,2.193642,0.554118,0.444443,0.0,-0.675755,6,-1
6,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,1890,1460,0,430,0.7725,2.142644,372.2,2.142644,0.576581,0.484987,0.0,-0.675755,5,1
7,vanguard@da3fd8a,vanguard,da3fd8a,1890,1416,0,474,0.7492,2.129862,370.0,2.129862,0.864619,0.711498,0.0,-1.129865,17,-10
8,v233_g@9713344,v233_g,9713344,1890,1404,0,486,0.7429,2.118564,368.0,2.118564,0.548265,0.833619,0.0,-0.781701,10,-2
9,v233_f@9713344,v233_f,9713344,1890,1347,0,543,0.7127,1.975861,343.2,1.975861,0.544525,1.030404,0.0,-1.129865,15,-6
10,tempest_oracle_ferry@12802b8,tempest_oracle_ferry,12802b8,1890,1600,0,290,0.8466,1.970846,342.4,1.970846,-0.002465,-1.427681,1.0,0.0,1,9
11,undertow@9713344,undertow,9713344,1890,1379,0,511,0.7296,1.854166,322.1,1.854166,0.608278,0.562558,0.0,-1.007641,12,-1
12,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,1890,1527,0,363,0.8079,1.80039,312.8,1.80039,0.204397,-1.085343,0.0,-0.573346,3,9
