kind,size,members,detail
behaviour,2,adaptive_v1@9713344 siege_v2@9713344,same results vs all 43 shared opponents; 21/42 head to head
behaviour,2,claude_challenger_2@fdc1e1f luc_1@604349b,same results vs all 60 shared opponents; 21/42 head to head
behaviour,2,frontier@9713344 frontier_v2@9713344,same results vs all 43 shared opponents; 21/42 head to head
behaviour,4,tempest_oracle_ferry@12802b8 tempest_oracle_ferry@7196487 tempest_oracle_ferry@fdc1e1f tempest_oracle_guarded@fdc1e1f,same results vs all 46 shared opponents; 21/42 head to head
behaviour,2,undertow@da3fd8a undertow_df5e698@da3fd8a,same results vs all 71 shared opponents; 21/42 head to head
behaviour,2,undertow@fdc1e1f undertow_adjacent@fdc1e1f,same results vs all 60 shared opponents; 21/42 head to head
behaviour,6,v233_h@9713344 vanguard@9713344 vanguard@ba943b9 vanguard@bb03f14 vanguard@da3fd8a vanguard_1e88ae8@da3fd8a,same results vs all 40 shared opponents; 21/42 head to head
behaviour,2,vanguard@17ad456 vanguard@818f3b4,same results vs all 50 shared opponents; 21/42 head to head
behaviour,2,vanguard@26e6792 vanguard@c407e79,same results vs all 49 shared opponents; 21/42 head to head
code,2,vanguard@9713344 vanguard_1e88ae8@da3fd8a,identical .py content (380f469c2cc7)
code,2,undertow@da3fd8a undertow_df5e698@da3fd8a,identical .py content (4f84bccc0275)
code,2,vanguard@bb03f14 vanguard@da3fd8a,identical .py content (875c201f9d5d)
code,2,adaptive_v1@9713344 siege_v2@9713344,identical .py content (92bdf36dab32)
code,2,tempest@ba943b9 tempest@da3fd8a,identical .py content (c2fde6791bd7)
code,2,frontier@9713344 frontier_v2@9713344,identical .py content (db545016c7dc)
