match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000a307f82976e20,auto-01244704d50a,var@1a4b18c,var,1a4b18c,fenrir2@6b39ebb,fenrir2,6b39ebb,eider,all_official,1,0,rating,b,b,0.0,core_destroyed,358,,8,870,9,7,10,800,8,13,ok,,7.905,n-62-21-3,29053953,2026-08-09T11:23:41+0200
0014b446ddd035d8,auto-01244704d50a,e_t4l7@9e77076,e_t4l7,9e77076,var@1a4b18c,var,1a4b18c,showdown,all_official,1,0,rating,a,a,1.0,harvesters,1000,,684,0,10,20,12,0,8,14,ok,,8.037,n-62-21-6,29053953,2026-08-09T11:23:51+0200
001b3b4ed04005bc,auto-01244704d50a,var@1a4b18c,var,1a4b18c,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,fjordgate,all_official,1,0,rating,a,a,1.0,core_destroyed,86,,17,190,7,14,347,0,2,3,ok,,2.502,n-62-11-55,29053953,2026-08-09T11:23:35+0200
0021be232479d45e,auto-01244704d50a,var@1a4b18c,var,1a4b18c,maporacle@38e1456,maporacle,38e1456,vase,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,37,2460,11,14,1183,270,4,6,ok,,21.077,n-62-28-29,29053953,2026-08-09T11:25:37+0200
003d68cfbea2f4b4,auto-01244704d50a,byggvir@55df097,byggvir,55df097,var@1a4b18c,var,1a4b18c,showdown,all_official,1,0,rating,a,a,1.0,core_destroyed,449,,11,0,6,12,10,170,4,11,ok,,3.627,n-62-29-18,29053953,2026-08-09T11:23:31+0200
0054adeeeedcfb5f,auto-01244704d50a,var@1a4b18c,var,1a4b18c,heimdall@daf0de0,heimdall,daf0de0,archipelago,all_official,1,0,rating,a,a,1.0,core_destroyed,74,,74,670,10,28,10,150,6,35,ok,,3.91,n-62-31-14,29053953,2026-08-09T11:24:18+0200
006abb21dd0c3d0b,auto-01244704d50a,gefn@46ac5e6,gefn,46ac5e6,var@1a4b18c,var,1a4b18c,duel,all_official,1,0,rating,b,b,0.0,core_destroyed,62,,8,200,8,5,19,280,9,6,ok,,3.13,n-62-29-19,29053953,2026-08-09T11:24:27+0200
00726c262b4dc9ec,auto-01244704d50a,mimir@cfc1ec4,mimir,cfc1ec4,var@1a4b18c,var,1a4b18c,heart,all_official,1,0,rating,a,a,1.0,core_destroyed,97,,10,70,6,9,10,0,7,14,ok,,3.171,n-62-29-32,29053953,2026-08-09T11:25:50+0200
007de54bdd38af36,auto-01244704d50a,freyja@6a8a5f7,freyja,6a8a5f7,var@1a4b18c,var,1a4b18c,quarry,all_official,1,0,rating,b,b,0.0,core_destroyed,557,,10,260,7,19,9,140,10,7,ok,,10.251,n-62-31-23,29053953,2026-08-09T11:24:09+0200
00990279266c6bb2,auto-01244704d50a,eir@5d43b95,eir,5d43b95,var@1a4b18c,var,1a4b18c,moonrise,all_official,1,0,rating,a,a,1.0,core_destroyed,225,,95,1070,9,18,59,30,3,4,ok,,4.578,n-62-21-8,29053953,2026-08-09T11:23:52+0200
00a081b1d0319300,auto-01244704d50a,var@1a4b18c,var,1a4b18c,frigg@55df097,frigg,55df097,sprint,all_official,1,0,rating,a,a,1.0,core_destroyed,412,,16,20,6,7,20,40,4,2,ok,,3.909,n-62-21-97,29053953,2026-08-09T11:24:21+0200
