rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7986,5846,11,2129,0.7327,1.17474,204.1,1.17474,0.062017,0.418649,0.0,-0.093397,11,-10
2,freyja@6a8a5f7,freyja,6a8a5f7,7986,5816,20,2150,0.7295,1.138959,197.9,1.138959,0.089269,0.649483,0.299523,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7986,5788,19,2179,0.726,1.123264,195.1,1.123264,0.081221,0.67383,0.0,-0.123799,12,-9
4,hlin@6b5d86e,hlin,6b5d86e,7986,5633,7,2346,0.7058,1.024529,178.0,1.024529,0.260633,-0.100458,0.0,-0.002039,5,-1
5,frigg@55df097,frigg,55df097,7986,5632,7,2347,0.7057,1.021537,177.5,1.021537,0.265356,-0.07329,0.0,-0.023963,8,-3
6,gefn@60ae5f1,gefn,60ae5f1,7986,5555,6,2425,0.696,1.003096,174.3,1.003096,-0.046128,0.04638,0.333282,0.0,1,5
7,lofn@c8d0165,lofn,c8d0165,7986,5606,7,2373,0.7024,0.99323,172.5,0.99323,0.380469,-0.110498,0.0,-0.021924,7,0
8,syn@5bf798e,syn,5bf798e,7986,5551,7,2428,0.6955,0.99183,172.3,0.99183,-0.009242,0.147535,0.0,-0.026051,9,-1
9,nanna@55df097,nanna,55df097,7986,5559,7,2420,0.6965,0.963205,167.3,0.963205,0.365289,-0.095216,0.0,-0.002039,5,4
10,bil@6b5d86e,bil,6b5d86e,7986,5544,7,2435,0.6947,0.952311,165.4,0.952311,0.369071,-0.156031,0.0,-0.00202,4,6
11,var@1a4b18c,var,1a4b18c,7986,5500,9,2477,0.6893,0.927568,161.1,0.927568,0.130107,0.339343,0.0,-0.160465,13,-2
12,dagr@e113755,dagr,e113755,7986,5504,23,2459,0.6906,0.924812,160.7,0.924812,0.319289,0.168595,0.367195,0.0,1,11
13,snotra_h@4437c29,snotra_h,4437c29,7986,5369,8,2609,0.6728,0.8494,147.6,0.8494,0.138893,0.493253,0.0,-0.25284,19,-6
14,eir@5d43b95,eir,5d43b95,7986,5372,8,2606,0.6732,0.844454,146.7,0.844454,0.203722,0.501466,0.0,-0.25284,19,-5
15,bragi@db77268,bragi,db77268,7986,5365,8,2613,0.6723,0.844193,146.7,0.844193,0.124221,0.416549,0.0,-0.195868,14,1
16,snotra@34b0ce8,snotra,34b0ce8,7986,5334,5,2647,0.6682,0.826749,143.6,0.826749,0.144141,0.532333,0.0,-0.355393,30,-14
17,hoenir@5907a3b,hoenir,5907a3b,7986,5293,12,2681,0.6635,0.804591,139.8,0.804591,0.387588,0.313792,0.0,-0.203886,15,2
18,gefn@46ac5e6,gefn,46ac5e6,7986,5233,6,2747,0.6556,0.768432,133.5,0.768432,0.05572,0.375243,0.0,-0.29615,22,-4
19,vor@c32539f,vor,c32539f,7986,5230,1,2755,0.655,0.767298,133.3,0.767298,0.013207,0.381164,0.0,-0.317452,25,-6
20,fulla@ec5aa19,fulla,ec5aa19,7986,5227,1,2758,0.6546,0.766177,133.1,0.766177,0.032475,0.3286,0.0,-0.339983,29,-9
21,nott@d804023,nott,d804023,7986,5207,14,2765,0.6529,0.754844,131.1,0.754844,0.334689,0.302816,0.0,-0.211585,16,5
22,ran@0eca95f,ran,0eca95f,7986,5135,15,2836,0.6439,0.743729,129.2,0.743729,-0.080542,0.179008,0.0,-0.442501,44,-22
23,mani@11aec08,mani,11aec08,7986,5191,12,2783,0.6508,0.73644,127.9,0.73644,0.308463,-0.109373,0.0,-0.081748,10,13
24,vidarr@c9193be,vidarr,c9193be,7986,5139,15,2832,0.6444,0.736329,127.9,0.736329,-0.025922,0.247415,0.0,-0.442501,44,-20
25,bifrost@c70c467,bifrost,c70c467,7986,5181,12,2793,0.6495,0.734852,127.7,0.734852,0.374281,0.161987,0.0,-0.235997,17,8
26,forseti@37dc858,forseti,37dc858,7986,5115,8,2863,0.641,0.703322,122.2,0.703322,-0.019539,0.744847,0.0,-0.336279,26,0
27,magni@3677a66,magni,3677a66,7986,5111,8,2867,0.6405,0.698572,121.4,0.698572,-0.012237,0.755843,0.0,-0.336279,26,1
28,ostara@832c68a,ostara,832c68a,7986,5100,6,2880,0.639,0.696766,121.0,0.696766,0.035864,0.13919,0.0,-0.242473,18,10
29,hodr@ea88247,hodr,ea88247,7986,5109,8,2869,0.6402,0.696123,120.9,0.696123,8.6e-05,0.770189,0.0,-0.336279,26,3
30,spork@05ab6a2,spork,05ab6a2,7986,5038,6,2942,0.6312,0.659639,114.6,0.659639,0.028293,0.079649,0.0,-0.306047,24,6
31,saga@db77268,saga,db77268,7986,5026,10,2950,0.63,0.657125,114.2,0.657125,0.004446,0.094613,0.0,-0.302736,23,8
32,loki@832c68a,loki,832c68a,7986,5003,1,2982,0.6265,0.638148,110.9,0.638148,-0.002517,0.212615,0.0,-0.381592,32,0
33,mimir@cfc1ec4,mimir,cfc1ec4,7986,5010,8,2968,0.6278,0.629531,109.4,0.629531,0.091518,0.61874,0.0,-0.379075,31,2
34,steward_relent@7ed1acc,steward_relent,7ed1acc,7986,4991,22,2973,0.6263,0.620372,107.8,0.620372,0.074887,0.41703,0.0,-0.428106,43,-9
35,spar_sniper@aa24129,spar_sniper,aa24129,7986,4981,12,2993,0.6245,0.620168,107.7,0.620168,0.047366,0.545518,0.0,-0.401857,34,1
36,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,7950,4947,22,2981,0.6236,0.612838,106.5,0.612838,0.072574,0.480788,0.0,-0.403669,35,1
