match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0013bfc96d46f5bb,auto-012bed9301ac,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,vigil@18b749d,vigil,18b749d,quarry,official,1,0,rating,b,b,0.0,core_destroyed,44,,22,70,11,7,30,70,10,15,ok,,10.074,n-62-21-60,29004312,2026-08-02T14:24:48+0200
0016401e81591e12,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,autistimusprime@ecd4d24,autistimusprime,ecd4d24,string,official,1,0,rating,a,a,1.0,core_destroyed,48,,80,230,10,15,92,0,2,0,ok,,3.187,n-62-31-21,29004312,2026-08-02T14:24:49+0200
0016685785c98a18,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,v233_i@902be71,v233_i,902be71,strait,official,1,0,rating,a,a,1.0,core_destroyed,56,,20,120,12,11,110,230,3,9,ok,,3.969,n-62-29-21,29004312,2026-08-02T14:26:25+0200
001719130eefd026,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,vase,official,1,0,rating,a,a,1.0,core_destroyed,54,,47,100,13,7,330,0,2,0,ok,,3.518,n-62-21-8,29004312,2026-08-02T14:24:11+0200
00649888b671402e,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,autistimusprime@ecd4d24,autistimusprime,ecd4d24,bridge,official,1,0,rating,a,a,1.0,titanium_collected,1000,,11302,9180,9,25,2555,30,2,4,ok,,7.4,n-62-31-24,29004312,2026-08-02T14:24:38+0200
007f2231a6805170,auto-012bed9301ac,v233_e@9713344,v233_e,9713344,vigil@18b749d,vigil,18b749d,hive,official,1,0,rating,b,b,0.0,core_destroyed,60,,131,130,9,11,20,130,12,13,ok,,3.767,n-62-29-15,29004312,2026-08-02T14:26:21+0200
007fb174818d5217,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,opponent_luc@e83a42c,opponent_luc,e83a42c,showdown,official,1,0,rating,a,a,1.0,core_destroyed,20,,39,0,7,12,550,0,0,0,ok,,1.618,n-62-11-56,29004312,2026-08-02T14:25:03+0200
008e4156a3f7c82c,auto-012bed9301ac,lockin@9713344,lockin,9713344,vigil@18b749d,vigil,18b749d,quarry,official,1,0,rating,b,b,0.0,core_destroyed,34,,40,0,11,4,3,40,11,12,ok,,6.345,n-62-31-14,29004312,2026-08-02T14:24:12+0200
00926d8868f3903b,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,vg_v2@9713344,vg_v2,9713344,twins,official,1,0,rating,a,a,1.0,core_destroyed,51,,20,130,11,18,81,270,8,13,ok,,3.867,n-62-11-57,29004312,2026-08-02T14:25:36+0200
0097a0890a2e01a1,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,duel,official,1,0,rating,a,a,1.0,core_destroyed,29,,10,100,9,10,9,60,8,4,ok,,3.622,n-62-12-66,29004312,2026-08-02T14:24:42+0200
00b44fcf321eabd1,auto-012bed9301ac,frontier_v2@9713344,frontier_v2,9713344,vigil@18b749d,vigil,18b749d,pinch,official,1,0,rating,b,b,0.0,core_destroyed,29,,81,0,5,3,17,50,11,8,ok,,2.946,n-62-29-22,29004312,2026-08-02T14:24:36+0200
00c283b2ed7fce40,auto-012bed9301ac,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,vigil@18b749d,vigil,18b749d,duel,official,1,0,rating,b,b,0.0,core_destroyed,48,,122,220,4,11,29,210,10,14,ok,,3.903,n-62-11-68,29004312,2026-08-02T14:26:27+0200
00dee66991b1b1b1,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,vanguard_oracle@902be71,vanguard_oracle,902be71,fjord,official,1,0,rating,a,a,1.0,core_destroyed,35,,10,70,12,5,105,120,8,5,ok,,4.401,n-62-31-22,29004312,2026-08-02T14:26:20+0200
00e43d7a68907450,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,riptide@9713344,riptide,9713344,aurora,official,1,0,rating,a,a,1.0,core_destroyed,41,,10,130,11,15,106,80,4,8,ok,,3.53,n-62-11-54,29004312,2026-08-02T14:24:59+0200
00f8da501a4b33e8,auto-012bed9301ac,vigil@18b749d,vigil,18b749d,vanguard@c407e79,vanguard,c407e79,strait,official,1,0,rating,a,a,1.0,core_destroyed,53,,0,110,13,11,2,190,7,24,ok,,4.174,n-62-29-32,29004312,2026-08-02T14:25:37+0200
0106a607e191b47b,auto-012bed9301ac,vg_v3@9713344,vg_v3,9713344,vigil@18b749d,vigil,18b749d,quarry,official,1,0,rating,b,b,0.0,core_destroyed,40,,116,10,7,9,13,50,11,15,ok,,2.96,n-62-11-54,29004312,2026-08-02T14:25:58+0200
01387250f91b105c,auto-012bed9301ac,jonbot@da3fd8a,jonbot,da3fd8a,vigil@18b749d,vigil,18b749d,sweden,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2650,0,4,16,14294,11930,6,23,ok,,13.117,n-62-29-25,29004312,2026-08-02T14:25:01+0200
01388521f6b9cc78,auto-012bed9301ac,vg_v5@9713344,vg_v5,9713344,vigil@18b749d,vigil,18b749d,fjord,official,1,0,rating,b,b,0.0,core_destroyed,32,,100,130,3,8,30,120,11,7,ok,,3.431,n-62-11-53,29004312,2026-08-02T14:25:41+0200
