rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,6468,5090,28,1350,0.7891,1.467835,255.0,1.467835,0.581699,0.256285,0.0,-0.09309,3,-2
2,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6468,5072,15,1381,0.7853,1.463674,254.3,1.463674,0.445381,0.407499,0.0,-0.328672,12,-10
3,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,6468,5084,28,1356,0.7882,1.458386,253.3,1.458386,0.608876,0.287868,0.0,-0.09309,3,0
4,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,6468,5060,34,1374,0.7849,1.439074,250.0,1.439074,0.587976,0.265403,0.500186,0.0,1,3
5,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,6468,5028,31,1409,0.7798,1.421276,246.9,1.421276,0.566542,0.22622,0.0,-0.09309,3,2
6,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,6468,5021,31,1416,0.7787,1.413515,245.6,1.413515,0.566916,0.243722,0.499814,0.0,1,5
7,skadi@6a2af02,skadi,6a2af02,6468,4899,22,1547,0.7591,1.327744,230.7,1.327744,0.397219,0.480751,0.0,-0.186586,6,1
8,skadi@821d792,skadi,821d792,6468,4861,31,1576,0.7539,1.300191,225.9,1.300191,0.28791,0.422941,0.0,-0.186586,6,2
9,skadi@aad5f44,skadi,aad5f44,6468,4852,34,1582,0.7528,1.294114,224.8,1.294114,0.318791,0.368516,0.0,-0.186586,6,3
10,skadi@1e4eddf,skadi,1e4eddf,6468,4786,26,1656,0.742,1.201015,208.6,1.201015,0.44997,0.540015,0.0,-0.424883,14,-4
11,vidar_r3@c8b850e,vidar_r3,c8b850e,6468,4758,26,1684,0.7376,1.182963,205.5,1.182963,0.50036,0.652499,0.0,-0.186706,9,2
12,vidar_r2@c8b850e,vidar_r2,c8b850e,6468,4754,26,1688,0.737,1.181486,205.2,1.181486,0.489811,0.650979,0.0,-0.281077,11,1
13,vidar@8b87da5,vidar,8b87da5,6468,4730,18,1720,0.7327,1.180195,205.0,1.180195,0.394337,0.60559,0.0,-0.473784,17,-4
14,spar_econ@aad5f44,spar_econ,aad5f44,6468,4626,19,1823,0.7167,1.160671,201.6,1.160671,-0.181822,0.288474,0.0,-0.682969,26,-12
15,vidar@561800a,vidar,561800a,6468,4687,26,1755,0.7267,1.139784,198.0,1.139784,0.333319,0.617796,0.0,-0.624154,21,-6
16,vidar@ee47958,vidar,ee47958,6468,4686,26,1756,0.7265,1.139156,197.9,1.139156,0.333463,0.620611,0.0,-0.624154,21,-5
17,vidar_r1@c8b850e,vidar_r1,c8b850e,6468,4682,26,1760,0.7259,1.132585,196.8,1.132585,0.353819,0.648193,0.0,-0.624154,21,-4
18,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,6468,4693,44,1731,0.729,1.116076,193.9,1.116076,0.462933,0.256014,0.0,-0.523584,18,0
19,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6468,4417,13,2038,0.6839,0.874869,152.0,0.874869,0.49651,0.449031,0.0,-0.949841,44,-25
20,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6468,4416,13,2039,0.6838,0.872756,151.6,0.872756,0.504087,0.456507,0.0,-0.949841,44,-24
21,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6468,4321,11,2136,0.6689,0.849522,147.6,0.849522,0.166616,0.419903,0.0,-1.068775,62,-41
22,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6468,4321,15,2132,0.6692,0.846323,147.0,0.846323,0.289434,0.238435,0.0,-0.425113,15,7
23,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6468,4299,15,2154,0.6658,0.827914,143.8,0.827914,0.419783,0.290816,0.0,-0.280902,10,13
24,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6468,4312,13,2143,0.6677,0.80825,140.4,0.80825,0.353073,0.462942,0.0,-1.20434,73,-49
25,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,6468,4258,24,2186,0.6602,0.784097,136.2,0.784097,0.307869,0.468648,0.0,-1.008483,52,-27
26,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,6468,4267,13,2188,0.6607,0.781918,135.8,0.781918,0.314546,0.514279,0.0,-0.83687,37,-11
27,vidar@1b7a73a,vidar,1b7a73a,6468,4267,13,2188,0.6607,0.781593,135.8,0.781593,0.314152,0.51347,0.0,-0.83687,37,-10
28,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,6468,4251,13,2204,0.6582,0.774177,134.5,0.774177,0.290278,0.516988,0.0,-1.010976,54,-26
29,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,6468,4195,21,2252,0.6502,0.730958,127.0,0.730958,0.575138,0.328088,0.0,-1.067841,55,-26
30,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,6468,4181,35,2252,0.6491,0.730793,127.0,0.730793,0.56319,0.227288,0.0,-0.836248,36,-6
