bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
vidar@1b7a73a,vidar,1b7a73a,pass,21,21,21,3066,27,79,643,1368,8046,0,0,9000,10000
vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,pass,21,21,21,3057,16,38,354,837,8692,0,0,9000,10000
vidar_econwar@1b7a73a,vidar_econwar,1b7a73a,pass,21,21,21,2954,16,42,417,736,5718,0,0,9000,10000
vidar_gg150@1b7a73a,vidar_gg150,1b7a73a,pass,21,21,21,3083,19,45,361,881,8002,0,0,9000,10000
vidar_gg@1b7a73a,vidar_gg,1b7a73a,pass,21,21,21,3083,15,38,343,826,4237,0,0,9000,10000
vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,pass,21,21,21,3018,15,38,358,640,3707,0,0,9000,10000
vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,pass,21,21,21,3047,23,45,399,1036,8768,0,0,9000,10000
vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,pass,21,21,21,3073,25,59,395,1180,6783,0,0,9000,10000
vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,pass,21,21,21,2812,25,57,524,1107,7756,0,0,9000,10000
vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,pass,21,21,21,3001,44,69,663,1068,4677,0,0,9000,10000
vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,pass,21,21,21,2685,40,74,864,1397,5248,0,0,9000,10000
vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,pass,21,21,21,3066,45,70,663,1333,5440,0,0,9000,10000
vidar_noring@1b7a73a,vidar_noring,1b7a73a,pass,21,21,21,2685,32,66,787,1331,5197,0,0,9000,10000
vidar_pg@1b7a73a,vidar_pg,1b7a73a,pass,21,21,21,3083,30,68,569,1286,5652,0,0,9000,10000
vidar_pn@1b7a73a,vidar_pn,1b7a73a,pass,21,21,21,3001,22,43,384,755,3714,0,0,9000,10000
vidar_png@1b7a73a,vidar_png,1b7a73a,pass,21,21,21,3018,21,43,377,680,8688,0,0,9000,10000
vidar_save150@1b7a73a,vidar_save150,1b7a73a,pass,21,21,21,3066,35,59,479,1046,4573,0,0,9000,10000
vidar_save60@1b7a73a,vidar_save60,1b7a73a,pass,21,21,21,3066,44,77,638,1351,5367,0,0,9000,10000
vidar_saveup@1b7a73a,vidar_saveup,1b7a73a,pass,21,21,21,3066,22,39,349,917,8759,0,0,9000,10000
vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,pass,21,21,21,3073,15,39,347,835,5553,0,0,9000,10000
