rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5376,3884,10,1482,0.7234,1.084631,188.4,1.084631,0.358213,-0.272704,0.0,-0.03201,8,-7
2,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5376,3879,10,1487,0.7225,1.033106,179.5,1.033106,0.562182,-0.412035,0.590871,0.0,1,1
3,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5376,3799,12,1565,0.7078,1.003043,174.2,1.003043,0.430744,-0.516457,0.0,-0.398156,52,-49
4,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5373,3792,12,1569,0.7069,1.003016,174.2,1.003016,0.396054,-0.327494,0.0,-0.227675,31,-27
5,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,5376,3800,10,1566,0.7078,0.980317,170.3,0.980317,0.517368,-0.332918,0.0,-0.114449,18,-13
6,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5376,3796,10,1570,0.707,0.972404,168.9,0.972404,0.562976,-0.292171,0.0,-0.046033,11,-5
7,vidar@1b7a73a,vidar,1b7a73a,5376,3796,10,1570,0.707,0.972017,168.9,0.972017,0.562798,-0.291951,0.0,-0.046033,11,-4
8,vidar_png@1b7a73a,vidar_png,1b7a73a,5370,3732,13,1625,0.6962,0.941556,163.6,0.941556,0.453549,-0.141399,0.0,-0.016472,7,1
9,vidar_pg@1b7a73a,vidar_pg,1b7a73a,5366,3713,20,1633,0.6938,0.939609,163.2,0.939609,0.493956,0.075196,0.0,-0.037771,9,0
10,vidar_gg@1b7a73a,vidar_gg,1b7a73a,5376,3697,17,1662,0.6893,0.92803,161.2,0.92803,0.518128,0.056419,0.0,-0.269571,37,-27
11,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,5376,3675,4,1697,0.684,0.894787,155.4,0.894787,0.478764,-0.013704,0.0,-0.170836,25,-14
12,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5376,3647,12,1717,0.6795,0.885313,153.8,0.885313,0.476792,0.034187,0.0,-0.406926,53,-41
13,vidar_save60@1b7a73a,vidar_save60,1b7a73a,5357,3672,15,1670,0.6869,0.881686,153.2,0.881686,0.480403,-0.102218,0.0,-0.116183,19,-6
14,vidar_gg150@1b7a73a,vidar_gg150,1b7a73a,5376,3646,17,1713,0.6798,0.881112,153.1,0.881112,0.502947,0.082046,0.0,-0.251368,35,-21
15,vidar_save150@1b7a73a,vidar_save150,1b7a73a,5368,3671,15,1682,0.6853,0.877746,152.5,0.877746,0.448533,-0.107382,0.0,-0.140629,21,-6
16,vidar_e7@544eeb3,vidar_e7,544eeb3,5376,3657,6,1713,0.6808,0.87379,151.8,0.87379,0.495279,-0.020594,0.0,-0.18397,26,-10
17,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5376,3566,44,1766,0.6674,0.871885,151.5,0.871885,-0.225436,0.256181,0.0,-0.04008,10,7
18,vidar@544eeb3,vidar,544eeb3,5376,3699,11,1666,0.6891,0.86641,150.5,0.86641,0.667391,-0.198326,0.0,-0.006774,6,12
19,vidar_saveup@1b7a73a,vidar_saveup,1b7a73a,5358,3644,15,1699,0.6815,0.859679,149.3,0.859679,0.454943,-0.109191,0.0,-0.138452,20,-1
20,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,5376,3653,18,1705,0.6812,0.859042,149.2,0.859042,0.483056,-0.039942,0.0,-0.101203,16,4
21,vidar_pn@1b7a73a,vidar_pn,1b7a73a,5376,3648,14,1714,0.6799,0.848906,147.5,0.848906,0.415305,-0.055187,0.0,-0.061113,13,8
22,prospect@bf9b3e3,prospect,bf9b3e3,5376,3527,44,1805,0.6602,0.833716,144.8,0.833716,-0.050841,0.309623,0.0,-0.310586,40,-18
23,vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,5358,3570,7,1781,0.6669,0.810827,140.9,0.810827,0.42053,-0.194837,0.0,-0.235518,32,-9
24,vidar2@544eeb3,vidar2,544eeb3,5376,3496,21,1859,0.6523,0.746,129.6,0.746,0.472266,0.144594,0.0,-0.370884,44,-20
25,vidar2_b3@544eeb3,vidar2_b3,544eeb3,5376,3495,21,1860,0.6521,0.742779,129.0,0.742779,0.478992,0.141129,0.0,-0.436055,56,-31
26,odin@38e1456,odin,38e1456,5376,3492,5,1879,0.65,0.740348,128.6,0.740348,0.291249,0.137776,0.0,-0.14833,22,4
27,heimdall@daf0de0,heimdall,daf0de0,5376,3496,5,1875,0.6508,0.73484,127.7,0.73484,0.229453,0.027948,0.132417,-0.0,1,26
28,janus@8a1e7a1,janus,8a1e7a1,5376,3407,44,1925,0.6378,0.729278,126.7,0.729278,-0.302244,0.300041,0.0,-0.241071,34,-6
29,vidar_guard@544eeb3,vidar_guard,544eeb3,5376,3456,21,1899,0.6448,0.724671,125.9,0.724671,0.422701,0.155561,0.0,-0.843825,88,-59
30,vidar_noecon@544eeb3,vidar_noecon,544eeb3,5376,3460,7,1909,0.6443,0.708278,123.0,0.708278,0.455769,0.059666,0.0,-0.412758,54,-24
31,odin@5a92113,odin,5a92113,5376,3450,5,1921,0.6422,0.701097,121.8,0.701097,0.338692,0.107606,0.0,-0.162314,24,7
32,vidar2_c2@544eeb3,vidar2_c2,544eeb3,5376,3425,21,1930,0.639,0.67948,118.0,0.67948,0.478825,0.165897,0.0,-0.23642,33,-1
33,steward@e55aab5,steward,e55aab5,5376,3392,13,1971,0.6322,0.678863,117.9,0.678863,0.215157,0.369466,0.0,-0.083617,14,19
34,vidar_siege@544eeb3,vidar_siege,544eeb3,5376,3358,22,1996,0.6267,0.652559,113.4,0.652559,0.370969,0.415987,0.0,-0.388453,50,-16
35,vidar2_g3@544eeb3,vidar2_g3,544eeb3,5376,3406,22,1948,0.6356,0.650939,113.1,0.650939,0.434858,0.043397,0.0,-0.384683,46,-11
