rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra_h@4437c29,snotra_h,4437c29,6006,4378,7,1621,0.7295,1.125021,195.4,1.125021,-0.115064,-0.543909,1.0,0.0,1,0
2,snotra@34b0ce8,snotra,34b0ce8,6006,4368,5,1633,0.7277,1.112025,193.2,1.112025,-0.142346,-0.586842,0.0,-0.059719,2,0
3,vor@c32539f,vor,c32539f,6006,4299,1,1706,0.7159,1.056654,183.6,1.056654,-0.005464,-0.404396,0.0,-0.300754,12,-9
4,gefn@46ac5e6,gefn,46ac5e6,6006,4296,6,1704,0.7158,1.054041,183.1,1.054041,-0.066581,-0.4084,0.0,-0.300754,12,-8
5,fulla@ec5aa19,fulla,ec5aa19,6006,4293,1,1712,0.7149,1.053098,182.9,1.053098,-0.04061,-0.352214,0.0,-0.300754,12,-7
6,forseti@37dc858,forseti,37dc858,6006,4219,8,1779,0.7031,0.995208,172.9,0.995208,0.011485,-0.805148,0.0,-0.239951,7,-1
7,magni@3677a66,magni,3677a66,6006,4217,8,1781,0.7028,0.990345,172.0,0.990345,0.015054,-0.816281,0.0,-0.179586,5,2
8,hodr@ea88247,hodr,ea88247,6006,4216,8,1782,0.7026,0.987742,171.6,0.987742,-0.005447,-0.834498,0.0,-0.239951,7,1
9,spork@05ab6a2,spork,05ab6a2,5985,4117,3,1865,0.6881,0.929663,161.5,0.929663,-0.031884,-0.11656,0.0,-0.059719,2,7
10,mimir@cfc1ec4,mimir,cfc1ec4,6006,4123,8,1875,0.6871,0.903232,156.9,0.903232,-0.094676,-0.691744,0.0,-0.239951,7,3
11,spar_sniper@aa24129,spar_sniper,aa24129,6006,4096,12,1898,0.683,0.89225,155.0,0.89225,-0.039612,-0.608282,0.0,-0.179586,5,6
12,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5970,4043,20,1907,0.6789,0.88617,153.9,0.88617,0.11942,-0.527766,0.0,-0.393043,25,-13
13,steward_relent@7ed1acc,steward_relent,7ed1acc,6006,4093,17,1896,0.6829,0.881554,153.1,0.881554,-0.093081,-0.480079,0.0,-0.300754,12,1
14,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5970,4057,17,1896,0.681,0.877004,152.4,0.877004,-0.100032,-0.545081,0.0,-0.300754,12,2
15,freyr@c2c0d3d,freyr,c2c0d3d,6006,4087,16,1903,0.6818,0.872061,151.5,0.872061,-0.079097,-0.597393,0.0,-0.300754,12,3
16,njord@f66a427,njord,f66a427,6006,4075,18,1913,0.68,0.86841,150.9,0.86841,-0.039595,-0.586727,0.0,-0.300754,12,4
17,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5970,4037,23,1910,0.6781,0.867404,150.7,0.867404,-0.028178,-0.532831,0.0,-0.300754,12,5
18,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5970,4048,17,1905,0.6795,0.865357,150.3,0.865357,-0.094318,-0.638574,0.0,-0.300754,12,6
19,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5970,4013,37,1920,0.6753,0.864594,150.2,0.864594,0.016346,-0.486198,0.0,-0.300754,12,7
20,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5970,4010,37,1923,0.6748,0.858503,149.1,0.858503,-0.004754,-0.512518,0.0,-0.300754,12,8
21,vali@7bc75e8,vali,7bc75e8,6006,4041,17,1948,0.6742,0.835382,145.1,0.835382,-0.101046,-0.612549,0.0,-0.239951,7,14
22,ullr@7d1ab4e,ullr,7d1ab4e,6006,4031,19,1956,0.6727,0.829924,144.2,0.829924,-0.074813,-0.62126,0.0,-0.239951,7,15
23,gefjon@f66a427,gefjon,f66a427,6006,3977,26,2003,0.6643,0.818094,142.1,0.818094,-0.048376,0.061421,0.0,-0.089612,4,19
24,sif@3fc5cd8,sif,3fc5cd8,6006,3938,4,2064,0.656,0.781597,135.8,0.781597,0.005541,-0.066739,0.0,-0.362115,23,1
25,skadi@6a2af02,skadi,6a2af02,5970,3785,48,2137,0.638,0.738664,128.3,0.738664,0.477977,0.008957,0.0,-0.362115,23,2
26,skadi@821d792,skadi,821d792,5970,3742,62,2166,0.632,0.711036,123.5,0.711036,0.368684,0.1006,0.0,-0.487015,26,0
27,skadi@aad5f44,skadi,aad5f44,5970,3723,65,2182,0.6291,0.702543,122.0,0.702543,0.411468,0.122005,0.0,-0.487015,26,1
28,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,5970,3666,45,2259,0.6178,0.596512,103.6,0.596512,0.102328,-0.448529,0.0,-0.963793,39,-11
29,skadi@1e4eddf,skadi,1e4eddf,5970,3586,59,2325,0.6056,0.56926,98.9,0.56926,0.469108,-0.088639,0.0,-0.819027,33,-4
30,vidar@8b87da5,vidar,8b87da5,5970,3514,41,2415,0.592,0.534116,92.8,0.534116,0.55902,0.157706,0.0,-0.749659,32,-2
