rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,3108,2671,0,437,0.8594,2.457108,426.8,2.457108,-0.700321,-0.360116,1.0,0.0,1,0
2,vanguard_oracle@902be71,vanguard_oracle,902be71,3108,2497,0,611,0.8034,2.222685,386.1,2.222685,-0.044627,-0.661831,0.0,-0.891998,17,-15
3,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3108,2429,0,679,0.7815,2.100897,365.0,2.100897,0.03826,-0.802477,0.0,-1.129865,19,-16
4,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3108,2378,0,730,0.7651,2.016472,350.3,2.016472,0.159911,-0.916713,0.0,-1.55463,25,-21
5,vanguard@9932bec,vanguard,9932bec,3108,2309,0,799,0.7429,2.001482,347.7,2.001482,0.535323,-0.960093,0.0,-2.423538,41,-36
6,vanguard@818f3b4,vanguard,818f3b4,3108,2317,0,791,0.7455,1.968014,341.9,1.968014,0.404425,-0.872737,0.0,-2.423538,42,-36
7,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3108,2426,0,682,0.7806,1.945866,338.0,1.945866,-0.183998,-0.205017,0.0,-0.573346,12,-5
8,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3108,2425,0,683,0.7802,1.941046,337.2,1.941046,-0.189021,-0.203931,0.0,-0.573346,13,-5
9,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3108,2472,0,636,0.7954,1.937021,336.5,1.937021,-0.471197,-0.268681,0.0,-0.675755,15,-6
10,vanguard@c407e79,vanguard,c407e79,3108,2237,0,871,0.7198,1.903407,330.7,1.903407,0.637157,-1.092591,0.0,-2.146581,39,-29
11,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3108,2424,0,684,0.7799,1.866949,324.3,1.866949,-0.326415,-0.109778,0.0,-0.573346,14,-3
12,v233_i@902be71,v233_i,902be71,3108,2198,0,910,0.7072,1.859642,323.1,1.859642,0.792847,-0.948102,0.0,-1.919593,32,-20
13,undertow_oracle@75591b7,undertow_oracle,75591b7,3108,2273,0,835,0.7313,1.787974,310.6,1.787974,0.270784,-0.77756,0.0,-1.55463,26,-13
