match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
002d502930f7d12a,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vigil@60d5afa,vigil,60d5afa,twins,official,1,0,rating,a,a,1.0,core_destroyed,63,,7,130,15,13,21,160,7,13,ok,,4.845,n-62-29-27,29026879,2026-08-04T15:34:53+0200
006126d6d8e10ed2,auto-1641bdedbff0,v233_e@9713344,v233_e,9713344,odin@93e46da,odin,93e46da,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,35,,103,140,8,10,46,120,11,7,ok,,3.547,n-62-29-28,29026879,2026-08-04T15:34:06+0200
0064244ccf4096eb,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vigil@e267eeb,vigil,e267eeb,sweden,official,1,0,rating,a,a,1.0,core_destroyed,112,,134,730,12,30,337,520,8,11,ok,,6.424,n-62-21-103,29026879,2026-08-04T15:33:44+0200
0070dd8bd8d7b2b9,auto-1641bdedbff0,odin@93e46da,odin,93e46da,e9cand@9e77076,e9cand,9e77076,pinch,official,1,0,rating,a,a,1.0,core_destroyed,45,,70,210,10,16,106,0,8,8,ok,,3.295,n-62-29-27,29026879,2026-08-04T15:31:42+0200
00932390c0bd8714,auto-1641bdedbff0,valkyrie@30d0491,valkyrie,30d0491,odin@93e46da,odin,93e46da,longship,official,1,0,rating,b,b,0.0,core_destroyed,93,,186,380,9,20,141,660,9,33,ok,,5.148,n-62-21-99,29026879,2026-08-04T15:34:24+0200
00982c640f73dbe6,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vigil@1b5f3d1,vigil,1b5f3d1,strait,official,1,0,rating,a,a,1.0,core_destroyed,110,,0,590,14,57,319,240,6,21,ok,,5.006,n-62-28-30,29026879,2026-08-04T15:33:58+0200
00b14626d76a5262,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vg_v2@9713344,vg_v2,9713344,runestone,official,1,0,rating,a,a,1.0,core_destroyed,192,,1673,2780,13,88,122,0,1,6,ok,,5.494,n-62-31-9,29026879,2026-08-04T15:33:34+0200
00c1e8b502f02e51,auto-1641bdedbff0,odin@93e46da,odin,93e46da,attack_wave_v1@9713344,attack_wave_v1,9713344,sprint,official,1,0,rating,a,a,1.0,core_destroyed,25,,3,0,12,3,120,0,2,1,ok,,2.873,n-62-11-62,29026879,2026-08-04T15:30:46+0200
00c841679cf161ca,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vanguard@c407e79,vanguard,c407e79,vase,official,1,0,rating,a,a,1.0,titanium_collected,1000,,4776,2460,9,7,4478,2440,9,7,ok,,12.262,n-62-21-89,29026879,2026-08-04T15:33:56+0200
00dd4146091bdc62,auto-1641bdedbff0,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,odin@93e46da,odin,93e46da,atoll,official,1,0,rating,b,b,0.0,core_destroyed,58,,0,230,13,8,32,240,13,8,ok,,6.643,n-62-21-103,29026879,2026-08-04T15:34:59+0200
00e6efab46bac980,auto-1641bdedbff0,v233_a@9713344,v233_a,9713344,odin@93e46da,odin,93e46da,aurora,official,1,0,rating,b,b,0.0,core_destroyed,95,,76,210,8,14,272,590,7,51,ok,,3.858,n-62-11-69,29026879,2026-08-04T15:32:44+0200
00e987d0d6e6c7a6,auto-1641bdedbff0,odin@93e46da,odin,93e46da,heimdall@840a180,heimdall,840a180,skerry,official,1,0,rating,a,a,1.0,core_destroyed,56,,43,340,12,25,288,300,4,16,ok,,4.657,n-62-21-13,29026879,2026-08-04T15:32:15+0200
00ef175f91b9b444,auto-1641bdedbff0,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,odin@93e46da,odin,93e46da,sweden,official,1,0,rating,b,b,0.0,core_destroyed,70,,380,100,4,7,20,300,13,26,ok,,3.377,n-62-29-29,29026879,2026-08-04T15:33:01+0200
00fd2dde79eb8d75,auto-1641bdedbff0,mistral_fast@26b5aa1,mistral_fast,26b5aa1,odin@93e46da,odin,93e46da,skerry,official,1,0,rating,b,b,0.0,core_destroyed,40,,70,0,11,0,26,150,8,12,ok,,4.478,n-62-21-55,29026879,2026-08-04T15:31:24+0200
010ca4daf0d1860b,auto-1641bdedbff0,vanguard@c407e79,vanguard,c407e79,odin@93e46da,odin,93e46da,string,official,1,0,rating,b,b,0.0,core_destroyed,104,,101,260,4,7,270,670,9,14,ok,,4.842,n-62-21-89,29026879,2026-08-04T15:33:19+0200
0110268fd2071ed5,auto-1641bdedbff0,odin@93e46da,odin,93e46da,e_final@9e77076,e_final,9e77076,sprint,official,1,0,rating,a,a,1.0,core_destroyed,24,,20,0,13,1,11,0,4,8,ok,,3.422,n-62-29-13,29026879,2026-08-04T15:31:02+0200
01112920ce09fba1,auto-1641bdedbff0,hardshell@2a19238,hardshell,2a19238,odin@93e46da,odin,93e46da,hive,official,1,0,rating,b,b,0.0,core_destroyed,65,,2,140,8,43,20,270,10,41,ok,,3.111,n-62-12-8,29026879,2026-08-04T15:31:21+0200
01153db0f9277f95,auto-1641bdedbff0,warden@3318ffd,warden,3318ffd,odin@93e46da,odin,93e46da,vase,official,1,0,rating,b,b,0.0,core_destroyed,68,,30,130,5,13,27,130,10,7,ok,,4.115,n-62-29-10,29026879,2026-08-04T15:34:33+0200
0118395dbf2b07e9,auto-1641bdedbff0,odin@93e46da,odin,93e46da,nemesis@9713344,nemesis,9713344,fjord,official,1,0,rating,a,a,1.0,core_destroyed,87,,81,730,11,50,73,0,4,12,ok,,4.525,n-62-21-57,29026879,2026-08-04T15:30:18+0200
0152ff90e6af13ae,auto-1641bdedbff0,odin@93e46da,odin,93e46da,valkyrie@d181312,valkyrie,d181312,longship,official,1,0,rating,a,a,1.0,core_destroyed,101,,54,380,10,28,86,400,7,31,ok,,4.892,n-62-28-30,29026879,2026-08-04T15:34:13+0200
0160babb3a05b3f5,auto-1641bdedbff0,odin@93e46da,odin,93e46da,jonbot@da3fd8a,jonbot,da3fd8a,strait,official,1,0,rating,a,a,1.0,core_destroyed,83,,25,320,12,39,229,160,6,27,ok,,4.819,n-62-21-17,29026879,2026-08-04T15:30:55+0200
0169dffda7831294,auto-1641bdedbff0,aegis@e55aab5,aegis,e55aab5,odin@93e46da,odin,93e46da,atoll,official,1,0,rating,b,b,0.0,core_destroyed,73,,285,390,7,31,309,310,7,12,ok,,3.051,n-62-31-21,29026879,2026-08-04T15:30:20+0200
0178a20dc660163b,auto-1641bdedbff0,odin@93e46da,odin,93e46da,lockin@9713344,lockin,9713344,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,42,,171,150,9,13,600,0,0,0,ok,,1.979,n-62-13-9,29026879,2026-08-04T15:31:36+0200
017fb9d185ae8620,auto-1641bdedbff0,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,odin@93e46da,odin,93e46da,duel,official,1,0,rating,b,b,0.0,core_destroyed,34,,6,120,7,14,24,70,9,4,ok,,4.195,n-62-21-93,29026879,2026-08-04T15:31:24+0200
0189640e62ccb3aa,auto-1641bdedbff0,odin@93e46da,odin,93e46da,warden_walk@3318ffd,warden_walk,3318ffd,vase,official,1,0,rating,a,a,1.0,core_destroyed,44,,18,70,7,7,32,70,7,13,ok,,3.334,n-62-29-22,29026879,2026-08-04T15:34:40+0200
01baa790163b6709,auto-1641bdedbff0,odin@93e46da,odin,93e46da,undertow_oracle@75591b7,undertow_oracle,75591b7,strait,official,1,0,rating,a,a,1.0,core_destroyed,133,,51,640,16,45,151,1140,10,43,ok,,8.076,n-62-31-11,29026879,2026-08-04T15:32:42+0200
01be352ba92eab3e,auto-1641bdedbff0,jonbot@9713344,jonbot,9713344,odin@93e46da,odin,93e46da,pinch,official,1,0,rating,b,b,0.0,core_destroyed,37,,262,0,2,0,12,70,12,16,ok,,3.286,n-62-21-16,29026879,2026-08-04T15:31:19+0200
01d0f4a697d825ef,auto-1641bdedbff0,claude_challenger_1@fdc1e1f,claude_challenger_1,fdc1e1f,odin@93e46da,odin,93e46da,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,42,,600,0,0,0,121,140,9,19,ok,,2.006,n-62-21-99,29026879,2026-08-04T15:30:59+0200
01d619bcbc4694f6,auto-1641bdedbff0,vanguard_oracle@902be71,vanguard_oracle,902be71,odin@93e46da,odin,93e46da,vase,official,1,0,rating,b,b,0.0,titanium_collected,1000,,4679,2450,7,9,4860,2460,5,7,ok,,5.453,n-62-12-2,29026879,2026-08-04T15:34:25+0200
01eaa4f204ccb46e,auto-1641bdedbff0,e_condc@6db8844,e_condc,6db8844,odin@93e46da,odin,93e46da,runestone,official,1,0,rating,b,b,0.0,core_destroyed,229,,313,1330,8,29,10,540,12,26,ok,,5.52,n-62-29-33,29026879,2026-08-04T15:30:42+0200
01f4945e4af14334,auto-1641bdedbff0,odin@93e46da,odin,93e46da,titanium_v1@9713344,titanium_v1,9713344,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,81,,20,350,13,29,474,0,0,1,ok,,2.976,n-62-12-3,29026879,2026-08-04T15:32:48+0200
01f84f2b01b54238,auto-1641bdedbff0,titanium_v1@9713344,titanium_v1,9713344,odin@93e46da,odin,93e46da,twins,official,1,0,rating,b,b,0.0,core_destroyed,32,,316,0,2,3,37,100,10,14,ok,,2.638,n-62-21-6,29026879,2026-08-04T15:31:58+0200
0205a362dbd7a822,auto-1641bdedbff0,casemate@902be71,casemate,902be71,odin@93e46da,odin,93e46da,longship,official,1,0,rating,b,b,0.0,core_destroyed,97,,31,0,3,28,23,590,12,47,ok,,5.211,n-62-21-103,29026879,2026-08-04T15:31:21+0200
020f6a5ce1e583b3,auto-1641bdedbff0,odin@93e46da,odin,93e46da,hardshell@2a19238,hardshell,2a19238,atoll,official,1,0,rating,a,a,1.0,core_destroyed,99,,94,730,9,40,55,460,9,27,ok,,3.514,n-62-12-8,29026879,2026-08-04T15:30:27+0200
0238197e3a9b8261,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vg_v4@9713344,vg_v4,9713344,vault,official,1,0,rating,a,a,1.0,core_destroyed,59,,25,130,11,17,111,130,5,10,ok,,3.712,n-62-29-29,29026879,2026-08-04T15:33:39+0200
02430f735eea76b4,auto-1641bdedbff0,mistral@ba943b9,mistral,ba943b9,odin@93e46da,odin,93e46da,longship,official,1,0,rating,b,b,0.0,core_destroyed,68,,70,0,1,0,30,270,10,11,ok,,7.001,n-62-21-68,29026879,2026-08-04T15:30:34+0200
024678f4b959bef7,auto-1641bdedbff0,odin@93e46da,odin,93e46da,nemesis@9713344,nemesis,9713344,quarry,official,1,0,rating,a,a,1.0,core_destroyed,80,,303,550,10,30,10,190,7,28,ok,,4.323,n-62-21-57,29026879,2026-08-04T15:31:34+0200
024777a2a57dbec2,auto-1641bdedbff0,v233_a@9713344,v233_a,9713344,odin@93e46da,odin,93e46da,sprint,official,1,0,rating,b,b,0.0,core_destroyed,21,,94,0,3,1,10,0,13,1,ok,,3.272,n-62-28-31,29026879,2026-08-04T15:33:13+0200
024a734f70a73196,auto-1641bdedbff0,vigil@e267eeb,vigil,e267eeb,odin@93e46da,odin,93e46da,skerry,official,1,0,rating,b,b,0.0,core_destroyed,55,,86,230,6,7,2,230,12,13,ok,,4.556,n-62-31-11,29026879,2026-08-04T15:34:47+0200
02546d017bdc3c12,auto-1641bdedbff0,odin@93e46da,odin,93e46da,heimdall@4c0d92e,heimdall,4c0d92e,runestone,official,1,0,rating,b,b,0.0,core_destroyed,42,,92,70,9,14,12,80,12,22,ok,,4.148,n-62-21-9,29026879,2026-08-04T15:31:32+0200
0275daf0a4f56435,auto-1641bdedbff0,hardshell@2a19238,hardshell,2a19238,odin@93e46da,odin,93e46da,skerry,official,1,0,rating,b,b,0.0,core_destroyed,52,,33,230,8,49,102,250,8,30,ok,,3.079,n-62-12-3,29026879,2026-08-04T15:30:55+0200
02a55f0d44629311,auto-1641bdedbff0,heimdall@840a180,heimdall,840a180,odin@93e46da,odin,93e46da,sprint,official,1,0,rating,a,a,1.0,core_destroyed,39,,10,0,5,1,36,0,9,0,ok,,4.427,n-62-21-13,29026879,2026-08-04T15:32:36+0200
02a8670eef17bd82,auto-1641bdedbff0,opponent_luc@e83a42c,opponent_luc,e83a42c,odin@93e46da,odin,93e46da,skerry,official,1,0,rating,b,b,0.0,core_destroyed,40,,221,160,8,5,80,160,13,6,ok,,5.697,n-62-21-67,29026879,2026-08-04T15:30:42+0200
02ab38eb606b3750,auto-1641bdedbff0,vg_v5@9713344,vg_v5,9713344,odin@93e46da,odin,93e46da,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,39,,101,70,3,8,10,140,12,14,ok,,3.539,n-62-29-29,29026879,2026-08-04T15:34:17+0200
02aca17ce129efd3,auto-1641bdedbff0,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,odin@93e46da,odin,93e46da,quarry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,34,13960,13,177,2469,16560,18,97,ok,,32.946,n-62-11-54,29026879,2026-08-04T15:34:33+0200
02bb23b1ec332c3f,auto-1641bdedbff0,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,odin@93e46da,odin,93e46da,duel,official,1,0,rating,a,a,1.0,core_destroyed,32,,21,90,5,10,11,90,11,4,ok,,4.078,n-62-21-96,29026879,2026-08-04T15:31:37+0200
02bce4d0ed4d13af,auto-1641bdedbff0,vigil@18b749d,vigil,18b749d,odin@93e46da,odin,93e46da,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,57,,181,190,4,8,20,130,12,5,ok,,4.161,n-62-21-98,29026879,2026-08-04T15:34:12+0200
02c14ad04d32e566,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vg_v6@9713344,vg_v6,9713344,twins,official,1,0,rating,a,a,1.0,core_destroyed,279,,1345,3060,9,63,68,950,9,31,ok,,8.603,n-62-21-104,29026879,2026-08-04T15:33:59+0200
02cdade5bd8e5fc7,auto-1641bdedbff0,vanguard@c407e79,vanguard,c407e79,odin@93e46da,odin,93e46da,atoll,official,1,0,rating,b,b,0.0,core_destroyed,48,,94,180,5,4,23,190,14,11,ok,,4.107,n-62-11-59,29026879,2026-08-04T15:34:01+0200
02f49f73d4f946dc,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vanguard_oracle@75591b7,vanguard_oracle,75591b7,longship,official,1,0,rating,a,a,1.0,core_destroyed,62,,94,310,10,23,75,240,11,5,ok,,4.542,n-62-12-8,29026879,2026-08-04T15:34:06+0200
02f5f5e10a0258dd,auto-1641bdedbff0,odin@93e46da,odin,93e46da,valkyrie@30d0491,valkyrie,30d0491,vase,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2271,0,6,6,4661,2460,7,11,ok,,5.946,n-62-11-69,29026879,2026-08-04T15:34:28+0200
02fc9430d4f4f097,auto-1641bdedbff0,odin@93e46da,odin,93e46da,reaver@9713344,reaver,9713344,duel,official,1,0,rating,a,a,1.0,core_destroyed,54,,12,290,13,22,98,0,1,3,ok,,3.512,n-62-11-67,29026879,2026-08-04T15:31:49+0200
02febc13a156f0c9,auto-1641bdedbff0,vigil@60d5afa,vigil,60d5afa,odin@93e46da,odin,93e46da,duel,official,1,0,rating,b,b,0.0,core_destroyed,29,,237,60,3,4,20,110,11,11,ok,,3.146,n-62-29-18,29026879,2026-08-04T15:34:05+0200
03009f55ee483010,auto-1641bdedbff0,odin@93e46da,odin,93e46da,undertow@9713344,undertow,9713344,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,66,,44,270,14,12,116,220,3,6,ok,,4.732,n-62-21-16,29026879,2026-08-04T15:32:08+0200
03013024210dcfea,auto-1641bdedbff0,jonbot@9713344,jonbot,9713344,odin@93e46da,odin,93e46da,duel,official,1,0,rating,b,b,0.0,core_destroyed,24,,238,0,4,0,23,80,12,7,ok,,3.115,n-62-21-16,29026879,2026-08-04T15:30:40+0200
0305ff9cbba67b74,auto-1641bdedbff0,odin@93e46da,odin,93e46da,valkyrie@30d0491,valkyrie,30d0491,longship,official,1,0,rating,a,a,1.0,core_destroyed,72,,18,160,11,9,35,150,6,13,ok,,5.158,n-62-21-99,29026879,2026-08-04T15:34:19+0200
03161d780a310e00,auto-1641bdedbff0,odin@93e46da,odin,93e46da,e_harc@6db8844,e_harc,6db8844,vault,official,1,0,rating,a,a,1.0,core_destroyed,91,,2,210,13,12,25,80,6,3,ok,,4.147,n-62-29-25,29026879,2026-08-04T15:30:41+0200
032bb0b503360b81,auto-1641bdedbff0,odin@93e46da,odin,93e46da,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,aurora,official,1,0,rating,a,a,1.0,core_destroyed,59,,20,130,11,30,55,180,9,16,ok,,4.415,n-62-11-52,29026879,2026-08-04T15:32:44+0200
033e3a7379eb97ae,auto-1641bdedbff0,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,odin@93e46da,odin,93e46da,runestone,official,1,0,rating,b,b,0.0,core_destroyed,53,,112,100,8,17,10,100,10,25,ok,,4.147,n-62-13-8,29026879,2026-08-04T15:30:31+0200
03481550eea52568,auto-1641bdedbff0,odin@93e46da,odin,93e46da,odin@38e1456,odin,38e1456,hive,official,1,0,rating,b,b,0.0,titanium_collected,1000,,12615,11090,8,57,15042,16050,13,161,ok,,12.311,n-62-21-60,29026879,2026-08-04T15:31:03+0200
0363482671b7da4b,auto-1641bdedbff0,odin@38e1456,odin,38e1456,odin@93e46da,odin,93e46da,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,50,,11,130,10,13,3,90,11,8,ok,,4.204,n-62-21-59,29026879,2026-08-04T15:32:31+0200
0382cdcd7ae585a5,auto-1641bdedbff0,e_final@9e77076,e_final,9e77076,odin@93e46da,odin,93e46da,fjord,official,1,0,rating,b,b,0.0,core_destroyed,65,,112,230,5,28,49,330,15,20,ok,,4.244,n-62-29-10,29026879,2026-08-04T15:31:20+0200
038b25cb5712ae07,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vanguard_oracle@75591b7,vanguard_oracle,75591b7,showdown,official,1,0,rating,a,a,1.0,core_destroyed,41,,10,0,11,8,106,0,3,0,ok,,3.25,n-62-12-4,29026879,2026-08-04T15:32:57+0200
03ae70e651bc98d6,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vg_v4@9713344,vg_v4,9713344,aurora,official,1,0,rating,a,a,1.0,core_destroyed,78,,10,410,12,43,118,80,6,12,ok,,4.156,n-62-29-28,29026879,2026-08-04T15:33:48+0200
03b1c5ffda8ad7b4,auto-1641bdedbff0,odin@93e46da,odin,93e46da,warden@3318ffd,warden,3318ffd,longship,official,1,0,rating,a,a,1.0,core_destroyed,126,,15,660,10,42,200,550,6,34,ok,,5.456,n-62-21-104,29026879,2026-08-04T15:34:21+0200
03d4a9a9de816324,auto-1641bdedbff0,odin@93e46da,odin,93e46da,v233_g@9713344,v233_g,9713344,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,73,,35,220,16,8,230,330,6,32,ok,,5.813,n-62-21-103,29026879,2026-08-04T15:33:41+0200
03da713f01ffbb96,auto-1641bdedbff0,odin@93e46da,odin,93e46da,vg_v2@9713344,vg_v2,9713344,hive,official,1,0,rating,a,a,1.0,core_destroyed,87,,80,440,10,44,81,0,5,11,ok,,3.936,n-62-29-13,29026879,2026-08-04T15:34:07+0200
03e1e5dbb1e509bf,auto-1641bdedbff0,odin@93e46da,odin,93e46da,v233_i@902be71,v233_i,902be71,twins,official,1,0,rating,a,a,1.0,core_destroyed,75,,2,260,13,19,94,450,8,13,ok,,5.443,n-62-21-97,29026879,2026-08-04T15:33:49+0200
03f0315bf8ee52f6,auto-1641bdedbff0,odin@93e46da,odin,93e46da,pantheon_puppet@5a92113,pantheon_puppet,5a92113,sweden,official,1,0,rating,a,a,1.0,core_destroyed,126,,10,30,9,13,152,0,4,7,ok,,5.846,n-62-21-94,29026879,2026-08-04T15:31:30+0200
03f5076fe670718c,auto-1641bdedbff0,siege_v2@9713344,siege_v2,9713344,odin@93e46da,odin,93e46da,bridge,official,1,0,rating,b,b,0.0,core_destroyed,52,,228,0,4,3,56,120,10,18,ok,,3.425,n-62-21-104,29026879,2026-08-04T15:32:04+0200
040c4398d5467877,auto-1641bdedbff0,odin@93e46da,odin,93e46da,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,atoll,official,1,0,rating,a,a,1.0,core_destroyed,49,,4,190,9,8,17,190,5,32,ok,,3.872,n-62-21-93,29026879,2026-08-04T15:30:35+0200
040d37b8f2f25532,auto-1641bdedbff0,odin@93e46da,odin,93e46da,aegis@e55aab5,aegis,e55aab5,sprint,official,1,0,rating,a,a,1.0,core_destroyed,53,,10,0,10,2,1,0,7,0,ok,,3.826,n-62-11-66,29026879,2026-08-04T15:30:55+0200
04150dae9ec95884,auto-1641bdedbff0,odin@93e46da,odin,93e46da,e_post2@4a95297,e_post2,4a95297,twins,official,1,0,rating,a,a,1.0,core_destroyed,68,,51,390,13,35,70,0,6,10,ok,,4.247,n-62-29-34,29026879,2026-08-04T15:30:32+0200
041a9c0b0622b75b,auto-1641bdedbff0,odin@93e46da,odin,93e46da,valkyrie_atk2@7227061,valkyrie_atk2,7227061,vase,official,1,0,rating,a,a,1.0,harvesters,1000,,20,0,10,6,656,0,3,3,ok,,7.359,n-62-29-34,29026879,2026-08-04T15:33:00+0200
041e5b05e12708bf,auto-1641bdedbff0,odin@93e46da,odin,93e46da,e_harc@6db8844,e_harc,6db8844,hive,official,1,0,rating,a,a,1.0,core_destroyed,57,,2,120,14,22,80,40,7,13,ok,,3.743,n-62-29-22,29026879,2026-08-04T15:31:35+0200
043aecc85dc93ba3,auto-1641bdedbff0,odin@45aa24a,odin,45aa24a,odin@93e46da,odin,93e46da,duel,official,1,0,rating,b,b,0.0,core_destroyed,65,,320,280,7,6,184,290,7,13,ok,,3.867,n-62-21-66,29026879,2026-08-04T15:30:32+0200
043f67a9a89a9de5,auto-1641bdedbff0,titanium_v1@9713344,titanium_v1,9713344,odin@93e46da,odin,93e46da,string,official,1,0,rating,b,b,0.0,core_destroyed,51,,335,0,1,0,60,230,13,17,ok,,3.328,n-62-21-92,29026879,2026-08-04T15:32:48+0200
0441396e2c8e7096,auto-1641bdedbff0,odin@93e46da,odin,93e46da,aegis@e55aab5,aegis,e55aab5,bridge,official,1,0,rating,a,a,1.0,titanium_collected,1000,,9351,7260,6,19,4778,2470,4,11,ok,,5.246,n-62-31-21,29026879,2026-08-04T15:30:34+0200
04468ed57242e6f9,auto-1641bdedbff0,vigil@e22eda8,vigil,e22eda8,odin@93e46da,odin,93e46da,pinch,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2512,420,3,2,13216,11780,12,37,ok,,7.033,n-62-21-92,29026879,2026-08-04T15:33:58+0200
045dbf824ec78304,auto-1641bdedbff0,vanguard@da3fd8a,vanguard,da3fd8a,odin@93e46da,odin,93e46da,strait,official,1,0,rating,b,b,0.0,core_destroyed,55,,74,250,8,13,3,270,14,28,ok,,4.456,n-62-31-21,29026879,2026-08-04T15:33:21+0200
046812f6dd84de7e,auto-1641bdedbff0,aegis@e55aab5,aegis,e55aab5,odin@93e46da,odin,93e46da,strait,official,1,0,rating,b,b,0.0,core_destroyed,143,,386,860,8,24,581,1270,9,55,ok,,5.128,n-62-11-66,29026879,2026-08-04T15:31:11+0200
049ba5dbb383d3f6,auto-1641bdedbff0,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,odin@93e46da,odin,93e46da,jackpot,official,1,0,rating,b,b,0.0,titanium_collected,1000,,12,4910,4,16,4733,7210,13,31,ok,,32.068,n-62-11-54,29026879,2026-08-04T15:32:59+0200
04a859f045496526,auto-1641bdedbff0,v233_e@9713344,v233_e,9713344,odin@93e46da,odin,93e46da,quarry,official,1,0,rating,b,b,0.0,core_destroyed,69,,24,120,8,8,22,450,13,32,ok,,4.5,n-62-29-8,29026879,2026-08-04T15:33:41+0200
