match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
001dba66bc3e571f,auto-16d553c12836,byggvir@6b5d86e,byggvir,6b5d86e,strategist@2a19238,strategist,2a19238,snowflake,all_official,1,0,rating,a,a,1.0,core_destroyed,71,,44,600,8,33,50,0,5,43,ok,,4.407,n-62-21-2,29053073,2026-08-08T20:11:05+0200
002e16565f55c40d,auto-16d553c12836,spar_mender@7ed1acc,spar_mender,7ed1acc,bil@6b5d86e,bil,6b5d86e,moonrise,all_official,1,0,rating,b,b,0.0,core_destroyed,293,,102,0,10,11,60,300,7,28,ok,,7.297,n-62-28-34,29053072,2026-08-08T20:13:36+0200
0033d6732acad750,auto-16d553c12836,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,byggvir@6b5d86e,byggvir,6b5d86e,vault,all_official,1,0,rating,b,b,0.0,core_destroyed,65,,9,270,11,17,21,340,7,40,ok,,4.84,n-62-21-10,29053073,2026-08-08T20:11:05+0200
003a70c101823db3,auto-16d553c12836,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,byggvir@6b5d86e,byggvir,6b5d86e,saga,all_official,1,0,rating,a,a,1.0,core_destroyed,89,,43,460,6,37,10,460,8,31,ok,,3.824,n-62-29-34,29053073,2026-08-08T20:12:41+0200
004ca4f9ce2e92e2,auto-16d553c12836,loki@832c68a,loki,832c68a,bil@6b5d86e,bil,6b5d86e,crossfire,all_official,1,0,rating,a,a,1.0,core_destroyed,85,,9,150,8,5,10,290,8,13,ok,,3.915,n-62-12-6,29053072,2026-08-08T20:11:10+0200
005a2c6ee7e629c0,auto-16d553c12836,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,byggvir@6b5d86e,byggvir,6b5d86e,nordkap,all_official,1,0,rating,b,b,0.0,core_destroyed,162,,2,380,10,15,16,680,7,23,ok,,5.586,n-62-21-8,29053073,2026-08-08T20:11:29+0200
005f3db3608791d9,auto-16d553c12836,fenrir2@6b39ebb,fenrir2,6b39ebb,hlin@6b5d86e,hlin,6b5d86e,quarry,all_official,1,0,rating,a,a,1.0,core_destroyed,96,,18,440,9,32,19,660,13,29,ok,,5.542,n-62-29-24,29053073,2026-08-08T20:14:07+0200
0062ae12dc2584fd,auto-16d553c12836,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,byggvir@6b5d86e,byggvir,6b5d86e,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,102,,8,230,7,7,8,240,7,13,ok,,5.312,n-62-31-22,29053073,2026-08-08T20:10:22+0200
006cc729ba736ab2,auto-16d553c12836,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,byggvir@6b5d86e,byggvir,6b5d86e,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,71,,37,450,7,22,11,520,8,30,ok,,5.749,n-62-21-71,29053073,2026-08-08T20:09:53+0200
006dc64289570680,auto-16d553c12836,bil@6b5d86e,bil,6b5d86e,hlin@6b5d86e,hlin,6b5d86e,showdown,all_official,1,0,rating,a,a,1.0,core_destroyed,100,,40,660,11,28,115,640,9,20,ok,,5.836,n-62-21-105,29053074,2026-08-08T20:10:37+0200
