rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,6864,5211,8,1645,0.7598,1.318148,229.0,1.318148,-0.105204,-0.430873,0.0,-0.114585,7,-6
2,freyja@6a8a5f7,freyja,6a8a5f7,6864,5179,11,1674,0.7553,1.275852,221.6,1.275852,-0.134759,-0.647041,0.236213,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,6864,5163,10,1691,0.7529,1.264979,219.7,1.264979,-0.131327,-0.682887,0.0,-0.054854,6,-3
4,hlin@6b5d86e,hlin,6b5d86e,6864,5002,6,1856,0.7292,1.149399,199.7,1.149399,-0.241015,0.116229,0.0,-0.026794,5,-1
5,lofn@c8d0165,lofn,c8d0165,6864,4965,6,1893,0.7238,1.107361,192.4,1.107361,-0.361487,0.110303,0.724521,-0.0,1,4
6,bil@6b5d86e,bil,6b5d86e,6864,4901,6,1957,0.7145,1.05864,183.9,1.05864,-0.339598,0.154387,0.0,-0.00237,4,2
7,snotra_h@4437c29,snotra_h,4437c29,6864,4790,7,2067,0.6984,0.975965,169.5,0.975965,-0.164338,-0.501331,0.0,-0.348332,13,-6
8,snotra@34b0ce8,snotra,34b0ce8,6864,4768,5,2091,0.695,0.957423,166.3,0.957423,-0.177731,-0.541348,0.0,-0.378254,15,-7
9,hoenir@5907a3b,hoenir,5907a3b,6864,4744,9,2111,0.6918,0.940891,163.4,0.940891,-0.411229,-0.309008,0.0,-0.281176,8,1
10,vor@c32539f,vor,c32539f,6864,4691,1,2172,0.6835,0.904154,157.1,0.904154,-0.043737,-0.382716,0.0,-0.433921,19,-9
11,gefn@46ac5e6,gefn,46ac5e6,6864,4689,6,2169,0.6836,0.902524,156.8,0.902524,-0.093012,-0.379559,0.0,-0.405695,18,-7
12,fulla@ec5aa19,fulla,ec5aa19,6864,4686,1,2177,0.6828,0.901632,156.6,0.901632,-0.06639,-0.328629,0.0,-0.433921,19,-7
13,vidarr@c9193be,vidarr,c9193be,6864,4625,14,2225,0.6748,0.882719,153.3,0.882719,0.025811,-0.241281,0.0,-0.526942,29,-16
14,bifrost@c70c467,bifrost,c70c467,6864,4624,9,2231,0.6743,0.855243,148.6,0.855243,-0.38472,-0.157896,0.0,-0.328708,12,2
15,forseti@37dc858,forseti,37dc858,6864,4587,8,2269,0.6689,0.836278,145.3,0.836278,-0.035128,-0.771823,0.0,-0.542047,31,-16
16,ostara@832c68a,ostara,832c68a,6864,4580,5,2279,0.6676,0.833072,144.7,0.833072,-0.039673,-0.145244,0.0,-0.395069,17,-1
17,magni@3677a66,magni,3677a66,6864,4584,8,2272,0.6684,0.83141,144.4,0.83141,-0.036624,-0.782329,0.0,-0.542047,31,-14
