match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00040519118dcf78,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,ragnarok_fair@79582fc,ragnarok_fair,79582fc,twins,official,1,0,rating,a,a,1.0,core_destroyed,133,,251,860,7,34,665,860,6,33,ok,,3.555,n-62-12-67,29034398,2026-08-05T22:39:52+0200
0014b320b3b63b40,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,strategist@2e6eca5,strategist,2e6eca5,longship,official,1,0,rating,a,a,1.0,core_destroyed,104,,20,630,6,46,72,430,9,47,ok,,3.471,n-62-21-68,29034398,2026-08-05T22:39:56+0200
00235b729a62726b,auto-1d4e18e0fe7b,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,skadi@aad5f44,skadi,aad5f44,quarry,official,1,0,rating,b,b,0.0,core_destroyed,113,,30,0,3,43,37,680,11,32,ok,,6.497,n-62-21-92,29034398,2026-08-05T22:39:35+0200
004b69b4c5cca21c,auto-1d4e18e0fe7b,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,skadi@aad5f44,skadi,aad5f44,skerry,official,1,0,rating,b,b,0.0,core_destroyed,97,,274,670,3,17,28,640,8,22,ok,,4.055,n-62-21-23,29034398,2026-08-05T22:40:08+0200
0072980f770c4361,auto-1d4e18e0fe7b,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,skadi@aad5f44,skadi,aad5f44,bridge,official,1,0,rating,b,b,0.0,core_destroyed,130,,463,0,2,7,438,870,7,29,ok,,3.513,n-62-21-97,29034398,2026-08-05T22:40:58+0200
007abf7815384c96,auto-1d4e18e0fe7b,prospect@bf9b3e3,prospect,bf9b3e3,skadi@aad5f44,skadi,aad5f44,sprint,official,1,0,rating,b,b,0.0,core_destroyed,365,,10,10,6,4,9,10,5,11,ok,,3.315,n-62-13-7,29034398,2026-08-05T22:40:06+0200
0085b95fa8163d46,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,runestone,official,1,0,rating,b,b,0.0,core_destroyed,293,,2,1370,7,28,58,2050,9,21,ok,,6.575,n-62-11-61,29034398,2026-08-05T22:42:03+0200
00a09d9464a35e8e,auto-1d4e18e0fe7b,e_final@9e77076,e_final,9e77076,skadi@aad5f44,skadi,aad5f44,sprint,official,1,0,rating,b,b,0.0,core_destroyed,185,,59,0,5,7,8,440,7,15,ok,,4.281,n-62-21-104,29034398,2026-08-05T22:38:53+0200
00c82a447a2e24eb,auto-1d4e18e0fe7b,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,skadi@aad5f44,skadi,aad5f44,strait,official,1,0,rating,b,b,0.0,core_destroyed,112,,311,0,4,3,32,820,6,60,ok,,3.497,n-62-28-28,29034398,2026-08-05T22:41:57+0200
00ec4f9f5f672c1e,auto-1d4e18e0fe7b,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,skadi@aad5f44,skadi,aad5f44,string,official,1,0,rating,a,a,1.0,core_destroyed,116,,70,280,3,4,24,280,8,6,ok,,4.218,n-62-21-60,29034398,2026-08-05T22:41:31+0200
00fb9e0edcff48e6,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,sweden,official,1,0,rating,a,a,1.0,titanium_collected,1000,,1412,9040,14,19,70,690,8,5,ok,,55.073,n-62-21-24,29034398,2026-08-05T22:39:58+0200
01003bd84101bd02,auto-1d4e18e0fe7b,heimdall@840a180,heimdall,840a180,skadi@aad5f44,skadi,aad5f44,showdown,official,1,0,rating,b,b,0.0,core_destroyed,289,,10,0,4,2,9,0,7,8,ok,,3.951,n-62-29-13,29034398,2026-08-05T22:40:47+0200
011378a8b6fdf783,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,runestone,official,1,0,rating,a,a,1.0,core_destroyed,280,,30,1310,9,42,548,1900,15,25,ok,,7.626,n-62-11-67,29034398,2026-08-05T22:41:19+0200
012fe461ae822159,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,e_condc@6db8844,e_condc,6db8844,quarry,official,1,0,rating,a,a,1.0,core_destroyed,172,,20,1670,9,52,75,460,3,46,ok,,4.465,n-62-21-98,29034398,2026-08-05T22:39:49+0200
014771d2535822cf,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,gobbleglitch@6cdc440,gobbleglitch,6cdc440,aurora,official,1,0,rating,a,a,1.0,core_destroyed,498,,63,5080,27,55,752,2020,4,8,ok,,34.07,n-62-28-31,29034398,2026-08-05T22:39:29+0200
01628b6437eb1549,auto-1d4e18e0fe7b,e9cand@9e77076,e9cand,9e77076,skadi@aad5f44,skadi,aad5f44,twins,official,1,0,rating,b,b,0.0,core_destroyed,190,,70,380,10,26,308,1760,9,72,ok,,5.421,n-62-31-11,29034398,2026-08-05T22:39:10+0200
01654d3e8373266e,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,e_post2@4a95297,e_post2,4a95297,twins,official,1,0,rating,a,a,1.0,core_destroyed,125,,72,830,9,27,63,0,8,15,ok,,4.693,n-62-28-35,29034398,2026-08-05T22:40:11+0200
016e7181ad8c5dad,auto-1d4e18e0fe7b,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,skadi@aad5f44,skadi,aad5f44,quarry,official,1,0,rating,b,b,0.0,core_destroyed,94,,60,0,5,5,20,630,9,37,ok,,4.122,n-62-11-63,29034398,2026-08-05T22:41:40+0200
0174704a0c073c25,auto-1d4e18e0fe7b,prospect@bf9b3e3,prospect,bf9b3e3,skadi@aad5f44,skadi,aad5f44,pinch,official,1,0,rating,a,a,1.0,core_destroyed,237,,45,2040,8,43,73,570,5,15,ok,,7.021,n-62-13-7,29034398,2026-08-05T22:39:27+0200
01893ce1e1befddb,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,longship,official,1,0,rating,a,a,1.0,core_destroyed,138,,46,1010,10,47,28,0,1,56,ok,,7.7,n-62-21-92,29034398,2026-08-05T22:39:02+0200
018d0bcebd67a3e5,auto-1d4e18e0fe7b,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,skadi@aad5f44,skadi,aad5f44,twins,official,1,0,rating,b,b,0.0,core_destroyed,108,,547,290,4,10,65,870,7,47,ok,,3.384,n-62-11-50,29034398,2026-08-05T22:40:01+0200
0194e9c3bf95008f,auto-1d4e18e0fe7b,skadi@aad5f44,skadi,aad5f44,e_harc@6db8844,e_harc,6db8844,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,205,,10,2170,12,36,141,550,5,9,ok,,6.889,n-62-21-99,29034398,2026-08-05T22:38:50+0200
019b15d42ee90727,auto-1d4e18e0fe7b,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,skadi@aad5f44,skadi,aad5f44,quarry,official,1,0,rating,b,b,0.0,core_destroyed,131,,135,110,2,7,56,1000,10,43,ok,,4.45,n-62-29-10,29034398,2026-08-05T22:41:33+0200
