rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,skadi@821d792,skadi,821d792,6132,4707,31,1394,0.7701,1.379843,239.7,1.379843,0.466337,-0.309827,0.0,-0.117616,12,-11
2,skadi@aad5f44,skadi,aad5f44,6132,4698,34,1400,0.7689,1.373435,238.6,1.373435,0.410946,-0.346516,0.057163,-0.0,1,1
3,skadi@1e4eddf,skadi,1e4eddf,6132,4653,18,1461,0.7603,1.286308,223.5,1.286308,0.584285,-0.47481,0.0,-0.020132,8,-5
4,vidar@8b87da5,vidar,8b87da5,6132,4606,17,1509,0.7525,1.272711,221.1,1.272711,0.640945,-0.428202,0.0,-0.102056,10,-6
5,spar_econ@aad5f44,spar_econ,aad5f44,6093,4473,18,1602,0.7356,1.264201,219.6,1.264201,0.258081,0.171953,0.0,-0.030635,9,-4
6,vidar_r2@c8b850e,vidar_r2,c8b850e,6132,4616,18,1498,0.7542,1.262449,219.3,1.262449,0.711875,-0.503231,0.066855,0.0,1,5
7,vidar_r3@c8b850e,vidar_r3,c8b850e,6132,4615,18,1499,0.7541,1.260771,219.0,1.260771,0.72121,-0.508997,0.066855,0.0,1,6
8,vidar@561800a,vidar,561800a,6132,4575,18,1539,0.7476,1.235943,214.7,1.235943,0.642048,-0.369748,0.0,-0.160766,14,-6
9,vidar@ee47958,vidar,ee47958,6132,4574,18,1540,0.7474,1.235281,214.6,1.235281,0.644862,-0.369463,0.0,-0.160766,14,-5
10,vidar_r1@c8b850e,vidar_r1,c8b850e,6132,4570,18,1544,0.7467,1.228352,213.4,1.228352,0.674134,-0.385784,0.0,-0.160766,14,-4
11,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6132,4319,12,1801,0.7053,0.970175,168.5,0.970175,0.448612,-0.53194,0.302206,-0.0,1,10
12,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6132,4318,12,1802,0.7052,0.967946,168.1,0.967946,0.456785,-0.538033,0.302206,-0.0,1,11
13,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6132,4232,10,1890,0.691,0.949759,165.0,0.949759,0.40481,-0.212392,0.0,-0.371326,38,-25
14,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6132,4189,14,1929,0.6843,0.915316,159.0,0.915316,0.301139,-0.31891,0.0,-0.44012,43,-29
15,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6132,4220,12,1900,0.6892,0.905549,157.3,0.905549,0.454492,-0.382068,0.0,-0.198326,18,-3
16,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6132,4165,14,1953,0.6804,0.894562,155.4,0.894562,0.36888,-0.45317,0.0,-0.631311,55,-39
17,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,6132,4165,19,1948,0.6808,0.876261,152.2,0.876261,0.47645,-0.337445,0.0,-0.220359,21,-4
