match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
001064f29fae8d17,auto-1ec346b08523,hlin@6b5d86e,hlin,6b5d86e,nott@d804023,nott,d804023,vase,all_official,1,0,rating,b,b,0.0,core_destroyed,377,,79,0,5,0,110,900,10,13,ok,,9.41,n-62-11-57,29053877,2026-08-09T09:34:33+0200
0018aeb6ac26a1ad,auto-1ec346b08523,nott@d804023,nott,d804023,gobbleglitch@6cdc440,gobbleglitch,6cdc440,skerry,all_official,1,0,rating,a,a,1.0,core_destroyed,75,,10,340,9,14,57,0,7,9,ok,,3.199,n-62-29-18,29053877,2026-08-09T09:34:32+0200
0033195494d0a054,auto-1ec346b08523,byggvir@55df097,byggvir,55df097,nott@d804023,nott,d804023,fjord,all_official,1,0,rating,b,b,0.0,core_destroyed,45,,20,270,9,19,6,270,8,18,ok,,3.467,n-62-29-31,29053877,2026-08-09T09:33:34+0200
005ce8a7feaf241d,auto-1ec346b08523,nott@d804023,nott,d804023,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,heart,all_official,1,0,rating,a,a,1.0,core_destroyed,108,,20,200,8,21,361,0,4,9,ok,,3.328,n-62-28-31,29053877,2026-08-09T09:35:10+0200
00633ba959948b4d,auto-1ec346b08523,hoenir@5907a3b,hoenir,5907a3b,nott@d804023,nott,d804023,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,54,,18,260,7,19,9,330,7,19,ok,,2.926,n-62-12-7,29053877,2026-08-09T09:34:37+0200
0098bdda06c1a84c,auto-1ec346b08523,ran@0eca95f,ran,0eca95f,nott@d804023,nott,d804023,antler,all_official,1,0,rating,b,b,0.0,core_destroyed,114,,8,610,7,17,18,530,7,13,ok,,3.185,n-62-29-13,29053877,2026-08-09T09:36:12+0200
01049290719899a4,auto-1ec346b08523,mani@11aec08,mani,11aec08,nott@d804023,nott,d804023,string,all_official,1,0,rating,b,b,0.0,core_destroyed,361,,68,50,6,2,71,890,11,10,ok,,7.094,n-62-21-97,29053877,2026-08-09T09:36:04+0200
0108f4396668bd4a,auto-1ec346b08523,hodr@ea88247,hodr,ea88247,nott@d804023,nott,d804023,sprint,all_official,1,0,rating,a,a,1.0,core_destroyed,389,,9,30,6,7,10,90,8,3,ok,,5.506,n-62-21-89,29053877,2026-08-09T09:35:02+0200
0114e28f1338b57a,auto-1ec346b08523,nott@d804023,nott,d804023,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,string,all_official,1,0,rating,b,b,0.0,core_destroyed,95,,10,40,9,4,77,0,4,3,ok,,3.091,n-62-12-6,29053877,2026-08-09T09:33:17+0200
0126557fa28764bd,auto-1ec346b08523,nott@d804023,nott,d804023,gefn@60ae5f1,gefn,60ae5f1,vault,all_official,1,0,rating,b,b,0.0,core_destroyed,146,,4,670,9,12,8,460,8,13,ok,,4.226,n-62-29-34,29053877,2026-08-09T09:34:32+0200
014ab6c7b6b72deb,auto-1ec346b08523,nott@d804023,nott,d804023,idun@11e47ca,idun,11e47ca,fjordgate,all_official,1,0,rating,a,a,1.0,core_destroyed,682,,8,30,6,5,10,40,5,7,ok,,5.785,n-62-31-24,29053877,2026-08-09T09:34:53+0200
01606687bb50819e,auto-1ec346b08523,nott@d804023,nott,d804023,sif@3fc5cd8,sif,3fc5cd8,pinch,all_official,1,0,rating,b,b,0.0,core_destroyed,120,,16,470,10,9,19,530,7,34,ok,,3.941,n-62-29-9,29053877,2026-08-09T09:36:22+0200
017656fe9328e7d7,auto-1ec346b08523,loki@9ac8974,loki,9ac8974,nott@d804023,nott,d804023,sprint,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,38,150,7,5,20,40,5,8,ok,,7.082,n-62-11-68,29053877,2026-08-09T09:35:39+0200
0183d2b3f2085135,auto-1ec346b08523,hlin@6b5d86e,hlin,6b5d86e,nott@d804023,nott,d804023,showdown,all_official,1,0,rating,b,b,0.0,core_destroyed,497,,10,310,7,12,9,140,6,14,ok,,5.062,n-62-31-16,29053877,2026-08-09T09:34:45+0200
0187437f410adbcb,auto-1ec346b08523,nott@d804023,nott,d804023,freyr@c2c0d3d,freyr,c2c0d3d,twins,all_official,1,0,rating,a,a,1.0,core_destroyed,437,,9,1070,10,8,9,1050,8,6,ok,,7.791,n-62-11-67,29053877,2026-08-09T09:34:02+0200
01a1761ea57ce6d5,auto-1ec346b08523,mistral@90fc9f3,mistral,90fc9f3,nott@d804023,nott,d804023,bridge,all_official,1,0,rating,b,b,0.0,core_destroyed,221,,774,0,0,0,10,0,7,8,ok,,3.432,n-62-29-29,29053877,2026-08-09T09:35:45+0200
01af27dc364e52d4,auto-1ec346b08523,nott@d804023,nott,d804023,audhumla@a7faecd,audhumla,a7faecd,longship,all_official,1,0,rating,a,a,1.0,core_destroyed,87,,20,370,8,18,72,540,10,32,ok,,3.653,n-62-11-61,29053877,2026-08-09T09:34:05+0200
01bb7a2e09818c7e,auto-1ec346b08523,nott@d804023,nott,d804023,mimir@cfc1ec4,mimir,cfc1ec4,antler,all_official,1,0,rating,b,b,0.0,core_destroyed,62,,24,340,5,14,17,270,7,14,ok,,2.913,n-62-29-21,29053877,2026-08-09T09:36:17+0200
01c5adf17d944c64,auto-1ec346b08523,nott@d804023,nott,d804023,loki@832c68a,loki,832c68a,saga,all_official,1,0,rating,b,b,0.0,core_destroyed,76,,16,240,10,24,29,270,7,27,ok,,4.469,n-62-30-25,29053877,2026-08-09T09:35:10+0200
01f9b4cce537a902,auto-1ec346b08523,freyja@6a8a5f7,freyja,6a8a5f7,nott@d804023,nott,d804023,lighthouse,all_official,1,0,rating,a,a,1.0,core_destroyed,409,,10,90,6,4,10,200,8,7,ok,,3.738,n-62-13-6,29053877,2026-08-09T09:33:31+0200
02030ec9d3caaaac,auto-1ec346b08523,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,nott@d804023,nott,d804023,saga,all_official,1,0,rating,b,b,0.0,core_destroyed,143,,60,70,6,13,9,350,8,30,ok,,3.724,n-62-28-29,29053877,2026-08-09T09:35:34+0200
020384589424f8f7,auto-1ec346b08523,nott@d804023,nott,d804023,bragi@db77268,bragi,db77268,jackpot,all_official,1,0,rating,b,b,0.0,core_destroyed,566,,45,2770,15,19,121,2730,20,16,ok,,25.933,n-62-29-8,29053877,2026-08-09T09:34:11+0200
0220cb3e9a251e00,auto-1ec346b08523,nott@d804023,nott,d804023,hlin@6b5d86e,hlin,6b5d86e,sweden,all_official,1,0,rating,a,a,1.0,core_destroyed,314,,60,750,8,17,80,100,9,18,ok,,7.31,n-62-11-50,29053877,2026-08-09T09:35:09+0200
0236cd6574daecdb,auto-1ec346b08523,nott@d804023,nott,d804023,odin@93e46da,odin,93e46da,strait,all_official,1,0,rating,a,a,1.0,core_destroyed,145,,6,910,12,21,10,340,7,19,ok,,4.162,n-62-31-9,29053877,2026-08-09T09:36:15+0200
025c2c0d73c887e8,auto-1ec346b08523,nott@d804023,nott,d804023,loki@9ac8974,loki,9ac8974,eider,all_official,1,0,rating,a,a,1.0,core_destroyed,149,,59,1150,9,19,12,770,6,14,ok,,5.057,n-62-31-14,29053877,2026-08-09T09:35:05+0200
0289672312f0b6ff,auto-1ec346b08523,nott@d804023,nott,d804023,eir@5d43b95,eir,5d43b95,quarry,all_official,1,0,rating,a,a,1.0,core_destroyed,200,,56,1090,9,33,12,190,9,4,ok,,6.113,n-62-21-6,29053877,2026-08-09T09:34:01+0200
028ba5c2bf1f9e2b,auto-1ec346b08523,bragi@db77268,bragi,db77268,nott@d804023,nott,d804023,aurora,all_official,1,0,rating,b,b,0.0,core_destroyed,101,,8,490,8,16,8,610,9,21,ok,,3.435,n-62-29-26,29053877,2026-08-09T09:33:57+0200
02acbddb2a63f72d,auto-1ec346b08523,nott@d804023,nott,d804023,loki@9ac8974,loki,9ac8974,quarry,all_official,1,0,rating,a,a,1.0,core_destroyed,191,,24,1000,9,34,10,190,9,4,ok,,4.854,n-62-31-8,29053877,2026-08-09T09:35:32+0200
02b1c55b14c3cde3,auto-1ec346b08523,lofn@c8d0165,lofn,c8d0165,nott@d804023,nott,d804023,vault,all_official,1,0,rating,a,a,1.0,core_destroyed,100,,16,450,9,16,14,450,11,9,ok,,4.679,n-62-29-9,29053877,2026-08-09T09:35:59+0200
02cb6dbc9dde2c02,auto-1ec346b08523,nott@d804023,nott,d804023,bil@6b5d86e,bil,6b5d86e,archipelago,all_official,1,0,rating,b,b,0.0,core_destroyed,82,,103,770,9,31,41,660,11,24,ok,,4.916,n-62-29-21,29053877,2026-08-09T09:33:45+0200
02cff2ee6d52c935,auto-1ec346b08523,gefn@46ac5e6,gefn,46ac5e6,nott@d804023,nott,d804023,crossfire,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,17,190,7,5,17,140,9,5,ok,,7.649,n-62-29-21,29053877,2026-08-09T09:35:19+0200
02d23de8a191fd89,auto-1ec346b08523,janus@8a1e7a1,janus,8a1e7a1,nott@d804023,nott,d804023,strait,all_official,1,0,rating,b,b,0.0,core_destroyed,118,,8,50,5,7,10,510,8,15,ok,,4.171,n-62-11-63,29053877,2026-08-09T09:35:09+0200
02d5639304d5fb2f,auto-1ec346b08523,nott@d804023,nott,d804023,hodr@ea88247,hodr,ea88247,sprint,all_official,1,0,rating,b,b,0.0,titanium_collected,1000,,16,20,7,7,16,60,4,4,ok,,6.997,n-62-21-89,29053877,2026-08-09T09:34:57+0200
02f8932bfe4a5c8c,auto-1ec346b08523,nott@d804023,nott,d804023,gefn@60ae5f1,gefn,60ae5f1,saga,all_official,1,0,rating,b,b,0.0,core_destroyed,99,,11,300,10,22,7,350,8,24,ok,,4.588,n-62-29-29,29053877,2026-08-09T09:34:26+0200
030181e00f56fd45,auto-1ec346b08523,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,nott@d804023,nott,d804023,fjordgate,all_official,1,0,rating,b,b,0.0,titanium_collected,1000,,66,0,7,5,20,20,7,6,ok,,6.732,n-62-28-31,29053877,2026-08-09T09:35:07+0200
03183872180e1b67,auto-1ec346b08523,nott@d804023,nott,d804023,maporacle@38e1456,maporacle,38e1456,lighthouse,all_official,1,0,rating,a,a,1.0,core_destroyed,108,,18,470,8,11,20,110,7,0,ok,,4.609,n-62-28-34,29053877,2026-08-09T09:35:19+0200
