rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7854,5776,10,2068,0.7361,1.192077,207.1,1.192077,0.090755,0.413298,0.0,-0.114585,12,-11
2,freyja@6a8a5f7,freyja,6a8a5f7,7854,5757,20,2077,0.7343,1.161444,201.8,1.161444,0.138498,0.635678,0.236213,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7854,5728,19,2107,0.7305,1.145022,198.9,1.145022,0.12985,0.66154,0.0,-0.054854,10,-7
4,hlin@6b5d86e,hlin,6b5d86e,7854,5563,6,2285,0.7087,1.039356,180.6,1.039356,0.258017,-0.117195,0.0,-0.026794,7,-3
5,frigg@55df097,frigg,55df097,7854,5563,6,2285,0.7087,1.036811,180.1,1.036811,0.264526,-0.091256,0.0,-0.026794,7,-2
6,gefn@60ae5f1,gefn,60ae5f1,7854,5478,5,2371,0.6978,1.014027,176.2,1.014027,-0.053968,0.054929,0.0,-0.018348,6,0
7,lofn@c8d0165,lofn,c8d0165,7854,5535,6,2313,0.7051,1.007015,174.9,1.007015,0.375896,-0.132209,0.724521,-0.0,1,6
8,syn@5bf798e,syn,5bf798e,7854,5475,6,2373,0.6975,1.003056,174.2,1.003056,-0.009915,0.154421,0.0,-0.001455,4,4
9,nanna@55df097,nanna,55df097,7854,5489,6,2359,0.6993,0.97701,169.7,0.97701,0.362252,-0.114661,0.0,-0.026794,7,2
10,bil@6b5d86e,bil,6b5d86e,7854,5473,6,2375,0.6972,0.965414,167.7,0.965414,0.359168,-0.178062,0.0,-0.00237,5,5
11,snotra_h@4437c29,snotra_h,4437c29,7854,5310,8,2536,0.6766,0.867053,150.6,0.867053,0.180239,0.48831,0.0,-0.348332,21,-10
12,eir@5d43b95,eir,5d43b95,7854,5313,8,2533,0.677,0.862024,149.7,0.862024,0.245746,0.494258,0.0,-0.345896,20,-8
13,bragi@db77268,bragi,db77268,7854,5303,8,2543,0.6757,0.860257,149.4,0.860257,0.155761,0.412645,0.0,-0.274726,13,0
14,snotra@34b0ce8,snotra,34b0ce8,7854,5276,5,2573,0.6721,0.844531,146.7,0.844531,0.188313,0.529356,0.0,-0.378254,24,-10
15,hoenir@5907a3b,hoenir,5907a3b,7854,5235,12,2607,0.6673,0.822001,142.8,0.822001,0.419451,0.294659,0.0,-0.281176,14,1
16,gefn@46ac5e6,gefn,46ac5e6,7854,5179,6,2669,0.6598,0.78728,136.8,0.78728,0.091911,0.377408,0.0,-0.405695,28,-12
17,vor@c32539f,vor,c32539f,7854,5176,1,2677,0.6591,0.786127,136.6,0.786127,0.049276,0.384925,0.0,-0.433921,30,-13
18,fulla@ec5aa19,fulla,ec5aa19,7854,5174,1,2679,0.6588,0.785499,136.5,0.785499,0.065692,0.329665,0.0,-0.433921,30,-12
19,nott@d804023,nott,d804023,7854,5151,14,2689,0.6567,0.772442,134.2,0.772442,0.358443,0.278822,0.0,-0.477653,34,-15
20,ran@0eca95f,ran,0eca95f,7854,5084,15,2755,0.6483,0.763763,132.7,0.763763,-0.06153,0.175003,0.0,-0.526942,41,-21
21,vidarr@c9193be,vidarr,c9193be,7854,5088,15,2751,0.6488,0.756239,131.4,0.756239,-0.002436,0.242126,0.0,-0.526942,41,-20
22,bifrost@c70c467,bifrost,c70c467,7854,5122,12,2720,0.6529,0.750595,130.4,0.750595,0.395332,0.144494,0.0,-0.328707,19,3
23,mani@11aec08,mani,11aec08,7854,5125,11,2718,0.6532,0.748463,130.0,0.748463,0.298076,-0.12504,0.0,-0.105436,11,12
24,forseti@37dc858,forseti,37dc858,7854,5060,8,2786,0.6448,0.720568,125.2,0.720568,0.034893,0.753114,0.0,-0.542047,44,-20
25,magni@3677a66,magni,3677a66,7854,5056,8,2790,0.6443,0.715739,124.3,0.715739,0.042782,0.763424,0.0,-0.542047,44,-19
26,ostara@832c68a,ostara,832c68a,7854,5049,5,2800,0.6432,0.715731,124.3,0.715731,0.05234,0.132856,0.0,-0.395069,27,-1
27,hodr@ea88247,hodr,ea88247,7854,5054,8,2792,0.644,0.713249,123.9,0.713249,0.055577,0.777739,0.0,-0.542047,44,-17
28,spork@05ab6a2,spork,05ab6a2,7854,4990,5,2859,0.6357,0.679547,118.0,0.679547,0.043118,0.072358,0.0,-0.363276,22,6
29,saga@db77268,saga,db77268,7854,4976,9,2869,0.6341,0.675931,117.4,0.675931,0.018903,0.089594,0.0,-0.370686,23,6
30,loki@832c68a,loki,832c68a,7854,4951,1,2902,0.6304,0.655853,113.9,0.655853,0.02134,0.21887,0.0,-0.45847,33,-3
31,mimir@cfc1ec4,mimir,cfc1ec4,7854,4956,8,2890,0.6315,0.646059,112.2,0.646059,0.137446,0.620185,0.0,-0.551748,48,-17
32,steward_relent@7ed1acc,steward_relent,7ed1acc,7854,4938,22,2894,0.6301,0.637301,110.7,0.637301,0.106385,0.416618,0.0,-0.495004,36,-4
