match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00045f4b2b534335,auto-1f8af6dcd555,strategist@2e6eca5,strategist,2e6eca5,syn@5bf798e,syn,5bf798e,skerry,all_official,1,0,rating,b,b,0.0,core_destroyed,199,,652,1400,14,25,69,1590,8,37,ok,,5.567,n-62-12-64,29053154,2026-08-08T21:11:32+0200
00090706151e4977,auto-1f8af6dcd555,syn@5bf798e,syn,5bf798e,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,string,all_official,1,0,rating,b,b,0.0,core_destroyed,504,,108,40,6,2,26,1250,10,4,ok,,12.541,n-62-31-13,29053154,2026-08-08T21:10:33+0200
0013f48eea132c20,auto-1f8af6dcd555,gefn@46ac5e6,gefn,46ac5e6,byggvir@5bf798e,byggvir,5bf798e,fjord,all_official,1,0,rating,a,a,1.0,core_destroyed,69,,32,410,5,20,44,430,9,20,ok,,5.812,n-62-12-2,29053153,2026-08-08T21:10:35+0200
0023c04b033c4310,auto-1f8af6dcd555,ragnarok_fair@79582fc,ragnarok_fair,79582fc,syn@5bf798e,syn,5bf798e,string,all_official,1,0,rating,b,b,0.0,core_destroyed,220,,27,530,6,12,163,1380,9,11,ok,,9.488,n-62-21-65,29053154,2026-08-08T21:09:57+0200
0029ab32c962fc10,auto-1f8af6dcd555,forseti@37dc858,forseti,37dc858,byggvir@5bf798e,byggvir,5bf798e,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,71,,37,450,7,22,11,520,8,30,ok,,3.97,n-62-12-1,29053153,2026-08-08T21:09:36+0200
0034ae677284d47d,auto-1f8af6dcd555,odin@93e46da,odin,93e46da,byggvir@5bf798e,byggvir,5bf798e,string,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,6774,5080,6,12,4380,4610,11,14,ok,,24.428,n-62-29-16,29053153,2026-08-08T21:12:29+0200
0045507d9bd1f522,auto-1f8af6dcd555,syn@5bf798e,syn,5bf798e,skadi@821d792,skadi,821d792,vault,all_official,1,0,rating,a,a,1.0,core_destroyed,108,,27,510,7,27,18,490,9,10,ok,,6.664,n-62-21-79,29053154,2026-08-08T21:10:33+0200
004f862cb82eabf3,auto-1f8af6dcd555,loki@832c68a,loki,832c68a,byggvir@5bf798e,byggvir,5bf798e,antler,all_official,1,0,rating,b,b,0.0,core_destroyed,185,,12,520,8,6,23,890,6,22,ok,,5.196,n-62-11-60,29053153,2026-08-08T21:12:21+0200
00771dfc519a4556,auto-1f8af6dcd555,byggvir@5bf798e,byggvir,5bf798e,snotra_h@4437c29,snotra_h,4437c29,quarry,all_official,1,0,rating,b,b,0.0,core_destroyed,81,,24,570,8,46,8,160,9,7,ok,,10.953,n-62-28-35,29053153,2026-08-08T21:12:45+0200
0087ae98d3bfdecc,auto-1f8af6dcd555,mjolnir@2e6c876,mjolnir,2e6c876,byggvir@5bf798e,byggvir,5bf798e,heart,all_official,1,0,rating,a,a,1.0,core_destroyed,137,,10,20,7,20,14,40,6,21,ok,,4.043,n-62-29-26,29053153,2026-08-08T21:12:07+0200
00885e8a7a87be69,auto-1f8af6dcd555,byggvir@5bf798e,byggvir,5bf798e,freyja@6a8a5f7,freyja,6a8a5f7,bridge,all_official,1,0,rating,b,b,0.0,core_destroyed,222,,55,520,9,12,155,1530,16,18,ok,,9.749,n-62-12-4,29053153,2026-08-08T21:09:49+0200
00906009cba4776e,auto-1f8af6dcd555,skadi@821d792,skadi,821d792,syn@5bf798e,syn,5bf798e,quarry,all_official,1,0,rating,b,b,0.0,core_destroyed,144,,10,420,6,25,29,1240,12,36,ok,,5.192,n-62-21-105,29053154,2026-08-08T21:09:42+0200
00b0398391b6a870,auto-1f8af6dcd555,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,syn@5bf798e,syn,5bf798e,twins,all_official,1,0,rating,a,a,1.0,core_destroyed,77,,8,170,9,9,1,250,7,18,ok,,4.814,n-62-11-68,29053154,2026-08-08T21:11:52+0200
00bf35591c63250c,auto-1f8af6dcd555,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,syn@5bf798e,syn,5bf798e,vase,all_official,1,0,rating,b,b,0.0,core_destroyed,296,,130,0,3,4,20,700,13,14,ok,,8.472,n-62-31-9,29053154,2026-08-08T21:11:44+0200
00c251c17c057273,auto-1f8af6dcd555,ragnarok_fair@79582fc,ragnarok_fair,79582fc,syn@5bf798e,syn,5bf798e,vault,all_official,1,0,rating,b,b,0.0,core_destroyed,205,,2,510,10,20,20,650,7,24,ok,,5.421,n-62-21-66,29053154,2026-08-08T21:09:42+0200
00c64d3250d012c8,auto-1f8af6dcd555,syn@5bf798e,syn,5bf798e,tyr@2e6c876,tyr,2e6c876,skerry,all_official,1,0,rating,a,a,1.0,core_destroyed,94,,69,620,8,26,18,420,10,27,ok,,5.509,n-62-28-34,29053154,2026-08-08T21:12:25+0200
00d165b9862f764b,auto-1f8af6dcd555,byggvir@5bf798e,byggvir,5bf798e,forseti@37dc858,forseti,37dc858,quarry,all_official,1,0,rating,b,b,0.0,core_destroyed,62,,64,390,7,42,16,260,9,22,ok,,4.156,n-62-12-5,29053153,2026-08-08T21:09:24+0200
00e11db69178d645,auto-1f8af6dcd555,odin@38e1456,odin,38e1456,byggvir@5bf798e,byggvir,5bf798e,runestone,all_official,1,0,rating,a,a,1.0,core_destroyed,61,,7,160,7,24,113,350,6,44,ok,,5.084,n-62-11-61,29053153,2026-08-08T21:11:55+0200
00e2770e03a5742a,auto-1f8af6dcd555,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,syn@5bf798e,syn,5bf798e,atoll,all_official,1,0,rating,b,b,0.0,core_destroyed,129,,59,610,7,8,18,610,8,24,ok,,5.521,n-62-29-29,29053154,2026-08-08T21:12:10+0200
010b293bec01b2fd,auto-1f8af6dcd555,byggvir@5bf798e,byggvir,5bf798e,skadi@aad5f44,skadi,aad5f44,fjordgate,all_official,1,0,rating,b,b,0.0,core_destroyed,90,,10,0,5,2,6,210,7,4,ok,,3.315,n-62-29-27,29053153,2026-08-08T21:12:59+0200
013a6b3e2be645cf,auto-1f8af6dcd555,byggvir@5bf798e,byggvir,5bf798e,hoenir@5907a3b,hoenir,5907a3b,vault,all_official,1,0,rating,b,b,0.0,core_destroyed,53,,171,230,7,27,10,220,9,19,ok,,5.448,n-62-21-56,29053153,2026-08-08T21:10:21+0200
