match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
002011933f2d9d6f,auto-27bf2346d596,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,longship,official,1,0,rating,b,b,0.0,core_destroyed,39,,14,70,9,9,33,0,11,4,ok,,3.655,n-62-12-7,29003474,2026-08-02T01:10:50+0200
005e374616dfd615,auto-27bf2346d596,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,vg_v7@9713344,vg_v7,9713344,pinch,official,1,0,rating,a,a,1.0,core_destroyed,97,,60,220,17,11,99,0,2,2,ok,,4.597,n-62-11-63,29003474,2026-08-02T01:14:35+0200
00606f425fd36878,auto-27bf2346d596,jonbot@da3fd8a,jonbot,da3fd8a,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,49,,58,0,7,10,43,110,10,5,ok,,3.549,n-62-30-23,29003474,2026-08-02T01:10:39+0200
0089e7e069b2e2dc,auto-27bf2346d596,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,bridge,official,1,0,rating,a,a,1.0,core_destroyed,112,,80,180,13,14,115,0,2,5,ok,,4.584,n-62-13-6,29003474,2026-08-02T01:10:11+0200
00a2debae8ae74ea,auto-27bf2346d596,e_t4l7@9e77076,e_t4l7,9e77076,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,sprint,official,1,0,rating,b,b,0.0,core_destroyed,65,,76,150,6,9,70,350,12,16,ok,,3.486,n-62-29-29,29003474,2026-08-02T01:11:39+0200
00d236cb606cba2c,auto-27bf2346d596,opponent_luc@e83a42c,opponent_luc,e83a42c,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,vault,official,1,0,rating,b,b,0.0,core_destroyed,45,,254,190,10,6,34,180,12,14,ok,,6.642,n-62-11-52,29003474,2026-08-02T01:11:09+0200
00d8e5dd2fc0adbb,auto-27bf2346d596,vg_v2@9713344,vg_v2,9713344,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,string,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2840,0,4,2,5647,9750,46,16,ok,,35.923,n-62-31-4,29003474,2026-08-02T01:13:18+0200
00ffb433a3842cad,auto-27bf2346d596,luc_1@604349b,luc_1,604349b,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,atoll,official,1,0,rating,b,b,0.0,core_destroyed,44,,65,90,10,4,43,100,13,7,ok,,6.283,n-62-31-14,29003474,2026-08-02T01:10:08+0200
0146f6bba073adf9,auto-27bf2346d596,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,e_condc@6db8844,e_condc,6db8844,sprint,official,1,0,rating,a,a,1.0,core_destroyed,333,,60,0,23,4,391,0,4,8,ok,,7.228,n-62-28-28,29003474,2026-08-02T01:11:12+0200
0165b807c030d290,auto-27bf2346d596,autistimusprime@ecd4d24,autistimusprime,ecd4d24,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,aurora,official,1,0,rating,b,b,0.0,core_destroyed,228,,82,540,14,6,70,550,26,20,ok,,11.977,n-62-31-23,29003474,2026-08-02T01:10:33+0200
