rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra_h@4437c29,snotra_h,4437c29,6138,4453,7,1678,0.7261,1.106868,192.3,1.106868,0.142107,0.538112,1.0,0.0,1,0
2,snotra@34b0ce8,snotra,34b0ce8,6138,4440,5,1693,0.7238,1.09219,189.7,1.09219,0.168704,0.578728,0.0,-0.059719,2,0
3,vor@c32539f,vor,c32539f,6138,4368,1,1769,0.7117,1.036082,180.0,1.036082,0.02344,0.40352,0.0,-0.300754,13,-10
4,gefn@46ac5e6,gefn,46ac5e6,6138,4366,6,1766,0.7118,1.034167,179.7,1.034167,0.085212,0.404743,0.0,-0.300754,13,-9
5,fulla@ec5aa19,fulla,ec5aa19,6138,4363,1,1774,0.7109,1.033245,179.5,1.033245,0.056983,0.349972,0.0,-0.300754,13,-8
6,forseti@37dc858,forseti,37dc858,6138,4289,8,1841,0.6994,0.976576,169.6,0.976576,0.026512,0.799392,0.0,-0.239951,8,-2
7,magni@3677a66,magni,3677a66,6138,4287,8,1843,0.6991,0.971817,168.8,0.971817,0.023681,0.811283,0.0,-0.179586,6,1
8,hodr@ea88247,hodr,ea88247,6138,4286,8,1844,0.6989,0.96927,168.4,0.96927,0.044855,0.827982,0.0,-0.239951,8,0
9,ostara@832c68a,ostara,832c68a,6138,4255,3,1880,0.6935,0.954463,165.8,0.954463,0.018417,0.155622,0.0,-0.119545,5,4
10,spork@05ab6a2,spork,05ab6a2,6138,4198,3,1937,0.6842,0.909395,158.0,0.909395,0.032768,0.105932,0.0,-0.059719,2,8
11,loki@832c68a,loki,832c68a,6138,4173,1,1964,0.6799,0.888928,154.4,0.888928,-0.001463,0.238867,0.0,-0.424157,27,-16
12,mimir@cfc1ec4,mimir,cfc1ec4,6138,4189,8,1941,0.6831,0.884014,153.6,0.884014,0.126729,0.68206,0.0,-0.239951,8,4
13,spar_sniper@aa24129,spar_sniper,aa24129,6138,4163,12,1963,0.6792,0.873901,151.8,0.873901,0.069041,0.602062,0.0,-0.179586,6,7
14,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6102,4101,20,1981,0.6737,0.862192,149.8,0.862192,-0.099809,0.528679,0.0,-0.393043,26,-12
15,steward_relent@7ed1acc,steward_relent,7ed1acc,6138,4158,17,1963,0.6788,0.862161,149.8,0.862161,0.115249,0.470268,0.0,-0.300754,13,2
16,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,6102,4121,17,1964,0.6767,0.857073,148.9,0.857073,0.124356,0.534814,0.0,-0.300754,13,3
17,freyr@c2c0d3d,freyr,c2c0d3d,6138,4151,16,1971,0.6776,0.852235,148.0,0.852235,0.106099,0.588333,0.0,-0.300754,13,4
18,njord@f66a427,njord,f66a427,6138,4140,18,1980,0.676,0.849297,147.5,0.849297,0.067179,0.578329,0.0,-0.300754,13,5
19,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,6102,4101,23,1978,0.674,0.847677,147.3,0.847677,0.053006,0.526761,0.0,-0.300754,13,6
20,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,6102,4112,17,1973,0.6753,0.845673,146.9,0.845673,0.12328,0.628668,0.0,-0.300754,13,7
21,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,6102,4071,37,1994,0.6702,0.841093,146.1,0.841093,0.002153,0.482535,0.0,-0.300754,13,8
22,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,6102,4068,37,1997,0.6697,0.835132,145.1,0.835132,0.024597,0.508115,0.0,-0.300754,13,9
23,vali@7bc75e8,vali,7bc75e8,6138,4105,17,2016,0.6702,0.816337,141.8,0.816337,0.129236,0.601539,0.0,-0.239951,8,15
24,ullr@7d1ab4e,ullr,7d1ab4e,6138,4095,19,2024,0.6687,0.810995,140.9,0.810995,0.103587,0.611486,0.0,-0.239951,8,16
