rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra_h@4437c29,snotra_h,4437c29,6270,4528,7,1735,0.7227,1.089503,189.3,1.089503,-0.190621,-0.517427,1.0,0.0,1,0
2,snotra@34b0ce8,snotra,34b0ce8,6270,4511,5,1754,0.7199,1.072569,186.3,1.072569,-0.218523,-0.557181,0.0,-0.059719,2,0
3,vor@c32539f,vor,c32539f,6270,4439,1,1830,0.7081,1.017619,176.8,1.017619,-0.060321,-0.396362,0.0,-0.300754,14,-11
4,gefn@46ac5e6,gefn,46ac5e6,6270,4437,6,1827,0.7081,1.015754,176.5,1.015754,-0.121849,-0.391509,0.0,-0.300754,14,-10
5,fulla@ec5aa19,fulla,ec5aa19,6270,4435,1,1834,0.7074,1.015474,176.4,1.015474,-0.089795,-0.339407,0.0,-0.300754,14,-9
6,vidarr@c9193be,vidarr,c9193be,6270,4373,9,1888,0.6982,0.992804,172.5,0.992804,0.032642,-0.248313,0.0,-0.059719,2,4
7,forseti@37dc858,forseti,37dc858,6270,4354,8,1908,0.6951,0.955609,166.0,0.955609,-0.092527,-0.7892,0.0,-0.239951,9,-2
8,magni@3677a66,magni,3677a66,6270,4352,8,1910,0.6947,0.950949,165.2,0.950949,-0.090995,-0.801015,0.0,-0.179586,7,1
9,hodr@ea88247,hodr,ea88247,6270,4351,8,1911,0.6946,0.948455,164.8,0.948455,-0.11366,-0.815861,0.0,-0.239951,9,0
10,ostara@832c68a,ostara,832c68a,6270,4321,3,1946,0.6894,0.934578,162.4,0.934578,-0.0281,-0.153157,0.0,-0.119545,6,4
11,spork@05ab6a2,spork,05ab6a2,6270,4264,3,2003,0.6803,0.890449,154.7,0.890449,-0.039235,-0.10086,0.0,-0.059719,2,9
12,loki@832c68a,loki,832c68a,6270,4237,1,2032,0.6758,0.869164,151.0,0.869164,-0.021847,-0.235603,0.0,-0.424157,28,-16
13,mimir@cfc1ec4,mimir,cfc1ec4,6270,4251,8,2011,0.6786,0.863098,149.9,0.863098,-0.182018,-0.662699,0.0,-0.239951,9,4
