rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5112,3658,19,1435,0.7174,1.065172,185.0,1.065172,-0.084358,-0.577816,0.0,-0.149835,12,-11
2,steward_relent@7ed1acc,steward_relent,7ed1acc,5148,3670,17,1461,0.7145,1.03117,179.1,1.03117,-0.246316,-0.51659,0.124997,0.0,1,1
3,njord@f66a427,njord,f66a427,5132,3659,18,1455,0.7147,1.029823,178.9,1.029823,-0.238506,-0.64089,0.5,0.0,1,2
4,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5112,3638,17,1457,0.7133,1.028913,178.7,1.028913,-0.275789,-0.572612,0.124941,0.0,1,3
5,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5112,3610,37,1465,0.7098,1.026672,178.4,1.026672,-0.129236,-0.553061,0.0,-0.097162,11,-6
6,freyr@c2c0d3d,freyr,c2c0d3d,5148,3668,16,1464,0.7141,1.023157,177.7,1.023157,-0.264987,-0.635969,0.125037,0.0,1,5
7,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5112,3623,23,1466,0.711,1.021504,177.5,1.021504,-0.197161,-0.59177,0.0,0.0,1,6
8,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5112,3607,37,1468,0.7092,1.019578,177.1,1.019578,-0.156316,-0.574794,0.0,-0.037343,7,1
9,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5112,3629,17,1466,0.7116,1.01535,176.4,1.01535,-0.291938,-0.668967,0.125026,0.0,1,8
10,vali@7bc75e8,vali,7bc75e8,5148,3626,17,1505,0.706,0.983472,170.8,0.983472,-0.28622,-0.642915,0.0,-0.089632,10,0
11,ullr@7d1ab4e,ullr,7d1ab4e,5148,3620,18,1510,0.7049,0.979762,170.2,0.979762,-0.263836,-0.65995,0.0,-0.059773,9,2
12,gefjon@f66a427,gefjon,f66a427,5148,3546,23,1579,0.691,0.950043,165.0,0.950043,0.015795,1.2e-05,0.0,-0.041068,8,4
13,skadi@6a2af02,skadi,6a2af02,5112,3420,48,1644,0.6737,0.909126,157.9,0.909126,0.461062,-0.255697,0.0,-0.339911,15,-2
14,skadi@821d792,skadi,821d792,5112,3387,62,1663,0.6686,0.884868,153.7,0.884868,0.361088,-0.125652,0.0,-0.232405,13,1
15,skadi@aad5f44,skadi,aad5f44,5112,3378,65,1669,0.6672,0.88302,153.4,0.88302,0.397312,-0.107768,0.0,-0.293154,14,1
16,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,5112,3342,45,1725,0.6582,0.777194,135.0,0.777194,-0.131174,-0.531542,0.0,-0.377579,16,0
17,skadi@1e4eddf,skadi,1e4eddf,5112,3287,58,1767,0.6487,0.765865,133.0,0.765865,0.315505,-0.315855,0.0,-0.471403,17,0
18,vidar@8b87da5,vidar,8b87da5,5112,3212,40,1860,0.6322,0.722993,125.6,0.722993,0.50836,-0.100336,0.0,-0.559346,23,-5
19,vidar@561800a,vidar,561800a,5112,3174,58,1880,0.6266,0.68995,119.9,0.68995,0.48107,-0.131525,0.0,-0.60001,26,-7
20,vidar_r2@c8b850e,vidar_r2,c8b850e,5107,3206,41,1860,0.6318,0.681073,118.3,0.681073,0.301981,-0.236589,0.0,-0.482479,19,1
21,vidar@ee47958,vidar,ee47958,5112,3173,58,1881,0.6264,0.676874,117.6,0.676874,0.404269,-0.137858,0.0,-0.60001,26,-5
22,vidar_r3@c8b850e,vidar_r3,c8b850e,5106,3204,40,1862,0.6314,0.675705,117.4,0.675705,0.281285,-0.265008,0.0,-0.472895,18,4
23,vidar_r1@c8b850e,vidar_r1,c8b850e,5112,3156,59,1897,0.6231,0.657767,114.3,0.657767,0.407558,-0.206669,0.0,-0.632475,28,-5
24,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5111,2935,24,2152,0.5766,0.448736,78.0,0.448736,0.327139,-0.01369,0.0,-0.57313,24,0
25,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,5112,2942,42,2128,0.5796,0.422645,73.4,0.422645,-0.174429,-0.491816,0.0,-0.599453,25,0
26,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5112,2919,24,2169,0.5734,0.416947,72.4,0.416947,0.245458,-0.079405,0.0,-0.518923,20,6
27,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,5112,2846,40,2226,0.5606,0.337172,58.6,0.337172,-0.107919,-0.651887,0.0,-0.726305,31,-4
28,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5112,2834,34,2244,0.5577,0.331377,57.6,0.331377,0.414738,-0.343001,0.0,-1.200742,52,-24
29,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5112,2829,34,2249,0.5567,0.32761,56.9,0.32761,0.441932,-0.41232,0.0,-1.200742,52,-23
30,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5112,2751,32,2329,0.5413,0.302272,52.5,0.302272,0.557218,0.022731,0.0,-1.001782,43,-13
31,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5112,2772,34,2306,0.5456,0.274389,47.7,0.274389,0.477132,-0.341793,0.0,-1.424732,63,-32
32,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5112,2708,34,2370,0.5331,0.252664,43.9,0.252664,0.520172,-0.115389,0.0,-1.120257,49,-17
33,vidar@1b7a73a,vidar,1b7a73a,5112,2705,34,2373,0.5325,0.234524,40.7,0.234524,0.435551,-0.160057,0.0,-1.120257,49,-16
34,spar_mender@d5b46bc,spar_mender,d5b46bc,5148,2774,36,2338,0.5423,0.22906,39.8,0.22906,-0.272474,-0.69479,0.0,-0.900414,40,-6
35,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5112,2650,17,2445,0.5201,0.209931,36.5,0.209931,0.543199,0.139848,0.0,-1.039772,45,-10
36,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5112,2616,19,2477,0.5136,0.169015,29.4,0.169015,-0.301227,0.269455,0.0,-0.550831,21,15
37,vidar@544eeb3,vidar,544eeb3,5112,2626,35,2451,0.5171,0.166596,28.9,0.166596,0.564469,-0.182896,0.0,-1.331828,60,-23
38,undertow@fdc1e1f,undertow,fdc1e1f,5112,2573,0,2539,0.5033,0.157694,27.4,0.157694,-0.107104,0.188919,0.0,-1.069695,47,-9
39,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,5112,2500,0,2612,0.489,0.14191,24.7,0.14191,-0.461607,0.725547,0.0,-0.724277,30,9
40,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,5112,2533,0,2579,0.4955,0.112733,19.6,0.112733,-0.208438,0.287958,0.0,-0.759411,33,7
41,prospect@bf9b3e3,prospect,bf9b3e3,5112,2549,19,2544,0.5005,0.101202,17.6,0.101202,-0.284764,0.205517,0.0,-0.673695,29,12
42,janus@8a1e7a1,janus,8a1e7a1,5112,2527,19,2566,0.4962,0.092329,16.0,0.092329,-0.286863,0.342515,0.0,-0.749659,32,10
43,spar_mender@7ed1acc,spar_mender,7ed1acc,5148,2524,17,2607,0.4919,0.077909,13.5,0.077909,0.289944,-0.024306,0.0,-0.891653,38,5
44,heimdall@daf0de0,heimdall,daf0de0,5112,2520,15,2577,0.4944,0.065826,11.4,0.065826,0.177649,0.057862,0.0,-1.159677,51,-7
45,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,5112,2506,44,2562,0.4945,0.058636,10.2,0.058636,0.453415,0.036428,0.0,-1.243194,56,-11
46,vidar_png@1b7a73a,vidar_png,1b7a73a,5108,2480,30,2598,0.4884,0.038044,6.6,0.038044,0.608134,0.130115,0.0,-1.295134,58,-12
47,warden_walk@e55aab5,warden_walk,e55aab5,5112,2474,13,2625,0.4852,0.018297,3.2,0.018297,0.305071,0.278516,0.0,-1.523254,66,-19
48,odin@38e1456,odin,38e1456,5112,2461,4,2647,0.4818,0.018075,3.1,0.018075,0.230495,0.311689,0.0,-0.965044,42,6
49,vidar2@544eeb3,vidar2,544eeb3,5112,2405,55,2652,0.4758,-0.007061,-1.2,-0.007061,0.306855,0.38764,0.0,-1.004464,44,5
50,bastion@840a180,bastion,840a180,5112,2411,12,2689,0.4728,-0.019627,-3.4,-0.019627,0.160752,-0.082816,0.0,-1.424732,63,-13
51,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,5112,2437,6,2669,0.4773,-0.024238,-4.2,-0.024238,-0.692588,-0.240633,0.0,-0.551388,22,29
52,fenrir2@6b39ebb,fenrir2,6b39ebb,5148,2424,7,2717,0.4715,-0.029428,-5.1,-0.029428,0.348181,0.384194,0.0,-0.854671,36,16
53,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,5112,2399,21,2692,0.4713,-0.039914,-6.9,-0.039914,0.693475,0.244837,0.0,-1.377635,62,-9
54,vigil@e267eeb,vigil,e267eeb,5112,2366,22,2724,0.465,-0.057195,-9.9,-0.057195,-0.276961,0.708945,0.0,-0.836721,35,19
55,v233_i@902be71,v233_i,902be71,5112,2314,0,2798,0.4527,-0.058054,-10.1,-0.058054,-0.231018,0.494692,0.0,-0.8995,39,16
56,odin@93e46da,odin,93e46da,5112,2368,6,2738,0.4638,-0.058814,-10.2,-0.058814,0.289947,0.436875,0.0,-0.890315,37,19
57,aegis@e55aab5,aegis,e55aab5,5112,2340,10,2762,0.4587,-0.096637,-16.8,-0.096637,0.00674,0.392238,0.0,-1.376992,61,-4
58,steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,5112,2329,24,2759,0.4579,-0.113519,-19.7,-0.113519,-0.158558,-0.553552,0.0,-1.297958,59,-1
59,maporacle@38e1456,maporacle,38e1456,5112,2324,5,2783,0.4551,-0.120404,-20.9,-0.120404,0.192971,0.275538,0.0,-1.079192,48,11
60,ragnarok_fair@79582fc,ragnarok_fair,79582fc,5112,2297,12,2803,0.4505,-0.128177,-22.3,-0.128177,0.11085,0.343381,0.0,-1.424732,63,-3
61,tyr@2e6c876,tyr,2e6c876,5112,2248,25,2839,0.4422,-0.169082,-29.4,-0.169082,0.647157,0.379075,0.0,-1.627456,69,-8
62,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,5112,2183,21,2908,0.4291,-0.199556,-34.7,-0.199556,-0.207582,0.598569,0.0,-1.061515,46,16
63,mjolnir@2e6c876,mjolnir,2e6c876,5112,2184,38,2890,0.4309,-0.236017,-41.0,-0.236017,0.522606,0.407575,0.0,-1.577669,68,-5
64,valkyrie_econ2@7227061,valkyrie_econ2,7227061,5112,2139,12,2961,0.4196,-0.279211,-48.5,-0.279211,0.08153,0.825953,0.0,-0.963793,41,23
65,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,5112,2067,0,3045,0.4043,-0.309082,-53.7,-0.309082,-0.483726,0.532016,0.0,-0.789777,34,31
66,valkyrie_atk2@7227061,valkyrie_atk2,7227061,5112,2068,9,3035,0.4054,-0.329713,-57.3,-0.329713,-0.11931,0.381985,0.0,-1.243703,57,9
67,jotunn@6b39ebb,jotunn,6b39ebb,5148,1763,5,3380,0.3429,-0.723707,-125.7,-0.723707,0.510201,1.180631,0.0,-1.981467,73,-6
68,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,5112,1585,0,3527,0.3101,-0.80662,-140.1,-0.80662,-0.768501,-0.150237,0.0,-1.222772,55,13
69,gobbleglitch@6cdc440,gobbleglitch,6cdc440,5112,1458,1,3653,0.2853,-0.933191,-162.1,-0.933191,-0.515189,0.189517,0.0,-1.574036,67,2
70,e_t4l7@9e77076,e_t4l7,9e77076,5112,1375,0,3737,0.269,-1.109757,-192.8,-1.109757,-0.644276,0.952774,0.0,-1.203909,54,16
71,vigil_reinforcements@2e6c876,vigil_reinforcements,2e6c876,5112,1244,6,3862,0.2439,-1.192218,-207.1,-1.192218,-0.280261,0.012154,0.0,-1.864727,71,0
72,jonbot@90fc9f3,jonbot,90fc9f3,5112,1068,0,4044,0.2089,-1.42795,-248.1,-1.42795,-0.245134,0.271646,0.0,-2.322565,74,-2
73,tempest@90fc9f3,tempest,90fc9f3,5112,974,1,4137,0.1906,-1.544663,-268.3,-1.544663,-0.106986,-0.410209,0.0,-2.898277,76,-3
74,strategist@2e6eca5,strategist,2e6eca5,5112,975,3,4134,0.191,-1.605822,-279.0,-1.605822,-1.293868,0.176481,0.0,-1.966753,72,2
75,strategist@2a19238,strategist,2a19238,5112,968,3,4141,0.1897,-1.626348,-282.5,-1.626348,-1.353221,0.15534,0.0,-1.857522,70,5
76,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,5112,602,0,4510,0.1178,-2.133476,-370.6,-2.133476,-0.967213,0.100728,0.0,-2.322565,74,2
77,warden_@d142ef0,warden_,d142ef0,2700,260,1,2439,0.0965,-2.58091,-448.3,-2.58091,-0.261469,1.086343,0.0,-3.08747,77,0
78,mistral@90fc9f3,mistral,90fc9f3,5112,369,2,4741,0.0724,-2.937442,-510.3,-2.937442,-0.268692,0.18002,0.0,-3.776585,78,0
79,lockin@90fc9f3,lockin,90fc9f3,5112,18,6,5088,0.0041,-4.606808,-800.3,-4.606808,-0.753051,-0.097627,0.0,-4.890349,79,0
