match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00051caccdd21117,auto-33ab234bb994,tempest_oracle_guarded@90fc9f3,tempest_oracle_guarded,90fc9f3,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,aurora,official,1,0,rating,b,b,0.0,core_destroyed,73,,41,0,10,3,19,270,7,23,ok,,4.346,n-62-29-31,29039237,2026-08-06T11:46:48+0200
000765a26ed64efe,auto-33ab234bb994,uw_v1@9713344,uw_v1,9713344,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,fjord,official,1,0,rating,b,b,0.0,core_destroyed,169,,310,810,6,11,70,1250,7,45,ok,,4.764,n-62-11-63,29039237,2026-08-06T11:48:49+0200
0009540392b10eab,auto-33ab234bb994,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,string,official,1,0,rating,a,a,1.0,titanium_collected,1000,,91,5130,19,14,196,2670,12,9,ok,,37.513,n-62-29-20,29039237,2026-08-06T11:47:13+0200
000e85aefc5f4279,auto-33ab234bb994,vanguard@c407e79,vanguard,c407e79,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,vase,official,1,0,rating,b,b,0.0,core_destroyed,342,,88,0,7,0,20,720,13,14,ok,,9.237,n-62-29-5,29039237,2026-08-06T11:50:02+0200
003811857ae2d6fe,auto-33ab234bb994,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,442,,30,2150,14,27,1588,2170,9,7,ok,,14.227,n-62-21-97,29039237,2026-08-06T11:49:40+0200
003c8e5f2bb22fea,auto-33ab234bb994,prospect@bf9b3e3,prospect,bf9b3e3,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,twins,official,1,0,rating,b,b,0.0,core_destroyed,168,,16,160,9,2,26,390,6,14,ok,,4.555,n-62-21-22,29039237,2026-08-06T11:45:43+0200
003ee0cf6f70c11a,auto-33ab234bb994,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,bridge,official,1,0,rating,a,a,1.0,titanium_stored,1000,,219,0,12,17,82,0,8,7,ok,,25.277,n-62-31-9,29039237,2026-08-06T11:47:31+0200
004c2c6bb1228a37,auto-33ab234bb994,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,122,,58,580,8,8,8,290,8,12,ok,,4.656,n-62-31-23,29039237,2026-08-06T11:48:27+0200
0052cf439c47f3bf,auto-33ab234bb994,strategist@2e6eca5,strategist,2e6eca5,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,pinch,official,1,0,rating,b,b,0.0,core_destroyed,956,,10,5740,9,15,64,6740,19,49,ok,,29.489,n-62-21-99,29039237,2026-08-06T11:48:21+0200
00566c9f22cff711,auto-33ab234bb994,vidar_siege@544eeb3,vidar_siege,544eeb3,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,longship,official,1,0,rating,b,b,0.0,core_destroyed,113,,9,450,9,27,18,370,6,21,ok,,4.697,n-62-21-99,29039237,2026-08-06T11:50:48+0200
0057fc64acf024ba,auto-33ab234bb994,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,289,,246,1370,15,21,20,680,12,12,ok,,14.658,n-62-11-63,29039237,2026-08-06T11:48:12+0200
005f35a98b8f1e46,auto-33ab234bb994,lattice@1e4eddf,lattice,1e4eddf,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,skerry,official,1,0,rating,b,b,0.0,core_destroyed,69,,137,320,10,5,10,330,9,21,ok,,3.995,n-62-31-20,29039237,2026-08-06T11:45:03+0200
00697996a20cba7a,auto-33ab234bb994,warden_walk@3318ffd,warden_walk,3318ffd,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,vase,official,1,0,rating,a,a,1.0,core_destroyed,505,,10,0,7,6,1160,1220,8,6,ok,,7.316,n-62-31-9,29039237,2026-08-06T11:50:54+0200
007ad219a6cb57d1,auto-33ab234bb994,tyr_belt@2e6c876,tyr_belt,2e6c876,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,runestone,official,1,0,rating,b,b,0.0,core_destroyed,95,,0,180,6,22,9,210,8,22,ok,,3.963,n-62-11-60,29039237,2026-08-06T11:47:09+0200
0084fa9f44d2c94a,auto-33ab234bb994,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,atoll,official,1,0,rating,a,a,1.0,core_destroyed,920,,20,2280,7,8,12,80,9,5,ok,,7.707,n-62-21-13,29039237,2026-08-06T11:46:18+0200
0085f2359e0b6047,auto-33ab234bb994,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,odin@45aa24a,odin,45aa24a,showdown,official,1,0,rating,a,a,1.0,core_destroyed,129,,37,0,5,4,8,0,7,6,ok,,2.873,n-62-12-1,29039237,2026-08-06T11:46:01+0200
00b38df24a21fd09,auto-33ab234bb994,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,strait,official,1,0,rating,b,b,0.0,core_destroyed,183,,57,0,8,3,11,390,6,16,ok,,4.546,n-62-29-29,29039237,2026-08-06T11:47:41+0200
00c657989861a02a,auto-33ab234bb994,ragnarok@79582fc,ragnarok,79582fc,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,sprint,official,1,0,rating,b,b,0.0,core_destroyed,113,,10,0,6,0,9,20,6,2,ok,,3.273,n-62-21-14,29039237,2026-08-06T11:44:37+0200
00d0fa41bad9c477,auto-33ab234bb994,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,skadi@1e4eddf,skadi,1e4eddf,bridge,official,1,0,rating,b,b,0.0,titanium_collected,1000,,167,0,16,16,3338,2440,4,12,ok,,21.955,n-62-21-50,29039237,2026-08-06T11:45:11+0200
00da44700c633ee4,auto-33ab234bb994,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,844,,227,4150,21,24,100,3550,13,14,ok,,37.099,n-62-11-69,29039237,2026-08-06T11:49:04+0200
01122b3731f7ad4a,auto-33ab234bb994,vidar_noecon@544eeb3,vidar_noecon,544eeb3,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,vase,official,1,0,rating,a,a,1.0,titanium_stored,1000,,4318,2400,3,8,3422,2400,12,17,ok,,15.888,n-62-31-23,29039237,2026-08-06T11:52:17+0200
01171058a42772eb,auto-33ab234bb994,steward_hardened_reinforced@a53eade,steward_hardened_reinforced,a53eade,odin@5a92113,odin,5a92113,bridge,official,1,0,rating,a,a,1.0,core_destroyed,227,,10,390,11,16,15,0,7,6,ok,,7.611,n-62-12-4,29039237,2026-08-06T11:44:28+0200
