rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vigil@18b749d,vigil,18b749d,3906,3471,0,435,0.8886,2.740734,476.1,2.740734,-0.876114,0.717693,0.0,-0.177549,8,-7
2,vigil@e22eda8,vigil,e22eda8,3906,3508,0,398,0.8981,2.730366,474.3,2.730366,-0.522131,1.096207,0.446081,0.0,1,1
3,vigil@e267eeb,vigil,e267eeb,3906,3507,0,399,0.8978,2.708268,470.5,2.708268,-0.503836,1.064392,0.0,-0.010718,4,-1
4,ragnarok@79582fc,ragnarok,79582fc,3906,3507,0,399,0.8978,2.69676,468.5,2.69676,-0.63811,1.055384,0.0,-0.041707,5,-1
5,valkyrie@d181312,valkyrie,d181312,3906,3502,0,404,0.8966,2.686904,466.8,2.686904,-0.647549,1.067337,0.332836,-0.0,1,4
6,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,3906,3423,0,483,0.8763,2.57252,446.9,2.57252,-0.703267,0.728783,0.0,-0.351605,9,-3
7,vigil@1b5f3d1,vigil,1b5f3d1,3906,3393,0,513,0.8687,2.529769,439.5,2.529769,-0.624321,0.765039,0.0,-0.366015,10,-3
8,valkyrie@30d0491,valkyrie,30d0491,3906,3411,0,495,0.8733,2.492769,433.0,2.492769,-0.733589,0.908442,0.0,-0.082663,6,2
9,vigil@bf9b3e3,vigil,bf9b3e3,3906,3374,0,532,0.8638,2.437246,423.4,2.437246,-0.693396,0.877711,0.0,-0.366015,10,-1
10,vigil@60d5afa,vigil,60d5afa,3906,3310,0,596,0.8474,2.266084,393.7,2.266084,-0.745888,0.800971,0.0,-0.704181,13,-3
11,ragnarok_fair@79582fc,ragnarok_fair,79582fc,3906,3131,0,775,0.8016,2.079496,361.2,2.079496,-0.269223,0.175129,0.221082,0.0,1,10
12,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,3906,3000,0,906,0.768,1.931902,335.6,1.931902,-0.557295,0.078897,0.0,-1.006828,16,-4
13,gobbleglitch@6cdc440,gobbleglitch,6cdc440,3906,3034,5,867,0.7774,1.926928,334.7,1.926928,-0.919223,0.191833,0.0,-1.869403,28,-15
14,prospect@bf9b3e3,prospect,bf9b3e3,3906,3035,0,871,0.777,1.908431,331.5,1.908431,-0.376276,0.048574,0.0,-0.546726,12,2
15,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,3906,2969,0,937,0.7601,1.893765,329.0,1.893765,-0.514862,-0.274189,0.0,-0.880072,14,1
