rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra@34b0ce8,snotra,34b0ce8,5742,4230,5,1507,0.7371,1.15849,201.3,1.15849,-0.177414,-0.567762,0.5,0.0,1,0
2,gefn@46ac5e6,gefn,46ac5e6,5742,4170,6,1566,0.7268,1.106048,192.1,1.106048,-0.102444,-0.393622,0.0,-0.149565,13,-11
3,forseti@37dc858,forseti,37dc858,5742,4093,8,1641,0.7135,1.044529,181.5,1.044529,-0.048391,-0.820957,0.0,-0.0,1,2
4,magni@3677a66,magni,3677a66,5742,4090,8,1644,0.713,1.038759,180.5,1.038759,-0.042239,-0.831987,0.0,-0.0,1,3
5,hodr@ea88247,hodr,ea88247,5742,4090,8,1644,0.713,1.036725,180.1,1.036725,-0.066956,-0.849713,0.0,-0.0,1,4
6,mimir@cfc1ec4,mimir,cfc1ec4,5742,3998,8,1736,0.697,0.949052,164.9,0.949052,-0.14004,-0.698956,0.0,-0.150377,15,-9
7,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5706,3932,19,1755,0.6908,0.940491,163.4,0.940491,0.073695,-0.547311,0.0,-0.285918,21,-14
8,spar_sniper@aa24129,spar_sniper,aa24129,5742,3969,12,1761,0.6923,0.936206,162.6,0.936206,-0.073763,-0.617554,0.0,-0.090116,10,-2
9,steward_relent@7ed1acc,steward_relent,7ed1acc,5742,3970,17,1755,0.6929,0.927758,161.2,0.927758,-0.126547,-0.493658,0.0,-0.075169,6,3
10,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5706,3936,17,1753,0.6913,0.924361,160.6,0.924361,-0.140437,-0.558623,0.0,-0.075169,6,4
11,freyr@c2c0d3d,freyr,c2c0d3d,5742,3966,16,1760,0.6921,0.919193,159.7,0.919193,-0.120948,-0.611594,0.0,-0.090116,10,1
12,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5706,3900,37,1769,0.6867,0.916873,159.3,0.916873,-0.022297,-0.500467,0.0,-0.195183,18,-6
13,njord@f66a427,njord,f66a427,5742,3954,18,1770,0.6902,0.915379,159.0,0.915379,-0.081306,-0.606966,0.0,-0.150377,15,-2
14,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5706,3916,23,1767,0.6883,0.914325,158.8,0.914325,-0.062081,-0.548834,0.0,-0.075169,6,8
15,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5706,3927,17,1762,0.6897,0.912185,158.5,0.912185,-0.138583,-0.651756,0.0,-0.075169,6,9
16,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5706,3897,37,1772,0.6862,0.910506,158.2,0.910506,-0.044148,-0.524691,0.0,-0.195183,18,-2
17,vali@7bc75e8,vali,7bc75e8,5742,3920,17,1805,0.6842,0.880841,153.0,0.880841,-0.143453,-0.629081,0.0,-0.149835,14,3
18,ullr@7d1ab4e,ullr,7d1ab4e,5742,3909,19,1814,0.6824,0.874456,151.9,0.874456,-0.115003,-0.639162,0.0,-0.164781,17,1
19,gefjon@f66a427,gefjon,f66a427,5742,3840,24,1878,0.6708,0.851198,147.9,0.851198,-0.017163,0.05427,0.5,0.0,1,18
20,sif@3fc5cd8,sif,3fc5cd8,5742,3818,4,1920,0.6653,0.825314,143.4,0.825314,0.012443,-0.077318,0.0,-0.134599,12,8
21,skadi@6a2af02,skadi,6a2af02,5706,3684,48,1974,0.6498,0.793682,137.9,0.793682,0.479484,-0.043033,0.0,-0.195984,20,1
22,skadi@821d792,skadi,821d792,5706,3644,62,2000,0.6441,0.766944,133.2,0.766944,0.368734,0.055357,0.0,-0.377757,24,-2
23,skadi@aad5f44,skadi,aad5f44,5706,3627,65,2014,0.6413,0.759527,131.9,0.759527,0.411117,0.074348,0.0,-0.440029,25,-2
24,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,5706,3575,45,2086,0.6305,0.652743,113.4,0.652743,0.047407,-0.47273,0.0,-0.632274,31,-7
25,skadi@1e4eddf,skadi,1e4eddf,5706,3502,59,2145,0.6189,0.629265,109.3,0.629265,0.447085,-0.140297,0.0,-0.602568,29,-4
26,vidar@8b87da5,vidar,8b87da5,5706,3424,41,2241,0.6037,0.587919,102.1,0.587919,0.571068,0.104992,0.0,-0.494805,26,0
27,vidar_r2@c8b850e,vidar_r2,c8b850e,5706,3450,42,2214,0.6083,0.573536,99.6,0.573536,0.317022,-0.060922,0.0,-0.318273,22,5
28,vidar_r3@c8b850e,vidar_r3,c8b850e,5706,3452,41,2213,0.6086,0.571413,99.3,0.571413,0.291481,-0.09075,0.0,-0.318273,22,6
29,vidar@561800a,vidar,561800a,5706,3381,59,2266,0.5977,0.554781,96.4,0.554781,0.545301,0.072124,0.0,-0.637252,32,-3
30,vidar@ee47958,vidar,ee47958,5706,3380,59,2267,0.5975,0.543042,94.3,0.543042,0.480732,0.036854,0.0,-0.637252,32,-2
31,vidar_r1@c8b850e,vidar_r1,c8b850e,5706,3357,60,2289,0.5936,0.520857,90.5,0.520857,0.509464,-0.026085,0.0,-0.672896,34,-3
32,audhumla@a7faecd,audhumla,a7faecd,5742,3163,9,2570,0.5516,0.353444,61.4,0.353444,-0.251943,0.34995,0.0,-0.626215,30,2
33,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5706,3132,29,2545,0.5514,0.33108,57.5,0.33108,0.356072,0.166096,0.0,-0.555887,27,6
34,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,5706,3150,44,2512,0.5559,0.317388,55.1,0.317388,-0.064629,-0.415344,0.0,-0.678418,35,-1
35,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5706,3116,29,2561,0.5486,0.303198,52.7,0.303198,0.262984,0.077228,0.0,-0.586908,28,7
36,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,5706,3034,40,2632,0.5352,0.2222,38.6,0.2222,0.06363,-0.541216,0.0,-0.968076,48,-12
37,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5706,2990,34,2682,0.527,0.188271,32.7,0.188271,0.578053,-0.14335,0.0,-0.875787,44,-7
38,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5706,2985,34,2687,0.5261,0.18489,32.1,0.18489,0.612135,-0.196439,0.0,-0.875787,44,-6
