match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000cf3f185e3387c,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,vidar@561800a,vidar,561800a,twins,all_official,1,0,rating,b,b,0.0,titanium_collected,1000,,62,4340,21,26,996,13150,21,62,ok,,41.962,n-62-30-25,29052839,2026-08-08T17:14:53+0200
0014d2292e6231c2,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,mjolnir@2e6c876,mjolnir,2e6c876,sweden,all_official,1,0,rating,a,a,1.0,core_destroyed,593,,10,1240,12,15,10,350,5,12,ok,,14.23,n-62-31-5,29052839,2026-08-08T17:10:12+0200
0030ad88419e2950,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,spork@05ab6a2,spork,05ab6a2,saga,all_official,1,0,rating,b,b,0.0,core_destroyed,111,,144,620,8,39,19,620,10,31,ok,,6.886,n-62-28-34,29052839,2026-08-08T17:11:30+0200
003bdf4eab6a4e5d,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,vault,all_official,1,0,rating,a,a,1.0,core_destroyed,162,,9,770,9,31,10,600,7,21,ok,,4.888,n-62-11-63,29052839,2026-08-08T17:14:10+0200
004bbf6b7c4a93c6,auto-379ee90febe1,strategist@2a19238,strategist,2a19238,vidarr@c9193be,vidarr,c9193be,bridge,all_official,1,0,rating,b,b,0.0,core_destroyed,172,,292,0,5,14,20,610,9,19,ok,,4.384,n-62-29-15,29052839,2026-08-08T17:13:23+0200
004cfb19ed6b28a6,auto-379ee90febe1,aegis@e55aab5,aegis,e55aab5,vidarr@c9193be,vidarr,c9193be,fjord,all_official,1,0,rating,b,b,0.0,core_destroyed,64,,30,380,10,25,20,420,8,26,ok,,4.203,n-62-31-5,29052839,2026-08-08T17:09:24+0200
005eda4301e18c00,auto-379ee90febe1,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,vidarr@c9193be,vidarr,c9193be,pinch,all_official,1,0,rating,b,b,0.0,core_destroyed,63,,7,130,8,7,20,260,5,16,ok,,4.878,n-62-29-16,29052839,2026-08-08T17:12:59+0200
006004c370edd766,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,vali@7bc75e8,vali,7bc75e8,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,94,,8,420,7,13,8,50,7,8,ok,,4.729,n-62-11-64,29052839,2026-08-08T17:13:33+0200
006875c238acfea9,auto-379ee90febe1,vidar2@544eeb3,vidar2,544eeb3,vidarr@c9193be,vidarr,c9193be,vase,all_official,1,0,rating,b,b,0.0,core_destroyed,905,,1183,670,3,4,74,2220,15,23,ok,,21.902,n-62-11-62,29052839,2026-08-08T17:15:34+0200
006c8e905605841d,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,e_t4l7@9e77076,e_t4l7,9e77076,hive,all_official,1,0,rating,a,a,1.0,core_destroyed,570,,6,1400,8,20,3448,4010,8,54,ok,,11.424,n-62-29-24,29052839,2026-08-08T17:09:47+0200
006dca8a27668c3b,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,spar_sniper@aa24129,spar_sniper,aa24129,vault,all_official,1,0,rating,b,b,0.0,core_destroyed,87,,7,390,9,26,8,390,9,23,ok,,4.615,n-62-12-5,29052839,2026-08-08T17:12:05+0200
0072bb2805f40dbb,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,warden_walk@e55aab5,warden_walk,e55aab5,quarry,all_official,1,0,rating,b,b,0.0,core_destroyed,94,,9,330,9,22,39,570,7,35,ok,,4.115,n-62-11-62,29052839,2026-08-08T17:16:12+0200
007a0e02eeefb2f4,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,steward_relent@7ed1acc,steward_relent,7ed1acc,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,146,,9,680,7,19,6,50,7,8,ok,,4.211,n-62-31-19,29052839,2026-08-08T17:12:16+0200
009b34cab1089b30,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,spar_mender@7ed1acc,spar_mender,7ed1acc,jackpot,all_official,1,0,rating,a,a,1.0,core_destroyed,104,,14,470,10,20,150,470,8,22,ok,,6.674,n-62-31-7,29052839,2026-08-08T17:11:54+0200
00a2620ce2d8af25,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,steward_relent@7ed1acc,steward_relent,7ed1acc,skerry,all_official,1,0,rating,b,b,0.0,core_destroyed,113,,37,550,8,16,10,720,8,35,ok,,4.75,n-62-11-52,29052839,2026-08-08T17:12:24+0200
00a26922a67c8e52,auto-379ee90febe1,vidarr@c9193be,vidarr,c9193be,sif@3fc5cd8,sif,3fc5cd8,twins,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,17,280,7,12,16,150,8,8,ok,,13.383,n-62-11-66,29052839,2026-08-08T17:12:01+0200
00ac7c318e5b504b,auto-379ee90febe1,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,vidarr@c9193be,vidarr,c9193be,quarry,all_official,1,0,rating,b,b,0.0,core_destroyed,117,,72,880,13,32,20,490,10,23,ok,,6.698,n-62-31-22,29052839,2026-08-08T17:11:34+0200
00aec4c5dba32b68,auto-379ee90febe1,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,vidarr@c9193be,vidarr,c9193be,quarry,all_official,1,0,rating,a,a,1.0,core_destroyed,89,,8,480,9,30,9,350,10,19,ok,,7.611,n-62-11-60,29052839,2026-08-08T17:12:35+0200
00bafe6aef1772be,auto-379ee90febe1,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,vidarr@c9193be,vidarr,c9193be,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,213,,9,490,8,13,9,50,6,9,ok,,4.302,n-62-29-5,29052839,2026-08-08T17:12:25+0200
