rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra_h@4437c29,snotra_h,4437c29,6204,4487,7,1710,0.7238,1.095845,190.4,1.095845,-0.161516,-0.526711,1.0,0.0,1,0
2,snotra@34b0ce8,snotra,34b0ce8,6204,4473,5,1726,0.7214,1.080693,187.7,1.080693,-0.189014,-0.565753,0.0,-0.059719,2,0
3,vor@c32539f,vor,c32539f,6197,4397,1,1799,0.7096,1.024825,178.0,1.024825,-0.037859,-0.397628,0.0,-0.300754,14,-11
4,gefn@46ac5e6,gefn,46ac5e6,6204,4399,6,1799,0.7095,1.023281,177.8,1.023281,-0.100203,-0.395959,0.0,-0.300754,14,-10
5,fulla@ec5aa19,fulla,ec5aa19,6204,4397,1,1806,0.7088,1.022997,177.7,1.022997,-0.0708,-0.342729,0.0,-0.300754,14,-9
6,vidarr@c9193be,vidarr,c9193be,6177,4326,9,1842,0.7011,1.008052,175.1,1.008052,0.042555,-0.264011,0.0,-0.059719,2,4
7,forseti@37dc858,forseti,37dc858,6204,4321,8,1875,0.6971,0.965668,167.8,0.965668,-0.056112,-0.793501,0.0,-0.239951,9,-2
8,magni@3677a66,magni,3677a66,6204,4319,8,1877,0.6968,0.960959,166.9,0.960959,-0.053839,-0.805281,0.0,-0.179586,7,1
9,hodr@ea88247,hodr,ea88247,6204,4318,8,1878,0.6966,0.958438,166.5,0.958438,-0.075698,-0.820889,0.0,-0.239951,9,0
10,ostara@832c68a,ostara,832c68a,6204,4287,3,1914,0.6912,0.943787,164.0,0.943787,-0.024026,-0.157558,0.0,-0.119545,6,4
11,spork@05ab6a2,spork,05ab6a2,6204,4229,3,1972,0.6819,0.898564,156.1,0.898564,-0.036185,-0.106661,0.0,-0.059719,2,9
12,loki@832c68a,loki,832c68a,6204,4205,1,1998,0.6779,0.878942,152.7,0.878942,-0.009235,-0.23286,0.0,-0.424157,28,-16
13,mimir@cfc1ec4,mimir,cfc1ec4,6204,4218,8,1978,0.6805,0.872183,151.5,0.872183,-0.150324,-0.671465,0.0,-0.239951,9,4
