rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra@34b0ce8,snotra,34b0ce8,5676,4194,5,1477,0.7393,1.169742,203.2,1.169742,-0.176187,-0.564006,0.549999,0.0,1,0
2,forseti@37dc858,forseti,37dc858,5676,4062,8,1606,0.7163,1.05791,183.8,1.05791,-0.053255,-0.823459,0.0,-0.023995,4,-2
3,magni@3677a66,magni,3677a66,5676,4058,8,1610,0.7156,1.051386,182.6,1.051386,-0.04548,-0.835293,0.0,-0.017958,3,0
4,hodr@ea88247,hodr,ea88247,5676,4059,8,1609,0.7158,1.050015,182.4,1.050015,-0.07195,-0.852335,0.0,-0.023995,4,0
5,mimir@cfc1ec4,mimir,cfc1ec4,5676,3967,8,1701,0.6996,0.961335,167.0,0.961335,-0.14287,-0.701311,0.0,-0.165415,14,-9
6,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5640,3906,19,1715,0.6942,0.956176,166.1,0.956176,0.066006,-0.549505,0.0,-0.293537,20,-14
7,spar_sniper@aa24129,spar_sniper,aa24129,5676,3938,12,1726,0.6949,0.948341,164.7,0.948341,-0.075284,-0.620179,0.0,-0.105099,10,-3
8,steward_relent@7ed1acc,steward_relent,7ed1acc,5676,3938,17,1721,0.6953,0.939108,163.1,0.939108,-0.127767,-0.499081,0.0,-0.091647,6,2
9,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5640,3905,17,1718,0.6939,0.93636,162.7,0.93636,-0.143219,-0.563372,0.0,-0.091647,6,3
10,freyr@c2c0d3d,freyr,c2c0d3d,5676,3935,16,1725,0.6947,0.931133,161.8,0.931133,-0.123526,-0.616721,0.0,-0.105099,10,0
11,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5640,3872,37,1731,0.6898,0.930869,161.7,0.930869,-0.027256,-0.504991,0.0,-0.20574,17,-6
12,njord@f66a427,njord,f66a427,5676,3924,18,1734,0.6929,0.927964,161.2,0.927964,-0.085228,-0.61266,0.0,-0.165415,14,-2
13,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5640,3885,23,1732,0.6909,0.926208,160.9,0.926208,-0.063465,-0.554846,0.0,-0.091647,6,7
14,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5640,3869,37,1734,0.6893,0.924429,160.6,0.924429,-0.04899,-0.529213,0.0,-0.20574,17,-3
15,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5640,3896,17,1727,0.6923,0.924043,160.5,0.924043,-0.141164,-0.656529,0.0,-0.091647,6,9
16,vali@7bc75e8,vali,7bc75e8,5676,3890,17,1769,0.6868,0.89303,155.1,0.89303,-0.147155,-0.63397,0.0,-0.158846,13,3
17,ullr@7d1ab4e,ullr,7d1ab4e,5676,3879,19,1778,0.6851,0.886571,154.0,0.886571,-0.118152,-0.644475,0.0,-0.172298,16,1
18,gefjon@f66a427,gefjon,f66a427,5676,3805,24,1847,0.6725,0.859608,149.3,0.859608,-0.007334,0.050449,0.450001,-0.0,1,17
19,sif@3fc5cd8,sif,3fc5cd8,5676,3786,4,1886,0.6674,0.835487,145.1,0.835487,0.018924,-0.08232,0.0,-0.139097,12,7
20,skadi@6a2af02,skadi,6a2af02,5640,3658,48,1934,0.6528,0.80768,140.3,0.80768,0.478891,-0.052395,0.0,-0.212597,19,1
21,skadi@821d792,skadi,821d792,5640,3619,62,1959,0.6472,0.781357,135.7,0.781357,0.366703,0.047093,0.0,-0.382397,23,-2
22,skadi@aad5f44,skadi,aad5f44,5640,3603,65,1972,0.6446,0.774589,134.6,0.774589,0.4079,0.066179,0.0,-0.444727,24,-2
23,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,5640,3554,45,2041,0.6341,0.668863,116.2,0.668863,0.03651,-0.478009,0.0,-0.665425,32,-9
24,skadi@1e4eddf,skadi,1e4eddf,5640,3481,59,2100,0.6224,0.645115,112.1,0.645115,0.44158,-0.148132,0.0,-0.617276,28,-4
25,vidar@8b87da5,vidar,8b87da5,5640,3401,41,2198,0.6066,0.601755,104.5,0.601755,0.572346,0.096931,0.0,-0.52029,25,0
26,vidar_r2@c8b850e,vidar_r2,c8b850e,5640,3426,42,2172,0.6112,0.58646,101.9,0.58646,0.318548,-0.070848,0.0,-0.335147,21,5
27,vidar_r3@c8b850e,vidar_r3,c8b850e,5640,3428,41,2171,0.6114,0.584312,101.5,0.584312,0.293022,-0.100528,0.0,-0.335147,21,6
28,vidar@561800a,vidar,561800a,5640,3363,59,2218,0.6015,0.572236,99.4,0.572236,0.538185,0.065101,0.0,-0.655429,30,-2
29,vidar@ee47958,vidar,ee47958,5640,3362,59,2219,0.6013,0.560362,97.3,0.560362,0.473362,0.030974,0.0,-0.655429,30,-1
30,vidar_r1@c8b850e,vidar_r1,c8b850e,5640,3340,60,2240,0.5975,0.538795,93.6,0.538795,0.500937,-0.03201,0.0,-0.694637,33,-3
31,audhumla@a7faecd,audhumla,a7faecd,5676,3145,9,2522,0.5549,0.368585,64.0,0.368585,-0.257746,0.345888,0.0,-0.652625,29,2
32,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5640,3113,29,2498,0.5545,0.345119,60.0,0.345119,0.355245,0.157471,0.0,-0.575264,26,6
33,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,5640,3129,44,2467,0.5587,0.329653,57.3,0.329653,-0.066372,-0.422933,0.0,-0.706955,34,-1
34,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5640,3098,29,2513,0.5519,0.317761,55.2,0.317761,0.261156,0.069749,0.0,-0.603183,27,7
35,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,5640,3020,40,2580,0.539,0.239543,41.6,0.239543,0.050944,-0.54814,0.0,-1.02867,50,-15
36,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5640,2975,34,2631,0.5305,0.204237,35.5,0.204237,0.572991,-0.152282,0.0,-0.908281,43,-7
37,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5640,2970,34,2636,0.5296,0.200817,34.9,0.200817,0.607399,-0.205869,0.0,-0.908281,43,-6
38,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5640,2886,38,2716,0.5151,0.176626,30.7,0.176626,0.591843,0.223688,0.0,-0.990644,46,-8
39,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5640,2907,34,2699,0.5184,0.14356,24.9,0.14356,0.659967,-0.142319,0.0,-0.768385,36,3
40,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5640,2847,34,2759,0.5078,0.132319,23.0,0.132319,0.564002,0.089012,0.0,-0.788478,38,2
41,spar_mender@d5b46bc,spar_mender,d5b46bc,5676,2924,44,2708,0.519,0.127345,22.1,0.127345,-0.110027,-0.634831,0.0,-0.995184,47,-6
42,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5640,2816,17,2807,0.5008,0.119075,20.7,0.119075,0.405437,0.317277,0.0,-0.77796,37,5
43,vidar@1b7a73a,vidar,1b7a73a,5640,2844,34,2762,0.5073,0.115847,20.1,0.115847,0.499765,0.018864,0.0,-0.788478,38,5
44,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5640,2811,19,2810,0.5001,0.103959,18.1,0.103959,-0.335501,0.232582,0.0,-0.878762,42,2
45,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,5640,2675,0,2965,0.4743,0.062655,10.9,0.062655,-0.443888,0.692544,0.0,-1.076227,51,-6
46,undertow@fdc1e1f,undertow,fdc1e1f,5640,2728,0,2912,0.4837,0.06219,10.8,0.06219,-0.065135,0.280407,0.0,-0.720956,35,11
47,vidar@544eeb3,vidar,544eeb3,5640,2763,35,2842,0.493,0.050934,8.8,0.050934,0.61386,0.027057,0.0,-0.788478,38,9
48,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,5640,2703,0,2937,0.4793,0.034229,5.9,0.034229,-0.236996,0.343312,0.0,-0.930728,45,3
49,prospect@bf9b3e3,prospect,bf9b3e3,5640,2724,19,2897,0.4847,0.026363,4.6,0.026363,-0.276366,0.165478,0.0,-1.141372,55,-6
50,janus@8a1e7a1,janus,8a1e7a1,5640,2702,19,2919,0.4808,0.018177,3.2,0.018177,-0.300909,0.294927,0.0,-1.108307,53,-3
51,heimdall@daf0de0,heimdall,daf0de0,5640,2656,15,2969,0.4723,-0.038242,-6.6,-0.038242,0.198603,0.131575,0.0,-1.19313,60,-9
52,spar_mender@7ed1acc,spar_mender,7ed1acc,5676,2644,17,3015,0.4673,-0.041967,-7.3,-0.041967,0.281177,0.091962,0.0,-1.313235,65,-13
53,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,5640,2634,51,2955,0.4715,-0.047008,-8.2,-0.047008,0.384252,0.156539,0.0,-1.022067,49,4
54,odin@38e1456,odin,38e1456,5640,2619,4,3017,0.4647,-0.062547,-10.9,-0.062547,0.074048,0.375939,0.0,-1.191521,58,-4
55,vidar_png@1b7a73a,vidar_png,1b7a73a,5640,2602,30,3008,0.464,-0.076102,-13.2,-0.076102,0.499303,0.262511,0.0,-1.444719,70,-15
56,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,5640,2611,6,3023,0.4635,-0.086895,-15.1,-0.086895,-0.596362,-0.29141,0.0,-1.015551,48,8
57,warden_walk@e55aab5,warden_walk,e55aab5,5640,2605,13,3022,0.463,-0.088744,-15.4,-0.088744,0.326602,0.339335,0.0,-1.142811,56,1
