rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,8052,5874,11,2167,0.7302,1.162744,202.0,1.162744,0.113522,0.408681,0.0,-0.093397,12,-11
2,freyja@6a8a5f7,freyja,6a8a5f7,8052,5850,20,2182,0.7278,1.130184,196.3,1.130184,0.173629,0.632732,0.299523,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,8052,5824,19,2209,0.7245,1.115592,193.8,1.115592,0.169192,0.657255,0.0,-0.123799,13,-10
4,hlin@6b5d86e,hlin,6b5d86e,8052,5665,7,2380,0.704,1.015714,176.4,1.015714,0.243479,-0.132874,0.0,-0.002039,5,-1
5,frigg@55df097,frigg,55df097,8052,5664,7,2381,0.7039,1.012746,175.9,1.012746,0.251802,-0.106619,0.0,-0.023963,8,-3
6,gefn@60ae5f1,gefn,60ae5f1,8052,5590,6,2456,0.6946,0.995913,173.0,0.995913,-0.040532,0.052677,0.333282,-0.0,1,5
7,lofn@c8d0165,lofn,c8d0165,8052,5640,7,2405,0.7009,0.985641,171.2,0.985641,0.361285,-0.159562,0.0,-0.021924,7,0
8,syn@5bf798e,syn,5bf798e,8052,5585,7,2460,0.6941,0.984252,171.0,0.984252,0.009456,0.148179,0.0,-0.026051,9,-1
9,nanna@55df097,nanna,55df097,8052,5591,7,2454,0.6948,0.954889,165.9,0.954889,0.347993,-0.142122,0.0,-0.002039,5,4
10,bil@6b5d86e,bil,6b5d86e,8052,5578,7,2467,0.6932,0.945054,164.2,0.945054,0.344048,-0.203304,0.0,-0.00202,4,6
11,var@1a4b18c,var,1a4b18c,8052,5539,9,2504,0.6885,0.922971,160.3,0.922971,0.175295,0.318701,0.0,-0.160465,14,-3
12,dagr@e113755,dagr,e113755,8052,5537,24,2491,0.6891,0.917536,159.4,0.917536,0.337598,0.124396,0.367195,0.0,1,11
13,snotra_h@4437c29,snotra_h,4437c29,8052,5403,8,2641,0.6715,0.84298,146.4,0.84298,0.202498,0.469787,0.0,-0.25284,20,-7
14,bragi@db77268,bragi,db77268,8052,5401,8,2643,0.6713,0.83879,145.7,0.83879,0.178502,0.395425,0.0,-0.195868,15,-1
15,eir@5d43b95,eir,5d43b95,8052,5406,8,2638,0.6719,0.838074,145.6,0.838074,0.267777,0.469122,0.0,-0.25284,20,-5
16,snotra@34b0ce8,snotra,34b0ce8,8052,5367,5,2680,0.6669,0.820027,142.5,0.820027,0.212573,0.507647,0.0,-0.355393,31,-15
