rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,forseti@37dc858,forseti,37dc858,5610,4033,8,1569,0.7196,1.073001,186.4,1.073001,-0.822645,0.101126,0.0,-0.01495,8,-7
2,magni@3677a66,magni,3677a66,5610,4028,8,1574,0.7187,1.065699,185.1,1.065699,-0.836429,0.091508,0.249888,-0.0,1,1
3,hodr@ea88247,hodr,ea88247,5610,4030,8,1572,0.7191,1.065015,185.0,1.065015,-0.850957,0.121299,0.0,-0.01495,8,-5
4,mimir@cfc1ec4,mimir,cfc1ec4,5610,3939,8,1663,0.7029,0.97601,169.6,0.97601,-0.694387,0.183888,0.249888,0.0,1,3
5,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5574,3879,19,1676,0.6976,0.971505,168.8,0.971505,-0.555106,-0.033812,0.0,-0.13471,18,-13
6,spar_sniper@aa24129,spar_sniper,aa24129,5610,3909,12,1689,0.6979,0.962158,167.1,0.962158,-0.618002,0.108534,0.0,-0.044796,12,-6
7,steward_relent@7ed1acc,steward_relent,7ed1acc,5610,3909,17,1684,0.6983,0.952818,165.5,0.952818,-0.498762,0.157577,0.125002,-0.0,1,6
8,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5574,3876,17,1681,0.6969,0.950038,165.0,0.950038,-0.56265,0.176498,0.127521,-0.0,1,7
9,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5574,3844,37,1693,0.6929,0.94519,164.2,0.94519,-0.508536,0.056232,0.0,-0.052276,13,-4
10,freyr@c2c0d3d,freyr,c2c0d3d,5610,3906,16,1688,0.6977,0.94475,164.1,0.94475,-0.61747,0.158804,0.123872,-0.0,1,9
11,njord@f66a427,njord,f66a427,5610,3896,18,1696,0.6961,0.942252,163.7,0.942252,-0.615436,0.122188,0.0,-0.029873,11,0
