match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
76ec1fe4b32a6944,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,atoll,1,12,exceeded,ok,,27,148,42,69,93,1035,>12000,26,22,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:31:59+0200
4eea4e89dc93db08,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,aurora,1,12,exceeded,ok,,27,194,40,56,74,1310,>12000,26,18,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:01+0200
a14ba8c03199f657,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,bridge,1,12,pass,ok,,27,195,28,48,67,731,6660,6,0,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:03+0200
89046460559cab85,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,crossfire,1,12,exceeded,ok,,27,152,46,72,92,1072,>12000,26,22,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:05+0200
bd3a2a42a8e107d9,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,duel,1,12,exceeded,ok,,27,126,41,69,345,1038,>12000,26,24,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:07+0200
f841dc5b49d745a8,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,fjord,1,12,exceeded,ok,,27,176,41,57,79,1055,>12000,26,20,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:09+0200
ca58e671c546a60f,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,hive,1,12,exceeded,ok,,27,198,39,57,74,963,>12000,26,18,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:11+0200
2ca5aa422da390ca,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,jackpot,1,12,pass,ok,,27,218,29,49,69,762,8313,20,0,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:13+0200
87e0803440707443,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,longship,1,12,exceeded,ok,,27,236,33,54,69,763,>12000,8,15,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:16+0200
161030c73137f059,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,pinch,1,12,exceeded,ok,,21,156,31,39,70,906,>12000,7,8,0,1,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:18+0200
dab02e97978a9194,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,quarry,1,12,exceeded,ok,,27,181,37,57,80,1184,>12000,26,18,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:20+0200
ecda713ff2fffa77,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,runestone,1,12,exceeded,ok,,27,180,40,60,76,1358,>12000,26,20,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:22+0200
503a608995887422,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,showdown,1,12,exceeded,ok,,20,134,31,41,110,7597,>12000,5,25,0,2,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:25+0200
da678c7b32fe6557,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,skerry,1,12,exceeded,ok,,27,171,41,59,78,1255,>12000,26,20,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:27+0200
6bb0cad171308280,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,sprint,1,12,exceeded,ok,,17,114,30,39,56,7951,11668,1,0,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:29+0200
17d97a018b97018e,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,strait,1,12,exceeded,ok,,27,189,38,53,66,1159,>12000,26,18,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:31+0200
82b3b6b979f2a2c4,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,string,1,12,pass,ok,,27,173,29,41,69,561,4665,4,0,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:33+0200
fe58fab441705820,auto-4aafbb5cf2b2,ragnarok@34f775b,ragnarok,34f775b,sweden,1,12,exceeded,ok,,27,125,41,56,549,1132,>12000,26,22,0,0,9000,10000,n-62-30-25,29005098,2026-08-02T21:32:34+0200
