rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6342,5016,15,1311,0.7921,1.496866,260.0,1.496866,-0.399318,0.417738,0.0,-0.376478,9,-8
2,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,6342,4966,31,1345,0.7855,1.44994,251.9,1.44994,-0.22103,0.527806,0.0,-0.09309,2,0
3,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,6338,4953,31,1354,0.7839,1.440566,250.3,1.440566,-0.243849,0.525436,1.0,0.0,1,2
4,skadi@6a2af02,skadi,6a2af02,6342,4842,22,1478,0.7652,1.357632,235.8,1.357632,-0.501706,0.413899,0.0,-0.186586,4,0
5,skadi@821d792,skadi,821d792,6342,4804,31,1507,0.7599,1.329535,231.0,1.329535,-0.443868,0.302819,0.0,-0.186586,4,1
6,skadi@aad5f44,skadi,aad5f44,6342,4795,34,1513,0.7588,1.323338,229.9,1.323338,-0.388632,0.335992,0.0,-0.186586,4,2
7,skadi@1e4eddf,skadi,1e4eddf,6342,4738,25,1579,0.7491,1.233748,214.3,1.233748,-0.557452,0.467828,0.0,-0.424883,11,-4
8,vidar@8b87da5,vidar,8b87da5,6342,4686,18,1638,0.7403,1.215497,211.2,1.215497,-0.619168,0.413913,0.0,-0.473784,12,-4
9,vidar_r2@c8b850e,vidar_r2,c8b850e,6342,4705,25,1612,0.7439,1.2132,210.8,1.2132,-0.672723,0.501407,0.0,-0.233615,7,2
10,vidar_r3@c8b850e,vidar_r3,c8b850e,6342,4706,25,1611,0.744,1.212802,210.7,1.212802,-0.679232,0.509438,0.0,-0.139762,3,7
11,spar_econ@aad5f44,spar_econ,aad5f44,6342,4588,19,1735,0.7249,1.199733,208.4,1.199733,-0.268268,-0.171732,0.0,-0.473784,12,-1
12,vidar@561800a,vidar,561800a,6342,4647,25,1670,0.7347,1.176671,204.4,1.176671,-0.626623,0.353783,0.0,-0.624154,23,-11
13,vidar@ee47958,vidar,ee47958,6342,4646,25,1671,0.7345,1.176031,204.3,1.176031,-0.62949,0.353757,0.0,-0.624154,23,-10
14,vidar_r1@c8b850e,vidar_r1,c8b850e,6342,4642,25,1675,0.7339,1.16933,203.1,1.16933,-0.657798,0.372481,0.0,-0.624154,23,-9
15,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,6342,4646,44,1652,0.736,1.14811,199.4,1.14811,-0.254091,0.45359,0.0,-0.473784,12,3
16,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6342,4386,13,1943,0.6926,0.913632,158.7,0.913632,-0.43841,0.518799,0.0,-0.891998,39,-23
17,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6342,4385,13,1944,0.6924,0.911477,158.3,0.911477,-0.44619,0.525706,0.0,-0.891998,39,-22
18,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6342,4291,11,2040,0.6775,0.888589,154.4,0.888589,-0.40772,0.188118,0.0,-1.007641,47,-29
19,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6342,4270,15,2057,0.6745,0.870457,151.2,0.870457,-0.267253,0.303835,0.0,-0.473784,12,7
20,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6342,4288,13,2041,0.6772,0.851851,148.0,0.851851,-0.440412,0.375851,0.0,-1.007641,47,-27
21,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6342,4247,15,2080,0.6708,0.851056,147.8,0.851056,-0.325983,0.435628,0.0,-0.280902,8,13
22,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,6342,4228,21,2093,0.6683,0.820649,142.6,0.820649,-0.464833,0.325242,0.0,-0.949081,46,-24
23,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,6342,4231,13,2098,0.6682,0.814955,141.6,0.814955,-0.519498,0.325288,0.0,-0.781701,28,-5
24,vidar@1b7a73a,vidar,1b7a73a,6342,4231,13,2098,0.6682,0.814624,141.5,0.814624,-0.518656,0.325039,0.0,-0.781701,28,-4
25,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,6342,4221,13,2108,0.6666,0.811757,141.0,0.811757,-0.510611,0.306528,0.0,-0.891998,39,-14
26,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,6342,4163,18,2161,0.6578,0.764898,132.9,0.764898,-0.324039,0.565627,0.0,-1.067841,58,-32
