rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7260,5440,8,1812,0.7499,1.266859,220.1,1.266859,-0.080046,-0.445265,0.0,-0.114585,11,-10
2,freyja@6a8a5f7,freyja,6a8a5f7,7260,5408,15,1837,0.7459,1.22545,212.9,1.22545,-0.126082,-0.656511,0.236213,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7260,5383,14,1863,0.7424,1.210109,210.2,1.210109,-0.121213,-0.693628,0.0,-0.054854,10,-7
4,hlin@6b5d86e,hlin,6b5d86e,7260,5216,6,2038,0.7189,1.09621,190.4,1.09621,-0.257652,0.110841,0.0,-0.026794,7,-3
5,frigg@55df097,frigg,55df097,7260,5217,6,2037,0.719,1.094007,190.0,1.094007,-0.263711,0.084173,0.0,-0.026794,7,-2
6,gefn@60ae5f1,gefn,60ae5f1,7260,5141,5,2114,0.7085,1.073858,186.5,1.073858,0.082564,-0.057603,0.0,-0.018348,6,0
7,syn@5bf798e,syn,5bf798e,7260,5139,6,2115,0.7083,1.062836,184.6,1.062836,0.037357,-0.166018,0.0,-0.001455,4,3
8,lofn@c8d0165,lofn,c8d0165,7260,5181,6,2073,0.714,1.057429,183.7,1.057429,-0.374979,0.105748,0.72452,0.0,1,7
9,nanna@55df097,nanna,55df097,7260,5144,6,2110,0.709,1.029948,178.9,1.029948,-0.36367,0.096407,0.0,-0.026794,7,2
10,bil@6b5d86e,bil,6b5d86e,7260,5119,6,2135,0.7055,1.012417,175.9,1.012417,-0.356211,0.150815,0.0,-0.00237,5,5
11,snotra_h@4437c29,snotra_h,4437c29,7260,4994,7,2259,0.6884,0.926739,161.0,0.926739,-0.160595,-0.505194,0.0,-0.348332,17,-6
12,snotra@34b0ce8,snotra,34b0ce8,7260,4966,5,2289,0.6844,0.90597,157.4,0.90597,-0.170493,-0.551675,0.0,-0.378254,19,-7
13,hoenir@5907a3b,hoenir,5907a3b,7260,4933,9,2318,0.6801,0.885161,153.8,0.885161,-0.413039,-0.320374,0.0,-0.281176,12,1
14,gefn@46ac5e6,gefn,46ac5e6,7260,4886,6,2368,0.6734,0.853274,148.2,0.853274,-0.09081,-0.390546,0.0,-0.405695,22,-8
15,vor@c32539f,vor,c32539f,7260,4883,1,2376,0.6727,0.852042,148.0,0.852042,-0.04253,-0.394238,0.0,-0.433921,23,-8
16,fulla@ec5aa19,fulla,ec5aa19,7260,4880,1,2379,0.6722,0.850806,147.8,0.850806,-0.064881,-0.338415,0.0,-0.433921,23,-7
17,vidarr@c9193be,vidarr,c9193be,7260,4792,14,2454,0.661,0.817718,142.1,0.817718,0.015855,-0.255803,0.0,-0.526942,33,-16
18,bifrost@c70c467,bifrost,c70c467,7260,4816,9,2435,0.664,0.805808,140.0,0.805808,-0.389345,-0.168294,0.0,-0.328708,16,2
19,forseti@37dc858,forseti,37dc858,7260,4775,8,2477,0.6583,0.785618,136.5,0.785618,-0.020159,-0.773687,0.0,-0.542047,35,-16
20,magni@3677a66,magni,3677a66,7260,4769,8,2483,0.6574,0.779315,135.4,0.779315,-0.023015,-0.785748,0.0,-0.542047,35,-15
21,hodr@ea88247,hodr,ea88247,7260,4769,8,2483,0.6574,0.777706,135.1,0.777706,-0.039286,-0.800639,0.0,-0.542047,35,-14
22,ostara@832c68a,ostara,832c68a,7260,4756,5,2499,0.6554,0.775913,134.8,0.775913,-0.047162,-0.157326,0.0,-0.395069,21,1
23,spork@05ab6a2,spork,05ab6a2,7260,4707,5,2548,0.6487,0.742225,128.9,0.742225,-0.045176,-0.095883,0.0,-0.363276,18,5
24,loki@832c68a,loki,832c68a,7260,4673,1,2586,0.6437,0.719361,125.0,0.719361,-0.023956,-0.225644,0.0,-0.45847,26,-2
25,mimir@cfc1ec4,mimir,cfc1ec4,7260,4671,8,2581,0.6439,0.704969,122.5,0.704969,-0.119362,-0.65077,0.0,-0.551749,39,-14
26,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,7224,4604,20,2600,0.6387,0.698507,121.3,0.698507,0.069706,-0.49454,0.0,-0.390847,20,6
27,steward_relent@7ed1acc,steward_relent,7ed1acc,7260,4660,18,2582,0.6431,0.698198,121.3,0.698198,-0.103964,-0.450664,0.0,-0.495004,28,-1
28,spar_sniper@aa24129,spar_sniper,aa24129,7260,4641,12,2607,0.6401,0.694168,120.6,0.694168,-0.072584,-0.574548,0.0,-0.554119,40,-12
29,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,7224,4618,18,2588,0.6405,0.691028,120.0,0.691028,-0.104997,-0.515579,0.0,-0.512547,29,0
30,loki@9ac8974,loki,9ac8974,7260,4638,1,2621,0.6389,0.688649,119.6,0.688649,-0.127453,-0.155202,0.0,-0.437424,25,5
