match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0015dcb0fe4dca87,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,undertow@fdc1e1f,undertow,fdc1e1f,showdown,official,1,0,rating,a,a,1.0,core_destroyed,30,,58,0,8,4,58,0,3,4,ok,,4.68,n-62-21-98,29005118,2026-08-02T21:43:47+0200
002322be3474fc70,auto-52c8e804e94c,vigil@18b749d,vigil,18b749d,vigil@2956db3,vigil,2956db3,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,39,,12,80,7,5,4,40,7,3,ok,,3.994,n-62-31-9,29005118,2026-08-02T21:43:57+0200
00245265c472185c,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,baiter@9713344,baiter,9713344,vase,official,1,0,rating,a,a,1.0,core_destroyed,47,,10,80,12,7,96,0,4,2,ok,,3.714,n-62-11-61,29005118,2026-08-02T21:41:12+0200
0036ccc0d871f83c,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,duel,official,1,0,rating,b,b,0.0,core_destroyed,106,,478,470,4,12,124,60,6,6,ok,,4.483,n-62-11-55,29005118,2026-08-02T21:41:40+0200
004a25081e5e2c32,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,uw_v2@9713344,uw_v2,9713344,fjord,official,1,0,rating,a,a,1.0,core_destroyed,48,,20,250,12,18,85,310,6,12,ok,,4.231,n-62-31-19,29005118,2026-08-02T21:43:32+0200
004ae0a5c83a065d,auto-52c8e804e94c,casemate_oracle@902be71,casemate_oracle,902be71,vigil@2956db3,vigil,2956db3,showdown,official,1,0,rating,b,b,0.0,core_destroyed,45,,139,0,3,2,59,0,6,5,ok,,3.045,n-62-31-9,29005118,2026-08-02T21:42:01+0200
007779e8e849c5c4,auto-52c8e804e94c,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,vigil@2956db3,vigil,2956db3,bridge,official,1,0,rating,b,b,0.0,titanium_collected,1000,,173,0,5,4,7749,7280,7,20,ok,,8.79,n-62-13-7,29005118,2026-08-02T21:43:55+0200
008e0f0f1d08b3df,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,opponent_luc@e83a42c,opponent_luc,e83a42c,runestone,official,1,0,rating,a,a,1.0,core_destroyed,27,,10,40,11,13,92,40,9,7,ok,,5.726,n-62-12-4,29005118,2026-08-02T21:42:23+0200
008f27c7070686a9,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,nemesis@9713344,nemesis,9713344,twins,official,1,0,rating,a,a,1.0,core_destroyed,44,,32,90,11,9,86,40,8,9,ok,,3.642,n-62-12-3,29005118,2026-08-02T21:41:29+0200
008f31ea5d4b4c2a,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,v233_c@9713344,v233_c,9713344,sweden,official,1,0,rating,a,a,1.0,core_destroyed,38,,10,10,9,10,96,0,2,3,ok,,2.92,n-62-11-58,29005118,2026-08-02T21:42:34+0200
00cb4b7a59e7a36c,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,janus@8a1e7a1,janus,8a1e7a1,jackpot,official,1,0,rating,b,b,0.0,titanium_collected,1000,,816,450,8,4,3272,4950,14,11,ok,,10.056,n-62-11-50,29005118,2026-08-02T21:41:47+0200
00df22c35ab0c987,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,v233_b@9713344,v233_b,9713344,hive,official,1,0,rating,a,a,1.0,core_destroyed,49,,10,100,12,11,107,40,3,10,ok,,4.494,n-62-31-21,29005118,2026-08-02T21:44:00+0200
00f8d9e8bcd48dca,auto-52c8e804e94c,vigil@2956db3,vigil,2956db3,vg_v3@9713344,vg_v3,9713344,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,54,,10,120,12,7,94,0,2,1,ok,,3.045,n-62-12-65,29005118,2026-08-02T21:43:29+0200
0126a89fc7192cbb,auto-52c8e804e94c,claude_challenger_3@fdc1e1f,claude_challenger_3,fdc1e1f,vigil@2956db3,vigil,2956db3,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,30,,570,0,0,0,18,80,10,12,ok,,2.257,n-62-21-98,29005118,2026-08-02T21:41:52+0200
