rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,heimdall@840a180,heimdall,840a180,4410,4040,0,370,0.9161,2.768928,481.0,2.768928,-0.571869,0.852091,1.0,0.0,1,0
2,bastion@840a180,bastion,840a180,4410,3851,0,559,0.8732,2.610731,453.5,2.610731,-1.101649,-0.198893,0.0,-0.675755,4,-2
3,steward@e55aab5,steward,e55aab5,4410,3822,0,588,0.8667,2.545314,442.2,2.545314,-1.079716,-0.202739,0.0,-1.007641,7,-4
4,vigil@e22eda8,vigil,e22eda8,4410,3757,0,653,0.8519,2.435044,423.0,2.435044,-1.072741,-0.068057,0.0,-2.423538,50,-46
5,vigil@18b749d,vigil,18b749d,4410,3709,0,701,0.841,2.424622,421.2,2.424622,-0.908731,-0.490768,0.0,-2.423538,50,-45
6,warden@3318ffd,warden,3318ffd,4410,3770,1,639,0.855,2.410996,418.8,2.410996,-1.1039,-0.102837,0.0,-1.72551,17,-11
7,vigil@e267eeb,vigil,e267eeb,4410,3751,0,659,0.8506,2.410962,418.8,2.410962,-1.037606,-0.070605,0.0,-2.423538,50,-43
8,ragnarok@79582fc,ragnarok,79582fc,4410,3764,0,646,0.8535,2.404435,417.7,2.404435,-1.101595,-0.151282,0.0,-2.423538,50,-42
9,valkyrie@d181312,valkyrie,d181312,4410,3758,1,651,0.8523,2.396432,416.3,2.396432,-1.116473,-0.144415,0.0,-2.146581,37,-28
10,warden_walk@e55aab5,warden_walk,e55aab5,4410,3756,1,653,0.8518,2.382294,413.8,2.382294,-0.892509,-0.032741,0.0,-1.400893,11,-1
11,warden_walk@3318ffd,warden_walk,3318ffd,4410,3723,1,686,0.8443,2.335646,405.7,2.335646,-0.826586,-0.055016,0.0,-1.72551,17,-6
12,aegis@e55aab5,aegis,e55aab5,4410,3718,1,691,0.8432,2.304135,400.3,2.304135,-0.798516,0.075823,0.0,-2.146581,37,-25
13,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4410,3642,0,768,0.8259,2.253634,391.5,2.253634,-0.830288,-0.371722,0.0,-2.423538,50,-37
14,valkyrie@30d0491,valkyrie,30d0491,4410,3656,0,754,0.829,2.213605,384.5,2.213605,-0.983387,-0.249249,0.0,-1.919593,25,-11
15,vigil@1b5f3d1,vigil,1b5f3d1,4410,3604,0,806,0.8172,2.212579,384.4,2.212579,-0.825737,-0.312245,0.0,-2.423538,50,-35
16,heimdall@daf0de0,heimdall,daf0de0,4410,3685,5,720,0.8362,2.150845,373.6,2.150845,-0.486183,0.373816,0.0,-0.573346,3,13
17,vigil@bf9b3e3,vigil,bf9b3e3,4410,3581,0,829,0.812,2.122598,368.7,2.122598,-0.95658,-0.314235,0.0,-2.423538,50,-33
18,vigil@60d5afa,vigil,60d5afa,4410,3525,0,885,0.7993,1.978794,343.8,1.978794,-0.907107,-0.318643,0.0,-2.146581,37,-19
19,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4410,3380,0,1030,0.7664,1.847411,320.9,1.847411,-0.198392,-0.070812,0.0,-1.129865,8,11
20,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4410,3464,0,946,0.7855,1.763081,306.3,1.763081,-1.130636,-0.090025,0.0,-3.320228,70,-50
21,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,4410,3334,0,1076,0.756,1.707202,296.6,1.707202,-0.740658,-0.393849,0.0,-0.376478,2,19
22,prospect@bf9b3e3,prospect,bf9b3e3,4410,3234,0,1176,0.7333,1.654814,287.5,1.654814,-0.124574,-0.260165,0.0,-1.55463,12,10
23,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4410,3393,0,1017,0.7694,1.654635,287.4,1.654635,-0.969306,-0.110457,0.0,-2.785011,64,-41
24,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4410,3161,0,1249,0.7168,1.634549,284.0,1.634549,-0.227917,-0.48923,0.0,-1.919593,25,-1
25,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4410,3150,0,1260,0.7143,1.622582,281.9,1.622582,0.074809,-0.51537,0.0,-1.919593,25,0
26,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4410,3145,0,1265,0.7132,1.577237,274.0,1.577237,-0.24713,-0.428535,0.0,-1.129865,8,18
27,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4410,3147,5,1258,0.7142,1.571522,273.0,1.571522,-0.434421,-0.860109,0.0,-2.785011,64,-37
28,janus@8a1e7a1,janus,8a1e7a1,4410,3047,0,1363,0.6909,1.491453,259.1,1.491453,0.242337,-0.523642,0.0,-1.919593,25,3
29,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,4410,3273,0,1137,0.7422,1.22952,213.6,1.22952,-1.433447,0.357171,0.0,-0.891998,5,24
30,vanguard_oracle@902be71,vanguard_oracle,902be71,4410,2768,0,1642,0.6277,1.13324,196.9,1.13324,0.355225,-0.855601,0.0,-1.919593,25,5
31,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4410,2799,0,1611,0.6347,1.095024,190.2,1.095024,0.149196,-0.227099,0.0,-2.146581,37,-6
32,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,4410,2798,0,1612,0.6345,1.091613,189.6,1.091613,0.143192,-0.224533,0.0,-2.146581,37,-5
33,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,4410,2795,0,1615,0.6338,1.039396,180.6,1.039396,0.040917,-0.151755,0.0,-2.146581,37,-4
