match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00315500039a4437,auto-5b1446565ce5,heimdall@38e1456,heimdall,38e1456,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,pinch,official,1,0,rating,a,a,1.0,core_destroyed,214,,153,1780,9,16,8,730,7,18,ok,,5.742,n-62-29-29,29036076,2026-08-06T00:27:54+0200
0031c944a417f44f,auto-5b1446565ce5,pantheon_clone@daf0de0,pantheon_clone,daf0de0,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,runestone,official,1,0,rating,b,b,0.0,core_destroyed,63,,31,0,10,7,10,130,8,21,ok,,4.358,n-62-21-20,29036076,2026-08-06T00:26:51+0200
004cacc1561a6b9a,auto-5b1446565ce5,e_harc@6db8844,e_harc,6db8844,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,495,,302,1210,7,6,10,3540,10,34,ok,,8.02,n-62-29-26,29036076,2026-08-06T00:26:49+0200
0074418f1e758613,auto-5b1446565ce5,v233_d@9713344,v233_d,9713344,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,vase,official,1,0,rating,b,b,0.0,core_destroyed,185,,60,0,4,2,9,0,8,7,ok,,3.436,n-62-29-20,29036076,2026-08-06T00:29:57+0200
008d6b593baf43b4,auto-5b1446565ce5,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,vault,official,1,0,rating,a,a,1.0,core_destroyed,233,,19,680,4,22,42,1120,10,15,ok,,3.963,n-62-12-65,29036076,2026-08-06T00:27:32+0200
009628d4a79569c5,auto-5b1446565ce5,ragnarok@79582fc,ragnarok,79582fc,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,duel,official,1,0,rating,b,b,0.0,core_destroyed,77,,10,180,6,7,19,350,7,7,ok,,3.302,n-62-21-52,29036076,2026-08-06T00:26:54+0200
00bc3ae2141c78f5,auto-5b1446565ce5,maporacle@38e1456,maporacle,38e1456,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,pinch,official,1,0,rating,a,a,1.0,core_destroyed,214,,71,1780,10,16,8,730,7,18,ok,,7.25,n-62-12-3,29036076,2026-08-06T00:27:01+0200
00bc3c8817c7467c,auto-5b1446565ce5,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,autistimusprime@ecd4d24,autistimusprime,ecd4d24,longship,official,1,0,rating,a,a,1.0,core_destroyed,61,,9,200,9,17,65,190,10,16,ok,,3.446,n-62-31-9,29036076,2026-08-06T00:27:52+0200
00d9964e3f51a931,auto-5b1446565ce5,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,gobbleglitch@a79dd98,gobbleglitch,a79dd98,string,official,1,0,rating,b,b,0.0,core_destroyed,122,,69,290,9,7,60,0,1,2,ok,,4.478,n-62-29-34,29036076,2026-08-06T00:27:51+0200
00fe5624efba9bf9,auto-5b1446565ce5,e9cand@9e77076,e9cand,9e77076,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,vase,official,1,0,rating,b,b,0.0,core_destroyed,93,,624,0,0,4,10,0,8,6,ok,,3.906,n-62-28-35,29036076,2026-08-06T00:27:50+0200
0100743a8a0c2fa0,auto-5b1446565ce5,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,sprint,official,1,0,rating,a,a,1.0,core_destroyed,41,,9,0,6,8,10,0,9,2,ok,,3.239,n-62-31-24,29036076,2026-08-06T00:28:14+0200
0101c822e0a48caa,auto-5b1446565ce5,skadi@aad5f44,skadi,aad5f44,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,strait,official,1,0,rating,b,b,0.0,core_destroyed,118,,56,510,9,18,47,720,9,27,ok,,4.659,n-62-21-66,29036076,2026-08-06T00:29:09+0200
010a89685ed25a8b,auto-5b1446565ce5,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,undertow@9713344,undertow,9713344,vault,official,1,0,rating,b,b,0.0,core_destroyed,109,,9,490,9,16,68,520,8,7,ok,,4.42,n-62-11-52,29036076,2026-08-06T00:29:11+0200
0137cab32721bbe4,auto-5b1446565ce5,tyr_retgt@2e6c876,tyr_retgt,2e6c876,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,strait,official,1,0,rating,b,b,0.0,core_destroyed,90,,45,410,9,28,20,500,9,27,ok,,4.458,n-62-11-69,29036076,2026-08-06T00:29:40+0200
019dae085ce3c5b3,auto-5b1446565ce5,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,runestone,official,1,0,rating,b,b,0.0,core_destroyed,234,,189,0,4,53,55,1110,18,37,ok,,15.718,n-62-21-97,29036076,2026-08-06T00:27:57+0200
