rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6258,4981,15,1262,0.7971,1.521206,264.3,1.521206,-0.398311,0.386582,1.0,0.0,1,0
2,skadi@6a2af02,skadi,6a2af02,6258,4805,22,1431,0.7696,1.378851,239.5,1.378851,-0.523003,0.410882,0.0,-0.280902,6,-4
3,skadi@821d792,skadi,821d792,6258,4767,31,1460,0.7642,1.350379,234.6,1.350379,-0.462213,0.300841,0.0,-0.186586,4,-1
4,skadi@aad5f44,skadi,aad5f44,6258,4758,34,1466,0.763,1.344099,233.5,1.344099,-0.40762,0.336694,0.0,-0.186586,4,0
5,skadi@1e4eddf,skadi,1e4eddf,6258,4707,23,1528,0.754,1.256519,218.3,1.256519,-0.578725,0.463212,0.0,-0.328504,8,-3
6,vidar@8b87da5,vidar,8b87da5,6258,4655,18,1585,0.7453,1.238685,215.2,1.238685,-0.639415,0.407194,0.0,-0.675755,12,-6
7,vidar_r2@c8b850e,vidar_r2,c8b850e,6258,4668,23,1567,0.7478,1.231866,214.0,1.231866,-0.704579,0.486876,0.0,-0.139762,3,4
8,vidar_r3@c8b850e,vidar_r3,c8b850e,6258,4667,23,1568,0.7476,1.230214,213.7,1.230214,-0.71404,0.493163,0.0,-0.04652,2,6
9,spar_econ@aad5f44,spar_econ,aad5f44,6258,4556,19,1683,0.7295,1.222046,212.3,1.222046,-0.259525,-0.176459,0.0,-0.781701,19,-10
10,vidar@561800a,vidar,561800a,6258,4620,23,1615,0.7401,1.201376,208.7,1.201376,-0.641972,0.348623,0.0,-0.424883,9,1
11,vidar@ee47958,vidar,ee47958,6258,4619,23,1616,0.7399,1.200728,208.6,1.200728,-0.64483,0.348428,0.0,-0.424883,9,2
12,vidar_r1@c8b850e,vidar_r1,c8b850e,6258,4615,23,1620,0.7393,1.193937,207.4,1.193937,-0.673888,0.365338,0.0,-0.424883,9,3
13,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,6258,4614,44,1600,0.7408,1.169735,203.2,1.169735,-0.263282,0.437647,0.0,-0.280902,6,7
14,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6258,4363,13,1882,0.6982,0.938478,163.0,0.938478,-0.448607,0.517701,0.0,-1.007641,40,-26
15,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6258,4362,13,1883,0.6981,0.936295,162.7,0.936295,-0.456712,0.524002,0.0,-1.007641,40,-25
16,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6258,4269,11,1978,0.683,0.913872,158.8,0.913872,-0.408418,0.189849,0.0,-1.129865,54,-38
17,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6258,4237,15,2006,0.6783,0.887731,154.2,0.887731,-0.290438,0.305889,0.0,-0.781701,19,-2
18,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6258,4266,13,1979,0.6827,0.876644,152.3,0.876644,-0.446589,0.371621,0.0,-1.007641,40,-22
19,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6258,4212,15,2031,0.6743,0.866786,150.6,0.866786,-0.358455,0.435804,0.0,-0.675755,12,7
20,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,6258,4207,19,2032,0.6738,0.845037,146.8,0.845037,-0.471827,0.322143,0.0,-1.007641,40,-20
21,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,6258,4206,13,2039,0.6731,0.83698,145.4,0.83698,-0.53106,0.316222,0.0,-0.891998,32,-11
22,vidar@1b7a73a,vidar,1b7a73a,6258,4206,13,2039,0.6731,0.836644,145.3,0.836644,-0.530217,0.316104,0.0,-0.891998,32,-10
23,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,6258,4198,13,2047,0.6719,0.835245,145.1,0.835245,-0.518293,0.299238,0.0,-0.891998,32,-9
24,vidar_pg@1b7a73a,vidar_pg,1b7a73a,6258,4097,23,2138,0.6565,0.789384,137.1,0.789384,-0.460313,-0.087325,0.0,-1.475907,83,-59
25,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,6258,4142,16,2100,0.6632,0.788542,137.0,0.788542,-0.333133,0.547056,0.0,-0.675755,12,13
