match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0015f3d27006e222,auto-5f33f9ed7a2c,vali@7bc75e8,vali,7bc75e8,tempest@90fc9f3,tempest,90fc9f3,sprint,all_official,1,0,rating,a,a,1.0,core_destroyed,156,,34,370,6,17,66,40,9,2,ok,,4.278,n-62-21-97,29052067,2026-08-08T06:25:23+0200
0068b16033d3faa5,auto-5f33f9ed7a2c,strategist@2a19238,strategist,2a19238,vali@7bc75e8,vali,7bc75e8,atoll,all_official,1,0,rating,b,b,0.0,core_destroyed,192,,932,900,4,42,30,1460,13,59,ok,,4.628,n-62-31-24,29052067,2026-08-08T06:25:27+0200
0069ddfa559c7bc0,auto-5f33f9ed7a2c,tyr@2e6c876,tyr,2e6c876,vali@7bc75e8,vali,7bc75e8,duel,all_official,1,0,rating,b,b,0.0,core_destroyed,173,,9,420,7,5,121,830,9,6,ok,,4.044,n-62-29-13,29052067,2026-08-08T06:25:32+0200
0077c6e392991744,auto-5f33f9ed7a2c,vali@7bc75e8,vali,7bc75e8,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,fjordgate,all_official,1,0,rating,b,b,0.0,core_destroyed,90,,166,210,4,7,9,210,6,5,ok,,2.606,n-62-31-17,29052067,2026-08-08T06:23:42+0200
0087c22703b0fa92,auto-5f33f9ed7a2c,vali@7bc75e8,vali,7bc75e8,fenrir2@6b39ebb,fenrir2,6b39ebb,jackpot,all_official,1,0,rating,a,a,1.0,core_destroyed,911,,92,4490,18,24,3643,4190,2,4,ok,,29.04,n-62-29-16,29052067,2026-08-08T06:23:18+0200
0091438115e58973,auto-5f33f9ed7a2c,vali@7bc75e8,vali,7bc75e8,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,moonrise,all_official,1,0,rating,a,a,1.0,core_destroyed,65,,10,230,6,13,6,140,9,5,ok,,3.678,n-62-28-34,29052067,2026-08-08T06:25:16+0200
009535fecd784ddc,auto-5f33f9ed7a2c,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,vali@7bc75e8,vali,7bc75e8,sprint,all_official,1,0,rating,b,b,0.0,titanium_collected,1000,,16,0,6,5,16,90,6,5,ok,,7.091,n-62-12-5,29052067,2026-08-08T06:25:01+0200
00b18fbd4c436401,auto-5f33f9ed7a2c,vali@7bc75e8,vali,7bc75e8,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,showdown,all_official,1,0,rating,a,a,1.0,core_destroyed,553,,9,230,6,17,10,750,6,10,ok,,4.594,n-62-11-52,29052067,2026-08-08T06:24:35+0200
00c29c8f81b0e414,auto-5f33f9ed7a2c,freyr@c2c0d3d,freyr,c2c0d3d,vali@7bc75e8,vali,7bc75e8,vault,all_official,1,0,rating,b,b,0.0,core_destroyed,134,,6,430,11,13,18,630,9,21,ok,,5.149,n-62-31-13,29052067,2026-08-08T06:23:17+0200
00d63c854017f608,auto-5f33f9ed7a2c,vali@7bc75e8,vali,7bc75e8,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,strait,all_official,1,0,rating,a,a,1.0,core_destroyed,58,,9,220,8,23,212,120,5,10,ok,,2.888,n-62-21-16,29052067,2026-08-08T06:23:12+0200
