match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
5597c19b4c7910dd,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,antler,1,12,pass,ok,,27,181,32,46,703,1249,3572,3,0,0,0,9000,10000,n-62-30-25,29053037,2026-08-08T19:58:16+0200
dbd5258622d94e53,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,archipelago,1,12,pass,ok,,27,125,56,821,1057,2359,6638,26,0,0,0,9000,10000,n-62-30-25,29053037,2026-08-08T19:58:17+0200
a2b47456f6352850,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,atoll,1,12,pass,ok,,27,185,32,57,613,1368,4343,4,0,0,0,9000,10000,n-62-30-25,29053037,2026-08-08T19:58:19+0200
485c5ef192183cbf,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,aurora,1,12,pass,ok,,27,196,37,69,391,1891,6311,5,0,0,0,9000,10000,n-62-30-25,29053037,2026-08-08T19:58:21+0200
e6752b712a73b03a,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,bridge,1,12,pass,ok,,27,194,32,64,485,1020,3340,14,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:36+0200
14e3f65555c33a6f,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,crossfire,1,12,pass,ok,,27,200,30,51,199,1141,3500,4,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:38+0200
87fe819cb2a2441f,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,drumlin,1,12,pass,ok,,27,131,37,675,956,2014,6815,26,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:40+0200
5c2ac157f5a0dc49,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,duel,1,12,pass,ok,,27,185,31,54,637,1016,3012,3,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:42+0200
42446dfe35a4c313,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,eider,1,12,pass,ok,,27,157,32,54,909,1853,6747,26,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:43+0200
1fe86b4a4beba1dd,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,fjord,1,12,pass,ok,,27,193,35,68,619,1601,5170,26,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:45+0200
f80bb02f9e4fc9bc,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,fjordgate,1,12,pass,ok,,27,189,30,35,63,794,2975,8,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:47+0200
8d13a257388f1a0a,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,heart,1,12,pass,ok,,27,169,30,50,713,1490,4098,5,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:49+0200
6a0fd1522ea58787,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,hive,1,12,pass,ok,,27,198,34,67,211,2110,5870,26,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:51+0200
07117fb336dd3051,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,jackpot,1,12,pass,ok,,27,197,31,61,487,1152,3114,5,0,0,0,9000,10000,n-62-30-24,29053037,2026-08-08T19:57:53+0200
5c0a9953602f3522,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,lighthouse,1,12,pass,ok,,27,155,30,51,584,1011,4911,26,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:36+0200
3385eebe3f4797ba,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,longship,1,12,pass,ok,,27,194,27,58,453,1634,5465,26,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:38+0200
77a1a9bd1bec6784,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,meander,1,12,pass,ok,,27,184,27,46,563,793,3584,13,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:40+0200
c070ab6a8ddacb47,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,moonrise,1,12,pass,ok,,27,163,30,51,531,1005,5011,26,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:42+0200
9f2caf8bf689da7e,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,nordkap,1,12,pass,ok,,27,157,33,55,685,1526,6443,26,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:43+0200
a6679a5723149a1a,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,pinch,1,12,pass,ok,,27,188,29,53,435,730,4532,26,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:45+0200
a465e2e4f69bec8f,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,quarry,1,12,pass,ok,,27,185,41,107,638,1821,5359,26,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:47+0200
018365c875c85c1b,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,runestone,1,12,pass,ok,,27,183,29,67,604,1440,5672,26,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:49+0200
d5ccce0c62920ea6,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,saga,1,12,pass,ok,,27,125,39,509,865,1613,5028,3,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:50+0200
bc6b759e775ea4ca,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,showdown,1,12,pass,ok,,27,167,24,35,61,618,3116,2,0,0,0,9000,10000,n-62-29-21,29053037,2026-08-08T19:57:52+0200
a184403f776b099a,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,skerry,1,12,pass,ok,,27,192,42,75,584,1625,5599,5,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:37+0200
02eccb7750dbf4d4,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,snowflake,1,12,pass,ok,,27,136,51,223,1000,2294,7119,26,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:39+0200
b743a40eb59f8f0a,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,sprint,1,12,pass,ok,,27,152,41,50,167,1097,2746,2,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:41+0200
4220c643ec5d9ffb,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,strait,1,12,pass,ok,,27,194,40,75,616,1864,5560,26,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:44+0200
41e04019c848214f,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,string,1,12,pass,ok,,27,195,39,64,505,871,1897,8,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:46+0200
4224cb16755f2e4a,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,sweden,1,12,pass,ok,,27,199,59,92,202,1118,4488,14,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:49+0200
1804e5483eb9f1b6,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,twins,1,12,pass,ok,,27,192,39,66,696,1641,4364,4,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:51+0200
7a459820a8cb74d4,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,vase,1,12,pass,ok,,27,167,39,71,642,1314,2932,2,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:53+0200
dc562c83a73fb6f8,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,vault,1,12,pass,ok,,27,208,48,81,192,1899,5932,26,0,0,0,9000,10000,n-62-31-18,29053037,2026-08-08T19:57:55+0200
