match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00091c07e80de1c8,auto-5fbd08e75b72,bastion@840a180,bastion,840a180,lofn@c8d0165,lofn,c8d0165,strait,all_official,1,0,rating,a,a,1.0,core_destroyed,95,,10,140,7,8,10,420,8,17,ok,,3.581,n-62-28-31,29053037,2026-08-08T19:51:34+0200
000a796c447cc1ce,auto-5fbd08e75b72,freyr@c2c0d3d,freyr,c2c0d3d,lofn@c8d0165,lofn,c8d0165,sprint,all_official,1,0,rating,a,a,1.0,core_destroyed,446,,10,370,6,11,8,50,4,5,ok,,4.238,n-62-21-6,29053037,2026-08-08T19:51:36+0200
000f7fac2e775c23,auto-5fbd08e75b72,gefn@46ac5e6,gefn,46ac5e6,lofn@c8d0165,lofn,c8d0165,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,65,,18,430,8,22,7,360,8,19,ok,,3.53,n-62-21-21,29053037,2026-08-08T19:51:26+0200
002f0fe7895a22d7,auto-5fbd08e75b72,skadi@1e4eddf,skadi,1e4eddf,lofn@c8d0165,lofn,c8d0165,skerry,all_official,1,0,rating,a,a,1.0,core_destroyed,243,,25,2190,10,59,68,1180,16,21,ok,,8.342,n-62-28-28,29053037,2026-08-08T19:54:17+0200
00569da3acb0708e,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,freyr@c2c0d3d,freyr,c2c0d3d,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,374,,8,1040,7,25,8,120,8,2,ok,,5.916,n-62-21-4,29053037,2026-08-08T19:51:05+0200
005a7b4690a73197,auto-5fbd08e75b72,sif@3fc5cd8,sif,3fc5cd8,lofn@c8d0165,lofn,c8d0165,archipelago,all_official,1,0,rating,a,a,1.0,core_destroyed,69,,50,510,8,32,0,520,10,26,ok,,4.095,n-62-11-64,29053037,2026-08-08T19:53:12+0200
0062da3c394d31d8,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,snotra@34b0ce8,snotra,34b0ce8,lighthouse,all_official,1,0,rating,a,a,1.0,core_destroyed,71,,6,480,7,19,8,260,6,11,ok,,3.122,n-62-30-25,29053037,2026-08-08T19:53:17+0200
0091742918c016b5,auto-5fbd08e75b72,janus@8a1e7a1,janus,8a1e7a1,lofn@c8d0165,lofn,c8d0165,meander,all_official,1,0,rating,b,b,0.0,core_destroyed,122,,22,140,2,8,81,1160,8,40,ok,,4.588,n-62-31-11,29053037,2026-08-08T19:52:06+0200
00a870abd9af2fea,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,aegis@e55aab5,aegis,e55aab5,fjordgate,all_official,1,0,rating,b,b,0.0,core_destroyed,429,,10,70,6,1,9,0,8,1,ok,,4.97,n-62-31-23,29053037,2026-08-08T19:51:04+0200
00aa0487fb9d3d04,auto-5fbd08e75b72,lofn@c8d0165,lofn,c8d0165,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,crossfire,all_official,1,0,rating,a,a,1.0,core_destroyed,119,,20,560,8,29,209,0,5,8,ok,,5.58,n-62-29-9,29053037,2026-08-08T19:51:36+0200
