rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,6666,5095,8,1563,0.7649,1.345175,233.7,1.345175,0.125188,0.416269,0.0,-0.114585,5,-4
2,freyja@6a8a5f7,freyja,6a8a5f7,6666,5069,9,1588,0.7611,1.305819,226.8,1.305819,0.156293,0.637712,0.236213,-0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,6666,5056,8,1602,0.7591,1.296499,225.2,1.296499,0.154897,0.670339,0.0,-0.054854,4,-1
4,lofn@c8d0165,lofn,c8d0165,6636,4832,6,1798,0.7286,1.132892,196.8,1.132892,0.347775,-0.106525,0.724521,0.0,1,3
5,snotra_h@4437c29,snotra_h,4437c29,6666,4692,7,1967,0.7044,1.005167,174.6,1.005167,0.176332,0.492807,0.0,-0.348332,11,-6
6,snotra@34b0ce8,snotra,34b0ce8,6666,4672,5,1989,0.7012,0.987269,171.5,0.987269,0.194923,0.528527,0.0,-0.378254,13,-7
7,hoenir@5907a3b,hoenir,5907a3b,6666,4652,9,2005,0.6985,0.972716,169.0,0.972716,0.416331,0.288847,0.0,-0.281176,6,1
8,vor@c32539f,vor,c32539f,6666,4601,1,2064,0.6903,0.936147,162.6,0.936147,0.053201,0.370157,0.0,-0.433921,17,-9
9,gefn@46ac5e6,gefn,46ac5e6,6666,4597,6,2063,0.6901,0.933227,162.1,0.933227,0.105005,0.366664,0.0,-0.405695,16,-7
10,fulla@ec5aa19,fulla,ec5aa19,6666,4595,1,2070,0.6894,0.932925,162.1,0.932925,0.075414,0.315542,0.0,-0.433921,17,-7
11,vidarr@c9193be,vidarr,c9193be,6664,4549,14,2101,0.6837,0.923179,160.4,0.923179,-0.031049,0.226046,0.0,-0.492841,22,-11
12,bifrost@c70c467,bifrost,c70c467,6666,4532,9,2125,0.6805,0.884555,153.7,0.884555,0.383598,0.13995,0.0,-0.328708,10,2
13,forseti@37dc858,forseti,37dc858,6666,4499,8,2159,0.6755,0.867528,150.7,0.867528,0.065254,0.760325,0.0,-0.542047,29,-16
14,ostara@832c68a,ostara,832c68a,6666,4497,5,2164,0.675,0.867184,150.6,0.867184,0.037416,0.135052,0.0,-0.395069,15,-1
15,magni@3677a66,magni,3677a66,6666,4497,8,2161,0.6752,0.863142,149.9,0.863142,0.066064,0.770674,0.0,-0.542047,29,-14
16,hodr@ea88247,hodr,ea88247,6666,4496,8,2162,0.6751,0.860794,149.5,0.860794,0.085934,0.784225,0.0,-0.542047,29,-13
17,spork@05ab6a2,spork,05ab6a2,6666,4430,5,2231,0.6649,0.819683,142.4,0.819683,0.033536,0.083261,0.0,-0.363276,12,5
18,loki@832c68a,loki,832c68a,6666,4390,1,2275,0.6586,0.791062,137.4,0.791062,0.028307,0.209524,0.0,-0.45847,20,-2
19,mimir@cfc1ec4,mimir,cfc1ec4,6666,4396,8,2262,0.6601,0.780387,135.6,0.780387,0.160043,0.632271,0.0,-0.551749,33,-14
20,spar_sniper@aa24129,spar_sniper,aa24129,6666,4369,12,2285,0.6563,0.770481,133.8,0.770481,0.103067,0.558967,0.0,-0.554119,34,-14
21,steward_relent@7ed1acc,steward_relent,7ed1acc,6666,4377,18,2271,0.658,0.767999,133.4,0.767999,0.141637,0.425688,0.0,-0.495004,23,-2
