rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6300,4999,15,1286,0.7947,1.509272,262.2,1.509272,0.404199,-0.396196,0.0,-0.280902,4,-3
2,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,6300,4946,31,1323,0.7875,1.460158,253.7,1.460158,0.230598,-0.506067,1.0,0.0,1,1
3,skadi@6a2af02,skadi,6a2af02,6300,4823,22,1455,0.7673,1.367859,237.6,1.367859,0.519742,-0.404445,0.0,-0.280902,4,-1
4,skadi@821d792,skadi,821d792,6300,4785,31,1484,0.762,1.339575,232.7,1.339575,0.458729,-0.294827,0.0,-0.280902,4,0
5,skadi@aad5f44,skadi,aad5f44,6300,4776,34,1490,0.7608,1.333338,231.6,1.333338,0.404304,-0.330172,0.0,-0.280902,4,1
6,skadi@1e4eddf,skadi,1e4eddf,6300,4722,24,1554,0.7514,1.244732,216.2,1.244732,0.576271,-0.456711,0.0,-0.523248,16,-10
7,vidar@8b87da5,vidar,8b87da5,6300,4670,18,1612,0.7427,1.226684,213.1,1.226684,0.636641,-0.400722,0.0,-0.573346,18,-11
8,vidar_r2@c8b850e,vidar_r2,c8b850e,6300,4687,24,1589,0.7459,1.222782,212.4,1.222782,0.696122,-0.483959,0.0,-0.139762,3,5
9,vidar_r3@c8b850e,vidar_r3,c8b850e,6300,4687,24,1589,0.7459,1.221759,212.2,1.221759,0.704243,-0.490928,0.0,-0.04652,2,7
10,spar_econ@aad5f44,spar_econ,aad5f44,6300,4572,19,1709,0.7272,1.210816,210.3,1.210816,0.261262,0.178056,0.0,-0.473784,11,-1
11,vidar@561800a,vidar,561800a,6300,4633,24,1643,0.7373,1.188597,206.5,1.188597,0.640712,-0.341275,0.0,-0.728239,25,-14
12,vidar@ee47958,vidar,ee47958,6300,4632,24,1644,0.7371,1.187953,206.4,1.187953,0.643581,-0.341137,0.0,-0.728239,25,-13
13,vidar_r1@c8b850e,vidar_r1,c8b850e,6300,4628,24,1648,0.7365,1.181208,205.2,1.181208,0.672506,-0.358416,0.0,-0.728239,25,-12
14,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,6300,4630,44,1626,0.7384,1.158851,201.3,1.158851,0.2655,-0.441728,0.0,-0.473784,11,3
15,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6300,4374,13,1913,0.6953,0.92559,160.8,0.92559,0.452403,-0.511508,0.0,-1.007641,43,-28
16,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6300,4373,13,1914,0.6952,0.923421,160.4,0.923421,0.460437,-0.517959,0.0,-1.007641,43,-27
17,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6300,4280,11,2009,0.6802,0.901146,156.5,0.901146,0.411086,-0.183035,0.0,-1.007641,43,-26
18,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6300,4254,15,2031,0.6764,0.879359,152.8,0.879359,0.283201,-0.301208,0.0,-0.376478,8,10
19,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6300,4277,13,2010,0.6799,0.864166,150.1,0.864166,0.449312,-0.367212,0.0,-1.007641,43,-24
20,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6300,4229,15,2056,0.6725,0.858552,149.1,0.858552,0.350026,-0.430424,0.0,-0.376478,8,12
21,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,6300,4217,20,2063,0.671,0.832369,144.6,0.832369,0.474247,-0.316376,0.0,-1.067841,57,-36
22,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,6300,4218,13,2069,0.6706,0.825529,143.4,0.825529,0.531203,-0.312582,0.0,-0.891998,36,-14
23,vidar@1b7a73a,vidar,1b7a73a,6300,4218,13,2069,0.6706,0.825196,143.4,0.825196,0.53035,-0.312398,0.0,-0.891998,36,-13
24,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,6300,4209,13,2078,0.6691,0.82304,143.0,0.82304,0.520062,-0.294834,0.0,-1.007641,43,-19
25,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,6300,4153,17,2130,0.6606,0.777035,135.0,0.777035,0.336214,-0.5517,0.0,-0.949081,42,-17
26,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,6300,4131,31,2138,0.6582,0.770873,133.9,0.770873,0.252151,-0.546808,0.0,-0.836248,35,-9
27,vidar_pg@1b7a73a,vidar_pg,1b7a73a,6300,4100,23,2177,0.6526,0.768106,133.4,0.768106,0.481723,0.100639,0.0,-2.423538,127,-100
28,vidar_png@1b7a73a,vidar_png,1b7a73a,6300,4081,26,2193,0.6498,0.748313,130.0,0.748313,0.481239,-0.060035,0.0,-1.55463,95,-67
29,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,6300,3978,52,2270,0.6356,0.740682,128.7,0.740682,-0.221112,0.331233,0.0,-0.473784,11,18
30,vidar_gg@1b7a73a,vidar_gg,1b7a73a,6300,4058,23,2219,0.646,0.738785,128.3,0.738785,0.531628,0.126012,0.0,-3.320228,141,-111
31,vidar_save60@1b7a73a,vidar_save60,1b7a73a,6300,4075,25,2200,0.6488,0.729763,126.8,0.729763,0.456237,-0.113119,0.0,-1.55463,95,-64
32,vidar@544eeb3,vidar,544eeb3,6300,4109,14,2177,0.6533,0.727219,126.3,0.727219,0.613016,-0.275957,0.0,-1.007641,43,-11
33,vidar_saveup@1b7a73a,vidar_saveup,1b7a73a,6300,4065,25,2210,0.6472,0.723439,125.7,0.723439,0.408034,-0.140235,0.0,-1.55463,95,-62
34,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,6300,4022,12,2266,0.6394,0.720366,125.1,0.720366,0.460903,0.082294,0.0,-1.129865,58,-24
35,vidar_save150@1b7a73a,vidar_save150,1b7a73a,6300,4058,25,2217,0.6461,0.718724,124.9,0.718724,0.441059,-0.096257,0.0,-1.55463,95,-60
36,vidar_e7@544eeb3,vidar_e7,544eeb3,6300,4037,16,2247,0.6421,0.715121,124.2,0.715121,0.478976,-0.007997,0.0,-0.781701,28,8
37,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,6300,4045,23,2232,0.6439,0.706345,122.7,0.706345,0.465056,-0.062797,0.0,-1.475907,94,-57
38,vidar_gg150@1b7a73a,vidar_gg150,1b7a73a,6300,4007,23,2270,0.6379,0.702706,122.1,0.702706,0.498138,0.124222,0.0,-2.423538,127,-89
39,vidar_pn@1b7a73a,vidar_pn,1b7a73a,6300,4034,20,2246,0.6419,0.695069,120.7,0.695069,0.407985,-0.061168,0.0,-1.329136,86,-47
40,prospect@bf9b3e3,prospect,bf9b3e3,6300,3911,52,2337,0.6249,0.687422,119.4,0.687422,-0.043498,0.352478,0.0,-0.376478,8,32
41,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,6300,3992,7,2301,0.6342,0.682765,118.6,0.682765,0.53448,0.098065,0.0,-1.72551,106,-65
42,vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,6300,3955,7,2338,0.6283,0.654215,113.6,0.654215,0.389028,-0.122151,0.0,-1.55463,95,-53
43,janus@8a1e7a1,janus,8a1e7a1,6300,3799,52,2449,0.6071,0.612879,106.5,0.612879,-0.306868,0.393158,0.0,-0.573346,18,25
44,heimdall@daf0de0,heimdall,daf0de0,6300,3876,7,2417,0.6158,0.593196,103.0,0.593196,0.18949,0.042704,0.0,-0.675755,22,22
45,vidar2@544eeb3,vidar2,544eeb3,6300,3828,23,2449,0.6094,0.568144,98.7,0.568144,0.465909,0.196491,0.0,-0.473784,11,34
46,odin@38e1456,odin,38e1456,6300,3821,6,2473,0.607,0.56513,98.2,0.56513,0.302106,0.252163,0.0,-1.129865,58,-12
47,vidar2_b3@544eeb3,vidar2_b3,544eeb3,6300,3814,23,2463,0.6072,0.554951,96.4,0.554951,0.487304,0.210966,0.0,-0.473784,11,36
