match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000a0d1c3b7852a7,auto-6a135de998d4,njord@f66a427,njord,f66a427,sif@3fc5cd8,sif,3fc5cd8,string,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,1748,2490,14,9,840,780,10,5,ok,,26.493,n-62-31-18,29052331,2026-08-08T10:19:28+0200
00258ccfdcdfccc3,auto-6a135de998d4,valkyrie_econ2@7227061,valkyrie_econ2,7227061,sif@3fc5cd8,sif,3fc5cd8,longship,all_official,1,0,rating,b,b,0.0,core_destroyed,100,,233,700,10,50,76,600,8,50,ok,,4.742,n-62-31-10,29052331,2026-08-08T10:21:43+0200
002eddee8f73a95e,auto-6a135de998d4,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,sif@3fc5cd8,sif,3fc5cd8,strait,all_official,1,0,rating,a,a,1.0,core_destroyed,154,,9,440,6,10,11,770,10,15,ok,,4.649,n-62-11-68,29052331,2026-08-08T10:20:50+0200
0032076a2d693606,auto-6a135de998d4,sif@3fc5cd8,sif,3fc5cd8,gefjon@f66a427,gefjon,f66a427,saga,all_official,1,0,rating,b,b,0.0,core_destroyed,109,,177,720,10,34,29,540,9,45,ok,,4.777,n-62-11-52,29052331,2026-08-08T10:18:26+0200
003e296085405001,auto-6a135de998d4,odin@93e46da,odin,93e46da,sif@3fc5cd8,sif,3fc5cd8,fjordgate,all_official,1,0,rating,b,b,0.0,core_destroyed,141,,10,0,2,0,10,600,9,13,ok,,3.962,n-62-12-1,29052331,2026-08-08T10:19:37+0200
0051a35e574e8f0e,auto-6a135de998d4,sif@3fc5cd8,sif,3fc5cd8,strategist@2a19238,strategist,2a19238,skerry,all_official,1,0,rating,a,a,1.0,core_destroyed,396,,63,4320,21,52,743,2390,8,15,ok,,18.145,n-62-28-34,29052331,2026-08-08T10:23:43+0200
0051b681e55da2c8,auto-6a135de998d4,tempest@90fc9f3,tempest,90fc9f3,sif@3fc5cd8,sif,3fc5cd8,vault,all_official,1,0,rating,b,b,0.0,core_destroyed,81,,59,0,8,1,19,370,9,23,ok,,6.687,n-62-29-24,29052331,2026-08-08T10:21:27+0200
0053ae7ab6d3ab82,auto-6a135de998d4,sif@3fc5cd8,sif,3fc5cd8,tempest@90fc9f3,tempest,90fc9f3,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,50,,9,200,7,11,46,0,9,3,ok,,4.025,n-62-31-22,29052331,2026-08-08T10:21:22+0200
0054ede12c9b5a30,auto-6a135de998d4,bastion@840a180,bastion,840a180,sif@3fc5cd8,sif,3fc5cd8,strait,all_official,1,0,rating,b,b,0.0,core_destroyed,109,,8,100,6,6,18,750,9,35,ok,,3.913,n-62-11-66,29052331,2026-08-08T10:18:02+0200
005f078303d8a1aa,auto-6a135de998d4,sif@3fc5cd8,sif,3fc5cd8,strategist@2a19238,strategist,2a19238,aurora,all_official,1,0,rating,a,a,1.0,core_destroyed,391,,43,2610,15,49,88,2180,12,40,ok,,14.864,n-62-11-57,29052331,2026-08-08T10:21:23+0200
