rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,forseti@37dc858,forseti,37dc858,5478,3961,8,1509,0.7238,1.094269,190.1,1.094269,-0.182756,-0.80702,0.0,-0.01495,8,-7
2,magni@3677a66,magni,3677a66,5478,3956,8,1514,0.7229,1.086793,188.8,1.086793,-0.174565,-0.821214,0.249889,0.0,1,1
3,hodr@ea88247,hodr,ea88247,5478,3958,8,1512,0.7233,1.086092,188.7,1.086092,-0.206998,-0.8322,0.0,-0.01495,8,-5
4,mimir@cfc1ec4,mimir,cfc1ec4,5478,3868,8,1602,0.7068,0.995681,173.0,0.995681,-0.252923,-0.668948,0.249889,0.0,1,3
5,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5442,3811,19,1612,0.702,0.993209,172.5,0.993209,-0.022516,-0.549103,0.0,-0.13471,17,-12
6,steward_relent@7ed1acc,steward_relent,7ed1acc,5478,3838,17,1623,0.7022,0.971924,168.8,0.971924,-0.21271,-0.479077,0.1251,0.0,1,5
7,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5442,3806,17,1619,0.7009,0.969801,168.5,0.969801,-0.237273,-0.540088,0.125013,0.0,1,6
8,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5442,3775,37,1630,0.6971,0.96556,167.7,0.96556,-0.101121,-0.500101,0.0,-0.052282,12,-4
9,freyr@c2c0d3d,freyr,c2c0d3d,5478,3836,16,1626,0.7017,0.964387,167.5,0.964387,-0.225378,-0.596049,0.125049,0.0,1,8
10,njord@f66a427,njord,f66a427,5478,3826,18,1634,0.7001,0.96183,167.1,0.96183,-0.185222,-0.602862,0.0,-0.029873,11,-1
11,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5442,3773,37,1632,0.6967,0.959601,166.7,0.959601,-0.128304,-0.519204,0.0,-0.007459,7,4
12,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5442,3785,23,1634,0.6976,0.958563,166.5,0.958563,-0.152027,-0.547794,0.0,-0.015003,10,2
13,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5442,3797,17,1628,0.6993,0.957045,166.3,0.957045,-0.249379,-0.63192,0.12506,0.0,1,12
14,vali@7bc75e8,vali,7bc75e8,5478,3792,17,1669,0.6938,0.925643,160.8,0.925643,-0.250786,-0.610893,0.0,-0.059799,14,0
15,ullr@7d1ab4e,ullr,7d1ab4e,5478,3782,19,1677,0.6921,0.919664,159.8,0.919664,-0.221782,-0.627403,0.0,-0.089672,16,-1
16,gefjon@f66a427,gefjon,f66a427,5478,3701,24,1753,0.6778,0.886708,154.0,0.886708,0.013937,0.038555,0.0,-0.085964,15,1
17,sif@3fc5cd8,sif,3fc5cd8,5478,3684,4,1790,0.6729,0.863153,149.9,0.863153,0.01993,-0.099934,0.0,-0.059746,13,4
18,skadi@6a2af02,skadi,6a2af02,5442,3556,48,1838,0.6578,0.834051,144.9,0.834051,0.468746,-0.15801,0.0,-0.401697,21,-3
19,skadi@821d792,skadi,821d792,5442,3519,62,1861,0.6523,0.808331,140.4,0.808331,0.371879,-0.038818,0.0,-0.310084,18,1
20,skadi@aad5f44,skadi,aad5f44,5442,3506,65,1871,0.6502,0.803577,139.6,0.803577,0.41435,-0.023898,0.0,-0.371864,19,1
21,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,5442,3480,45,1917,0.6436,0.711446,123.6,0.711446,-0.065424,-0.480888,0.0,-0.393122,20,1
22,skadi@1e4eddf,skadi,1e4eddf,5442,3394,58,1990,0.629,0.676695,117.6,0.676695,0.397363,-0.23861,0.0,-0.622703,26,-4
23,vidar@8b87da5,vidar,8b87da5,5442,3315,40,2087,0.6128,0.632567,109.9,0.632567,0.569323,-0.013695,0.0,-0.714292,31,-8
24,vidar_r2@c8b850e,vidar_r2,c8b850e,5442,3336,41,2065,0.6168,0.613584,106.6,0.613584,0.3015,-0.149042,0.0,-0.511045,23,1
25,vidar_r3@c8b850e,vidar_r3,c8b850e,5442,3338,40,2064,0.6171,0.61136,106.2,0.61136,0.27159,-0.173792,0.0,-0.463757,22,3
26,vidar@561800a,vidar,561800a,5442,3277,58,2107,0.6075,0.602031,104.6,0.602031,0.529995,-0.04217,0.0,-0.735991,32,-6
27,vidar@ee47958,vidar,ee47958,5442,3276,58,2108,0.6073,0.589733,102.4,0.589733,0.458608,-0.064242,0.0,-0.735991,32,-5
28,vidar_r1@c8b850e,vidar_r1,c8b850e,5442,3255,59,2128,0.6035,0.568244,98.7,0.568244,0.475381,-0.129895,0.0,-0.771891,35,-7
29,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5442,3031,28,2383,0.5595,0.369839,64.2,0.369839,0.369838,0.068544,0.0,-0.709141,30,-1
30,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,5442,3059,43,2340,0.5661,0.362698,63.0,0.362698,-0.140544,-0.426274,0.0,-0.615992,25,5
31,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5442,3017,28,2397,0.557,0.34212,59.4,0.34212,0.275239,-0.004033,0.0,-0.679018,28,3
32,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,5442,2958,40,2444,0.5472,0.277899,48.3,0.277899,-0.067733,-0.564953,0.0,-0.776363,37,-5
33,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5442,2910,34,2498,0.5379,0.238697,41.5,0.238697,0.516675,-0.266465,0.0,-1.290115,62,-29
34,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5442,2905,34,2503,0.5369,0.235154,40.9,0.235154,0.543778,-0.325016,0.0,-1.290115,62,-28
35,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5442,2824,36,2582,0.5222,0.211288,36.7,0.211288,0.609489,0.108562,0.0,-1.170137,53,-18
36,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5442,2841,34,2567,0.5252,0.176201,30.6,0.176201,0.596289,-0.270222,0.0,-1.47547,70,-34
